Vol.247 想做跨国生意，先与汇率共舞
时长：00:33:16
来源：网易云音乐电台节目 · 商业就是这样 · Vol.247 想做跨国生意，先与汇率共舞

[00:00:01] 大家好,我是肖文杰我是徐小亚本周一的节目里面我们讨论了Netflix和Spotify这两个流媒体平台在不同国家地区之间订阅价格差距很大的一个问题对于用户来说这当然是一个套利的机会当然我们不鼓励这样的套利啊而对于平台来说一个很简单的疑问就是为什么明摆着被薅羊毛还要这么定价在那期节目里边呢我们以尼日利亚等地为例啊给出了三个层面的答案
[00:00:28] 第一就是定价阶段你要参考本地的人均的购买力第二就是你要综合考量一些其他的成本比如说互联网的基础设施能源等等的第三个层面就是本地货币的汇率的波动而汇率波动这个点就是我们在上期节目里面最后留下的一个尾巴实际上在我们最初设想里面周一的节目和今天节目连在一起应该是完整的一期因为对于用户的套利机会对于企业来说就是要规避的风险有点一体两面的意思
[00:00:57] 不过研究下来感觉还是把视角分开会更好一点尤其是企业如何应对汇率影响的部分可以讨论的东西更多于是就变成了今天这么大一期节目其实在之前许多期讲到跨国公司的节目里边比如像萨利亚那一期我们都多少提到了汇率这个问题对于跨国公司来说是很关键的但是我们一直没有系统的聊那今天就可以展开讲讲了
[00:01:19] 这个话题职业上会有点枯燥我们就尽量多打比方多用实际的案例保证大家基本上都能听懂而且其实我们只讨论两个问题一为什么汇率对于公司来说会成为一个问题二如果它是一个问题那么有哪些解决它的办法因为涉及上市公司我们照例提醒一下本期节目仅作为行业讨论不构成任何投资建议这里是商业就是这样
[00:01:53] 毕竟听友也不是人人都开过公司那我们就从最基础的问题开始吧袁老师为什么汇率对于公司而言会是一个问题如果我们讨论的是所谓国际化大公司那么汇率现在是绕不开的问题因为它会显著的影响到公司的财务数据这里我们可以先举两个例子让大家直观的感受一下首先是雀巢雀巢是一家
[00:02:17] 瑞士公司它财报上面用的货币是瑞士法郎瑞士法郎也是全世界最知名的避险货币之一最近两年因为各种原因瑞士法郎有一定的升值这个对于确朝来说就不是一个好事为什么呢因为同等数量的其他货币能换回的瑞士法郎就变少了那确朝的2025年年报就显示当年公司的销售额原本有3.5%的自然增长但是汇率部分产生了
[00:02:46] 5.7的负增长两边抵消一下2025年基于瑞士法郎它整个公司的销售额同比还下降了2%也就是说雀巢在全世界各地的这个收入其实是涨的但是呢因为全都就会归拢到瑞士法郎了但瑞士法郎涨了使得它最后换到的瑞士法郎其实都少了对本来是应该是增长的但是考虑到汇率之后就变成下降了就因为这个汇率的因素你就会对公司的这个业绩的判断的方向完全的扭转
