Vol.248 2026中国车市四大猜想
时长：00:44:26
来源：网易云音乐电台节目 · 商业就是这样 · Vol.248 2026中国车市四大猜想

[00:00:01] 大家好,我是肖文杰,我是小亚这一期是一个定番的汽车话题我们想用一个年度猜想的方式来聊一聊2026年中国车市值得关注的一些故事线听上去好像是一个比较分散的盘点但是这一些猜想都会有一个共同的出发点就是2026年中国车市的一个惨淡开局
[00:00:25] 我们看一下数据,一月份中国乘用车的零售销量是155.9万辆,同比下降是13.8%而新能源车,这个当中的新能源车,也就是包括纯电动,混合动力和增程这三类,他们的降幅是更大的,达到了20%等这个数据一出来,我们身边很多汽车行业的从业者就非常的悲观,就觉得2026年要过苦日子了
[00:00:51] 那所以为什么一月份就跌了这么多呢开门黑啊一个最直接的解释呢就是退坡就是补贴政策的退坡此前啊在中国买新能源车的话是有两个很重要的优惠的一个就是免缴10%的购置税然后就30万元以下那比如说你最多就是可以省3万块钱这其实已经蛮厉害了这个政策呢2026年减半了就是购置税只减免一半你要交5%的
[00:01:16] 还有一个政策呢就是以旧换新就是这两年比较重要的就过去两年你在中国如果你用辆旧车置换一辆新能源车的话你能够获得固定的1.5万元的国家补贴就如果纯电动车的话这个比例其实也蛮高了但是26年的1月份呢其实很多地方就是新一个年度的这个以旧换新的政策要么是力度下降了
[00:01:39] 或者它是按照比例而不是一个绝对值了要么就是它这个政策还没有明朗还没有完全的确认下来种种原因就使得2026年开年的销量有了很大的影响下挫了不过感觉这两个所谓的补贴退破的原因都比较明确比如说在股市里面我们就管这个东西叫做利空出尽对吧是不是也不用太紧张问题就是有可能利空没有出尽
[00:02:06] 如果这个下跌完全是由补贴退坡的原因造成的话那么它逻辑上我们可以做一个推论就是在1月份之前的2025年的12月份
[00:02:17] 它的销量应该会大涨就是因为25年12月份所有的政策都是清晰的而且在执行的那你理论上如果预测下一年会有变化你应该在上一年的尾巴就把这个事情全部都做完是这个意思吧对消费者应该去抓住那个优惠的尾巴而且如果你去关注车企的这个宣传的话他们在25年的年底都会去催单就是说这个优惠马上就要到期了你赶紧来这个时候下单锁单
[00:02:40] 这个其实也很符合补贴政策的一个特点就是我们一般来说这个有时间限制的补贴政策它不产生需求或者不产生过度的新需求它只是把需求集中在了某个时间段对它只是提前释放了这些需求那么应该是25年的12月份应该是大涨的但实际上我们已经看到了25年12月份的数据没有迎来预料当中的一个暴涨就这个月份全国的新能源车的这个乘用车的
[00:03:06] 零售销量只是和24年持平如果是大盘的话就包括燃油车其实已经同比下降14%了等于是25年年底和26年的年初加在一起都是一个下跌的一个趋势那把这些数字翻译成一个整个的判断就是其实在2025年底这个补贴政策的刺激作用已经提前的消退了然后随之而来体现出来的是什么呢就是整个汽车消费需求的一个疲软
[00:03:32] 说的更直白一点就是12月份也没有暴增1月份显著的下跌如果说整个2026年的话比较明确的一个预测就是大概率整个新车市场销量都还是要下跌的是这样吗我们问了一些分析机构或者是一些观察者综合一下大多数人认为还是一个10%至少是两位数的一个下滑
[00:03:52] 那你要说下跌本身的话其实也不意外如果你把这个时间拉长的话拉长到10年左右的维度就可以发现其实中国的这个新车市场在2017年就达到巅峰了18年有一个明确的下滑之后就一直维持在一个就是水平线上面就是大概2100万台上上下下吧始终是和这个巅峰是有几百万台的这个距离的那么24年和25年呢其实有所的上涨都比之前多了个100多万台但是
[00:04:21] 我们知道有补贴这个政策相当于这个拉升是补贴拉起来的有可能是对那其实如果你这么来看的话就车市已经是好多年
[00:04:29] 都是这样一个一个横盘对那其实这个如果是一直横盘就是或者说你很多年都没有办法再突破之前那个天花板的话其实大家对它的前景应该就是说比较悲观或者至少不会很兴奋是的就如果你只是告诉你有一个消费品它很多年的市场大盘都不增长了都比电风时期要少的话你就不会投资它对你不会认为它很厉害这个欣欣向荣是吧
[00:04:53] 但是反过来就是过去几年大家都会觉得新能源车的这个市场或者汽车市场是一个很有活力的欣欣向荣的一个行业就这两个叙事是出现了冲突对主要其实就是因为新能源车这一块它比重是在上涨的它的绝对是在上涨的就燃油车我们一直看到有什么降价的危机什么就是过不下去了等等的这些负面的报道但是新能源车一直在往上的所以有这样一个叙事的优势而且这个
[00:05:18] 内部格局的这个变动就是这个蛋糕划分的这个板块的变动还叠加了一层就是中国制造这个升级的这个故事因为我们了解的这个新能源车的这个主要的上涨都是中国的一些本土的品牌或者本土的一些公司它在技术和产业上面领先了然后冒出了很多新的这个竞争者强调了过去一些这个玩家的一些蛋糕所以大家就会比较的兴奋那所以说到了2020年这个情况就
[00:05:46] 比如说原来想的是一个此消彼长的格局现在就变成了大家一起掉不管是新能源车还是燃油车这个蛋糕可能都在进一步缩小其实这个感官就一下就会有差异在这样一个背景之下中国车市2026年会有哪些重要的变化我们这期节目会给出四个猜想这些猜想有的会比较大胆甚至有一点点冒犯我们列出来这些猜想不代表我们相信它一定会发生也不是我们的观点
[00:06:13] 而是通过这些猜想来提供一些观察这个市场尤其是新能源车这个部分的一些角度
[00:06:20] 另外本期内容主要是来自于第一财经杂志2026年的三月刊的一个封面的报道但是本期节目里面的猜想其实和我们那篇封面的报道不完全一样杂志上面相对会持终平衡一点播客上我们就稍微放开一点照例提醒一下本期节目会涉及到若干上市公司内容仅作为行业讨论不涉及任何投资建议这里是商业就是这样
[00:06:53] 那就从第一个猜想开始吧第一个猜想我们叫做不止一个品牌会从这个市场消失这么野吗上来就其实我觉得这个不算是猜想而是一个大概率会发生的事情很简单中国现在在卖新车的这个品牌有140多个有点太多了是这个意思吗就没有任何一个单一市场需要这么多的汽车品牌所以这是一个必然的一个结果另外呢我们也知道中国汽车的产能其实一直高于这个市场的需求量的
[00:07:21] 所以在整个大盘还在往下收缩的情况下有品牌离开是非常正常的事情而且过去几年都发生了这样的事情所以我们这边就大胆的给出几个方向首先就是创业公司新势力高危人群我们曾经说过汽车创业不是九死一生而是九十死一生大多数的公司都是活不到量产车的阶段的
[00:07:44] 即便过了这个阶段你开始卖车了离真正的站稳脚跟生存下来还是有很长的距离的过去几年其实每一年几乎每一年都会有消失的新势力品牌你像威马高和极越然后像2025年的话哪吒等等的基本上也可以认为停摆了还有天际汽车等等的这些公司的特点是什么就是他们一度有一些还比较亮眼的一些车型或者销量还不错的
[00:08:12] 但是它只是一个单点就整个公司它并没有长期的持续的产品计划也没有与之配套的一整套比如说研发供应链销售的体系等等的所以就算有一个小的爆款但这个爆款如果它到了生命周期的尾声或者说有别的更强的竞争者把它的市场分给挤掉的话
[00:08:32] 那么他这个公司的现金流就会迅速出现问题但如果这时候找不到投资者来输血的话那很快就有可能出现断裂的情况等于说这类公司就是做一个产品就已经染镜了是这样对就没其实没有一直没有真正活下来对那这是第一类第二类高危呢我们觉得就是一些曾经活得不错但是逐步在被淘汰的一些边缘的合资品牌像前几年有三菱啊菲亚特他们都是就是官方宣布就是退出这个合资企业了
[00:09:00] 就已经退出了还有以前的比如说像欧哥英飞尼迪还有雷诺标志雪铁龙其实几乎也跟离开差不多了另外还有韩系品牌也是就虽然它在中国还是有生产和销售的但是量也很少了它这个生产大多数实际上是for出口的在中国生产然后卖到别的地方去然后到了2026年我们觉得还是很大概率会看到一些新的这盒子品牌离开的举一个例子比如说雪佛兰
[00:09:28] 雪峰来这个品牌2025年在中国只卖了1万多台车我算一下打压是它巅峰期的2%它巅峰期可以一年卖50万台蛮多的你想想看有段时间它其实还是蛮红的你有印象对有一点印象有一些小车SUV包括轿车等等它不是那个时候还请了越狱的男主角来做代言吗对到了2026年1月份这个月卖多少台16台车这是一个品牌不是一个4S店的销量吗一个4S店一周的销量都有可能比这个高
[00:09:57] 对吧而且你想想看是不是很久都没有听说过雪佛兰有新车了
[00:10:02] 我看了一下他们官方的社交网络的新年的祝福都停留在前一年今年连新年祝福也不愿意写了是这样吗其实如果行业里面的话都不是新闻了大家都知道这个品牌的生产运营等等基本上处于停摆的状态这还是没有官宣而已对包括它的产线CS店趋向于逐渐的归零了
[00:10:25] 还有一个点就是2027年6月份其实上期通用目前的一个合资协议就上期通用是上期和通用汽车码就一个合资企业他这个合资协议就要到期了就明年的6月份截止目前其实这两家还没有签订新的合资的这个合约大家都也比较关注这个事情雪佛兰的大家大概率认为有可能在下一轮的合资当中就是就不一定在中国国产了他未来有可能在中国的主要的形式就是一些大排量的进口车
[00:10:53] 为主了这个品牌有可能就主要是离开中国所以说一个是创业公司容易死还有一个就是说有一些边缘的合资公司容易死是的这个两个都不算是猜想我觉得都是摆在眼前的太稳妥了有没有更刺激一点的
[00:11:10] 我们稍微大胆一些好吗我觉得2026年或许还会发生一些情况或者26年不一定完成但是26年会看到一些苗头就是一些新势力和传统的汽车巨头的整合这个其实就是行业里面大家一直都会有些讨论的因为你想想看传统的汽车大公司和新势力公司之间其实他们的优劣是很互补的
[00:11:33] 大公司有现金对吧有资产有很强大的供应链还有比较大的渠道那么新势力呢因为我的是很贴近市场的比较新的产品技术品牌的倾向比较OK比较清新然后组织架构也更加高效等等的那这样的两个角色呢其实他们从竞争者变成合作者是非常就博弈上面是非常理性的一个选择大家可以互相的补齐短板而且我们前面不是说到那个生存危机吗就是那些新势力
[00:12:02] 的生存危机其实我觉得就算是目前头部的那些新势力生存危机也是笼罩在头上的因为过去几年就是属于每天一个新势力跑出来然后上一个新势力就flop了一下然后过一段时间又给拉起来对就你也有这个感觉是吧事实就是如此就是大家可以看到就没有说有一家是一直很好的好一会儿下来一会儿好一会儿下来一会儿
[00:12:25] 其实很简单的原因因为大家就还是没有达到一个稳定生存的很大规模的一个状态对车企来说你大规模的就是你的量要上到很大还是蛮重要的不然如果你主要是靠几个车的话那你这一个几款车的这个成败啊起伏就很大的影响公司就即便你是一个头部那个心事理你比那些很别人的公司好像好一些产品多一些只是好一点对还没到那个完全改变的那个状态那这个时候的话其实如果你有一个非常稳定的这个大的靠山
[00:12:54] 还是蛮重要的我们看到有些公司已经开始行动了比如说跨国公司像大众和斯特兰蒂斯他们不是都是战略投资了中国的新势力大众是投了小鹏和林跑对大众投了小鹏斯特兰蒂斯投了林跑尤其是林跑的案例非常成功当时救了他在失败斯特兰蒂斯里面非常成功对当时是救了林跑的然后后面林跑我们看到这两年的发展非常的迅速
[00:13:18] 去年的时候一汽也拿下了林跑5%左右的股份并且这个应该是个战略投资因为我们看到他们同步还是宣布了一些比如说供应链要做一些整合然后在红旗的下面要研发新车等等的一些计划等于是我投了这点钱我们是要有一些战略的融合的所以说光投资还是
[00:13:36] 不足以去证明这个问题但是比如说有一些深度的融合尤其是供应链上面的就是前后端整合这个是比较重要的是吧对我觉得有了一些这种相对来说有限的合作的话我们不妨开脑洞认为有一些更加大的这些合并有可能会发生接下来下说开脑洞了比如说蔚来和比亚迪我们仅问客观上来说听上去就是瑞幸和蓝屏
[00:14:01] 有一定的道理有一定道理吧真的是双方的品牌定位实际上是高度互补你要这么说的话那其实也不是完全不可能对吧对啊而且大家也知道比亚迪一直是渴望高端的品牌上面有突破的他自己有了一些很多的尝试有一些成效吧但你也不能说完全的成功就像腾式啊方程报和仰望都各自有一些亮点但你不能说完全站住脚了那未来这个层面呢他创业了十多年了其实一直都很擅长
