Vol.252 张雪为什么能赢？
时长：00:41:10
来源：网易云音乐电台节目 · 商业就是这样 · Vol.252 张雪为什么能赢？

[00:00:01] 大家好,我是肖文杰,我是叶小亚这期节目我们很难得来追一个热点,就是张雪机车张雪机车是一个创办不到两年的中国摩托车品牌它的名字就来自于这个创始人本人张雪这个热点是发生在3月29日这个品牌的新车型82022在世界超级摩托车大赛,简称叫做WSBK的葡萄牙站
[00:00:26] 战胜了像杜卡迪、亚马哈、川崎、本田等等全球顶尖的摩托车品牌的车队获得了World SSP这个组别的冠军
[00:00:36] 但是没有获得特别好的成绩
[00:01:05] 后来呢他就去重庆创业创办了一个成功的摩托车品牌结果又从这家倾注了心血的公司里边裸辞辞职了一年之后创办了自己的新公司以自己的名字命名不到两年呢就取得了商业的成功然后就是这一次拿到了一个顶尖赛事的重要组别的冠军感觉肖老师刚才直接讲了一整个热血赛车电影的这个脚本是吗对故事大纲啊我就绝对的这个故事不拍成电影太可惜了
[00:01:32] 其实我们本中原来是准备了其他话题的节目的但是我看到了朋友圈里面分享张雪在夺冠后的采访一下子就被这个人吸引了虽然我们都对摩托车不了解但还是决定做一期节目当然我们今天不只会讲一些热血故事还是要看一看张雪整个创业过程里面除了她个人极致的热爱和奋斗以外还有哪些因素能够支撑她走到现在
[00:01:56] 我们还是希望从商业角度把整个故事里面容易被一笔带过但是其实也很重要的一些背景和情节给大家补充一下没错那比如说像之前其实大家比较熟悉的摩托车的赛事有可能是摩托GP这个名字比较耳熟能详一些那张雪机车这次参加的这个WSBK到底是一个什么level的比赛这个冠军的含金量到底如何这个大家都挺好奇的
[00:02:20] 另外就是它这个公司发展的速度因为照道理来说摩托车也是一个比较传统的行业了创办短短两年的一个品牌凭什么能够这么快的就获得成功并且在一个顶尖赛事里面赢得冠军
[00:02:35] 还有就是在中国其实很多城市都禁止摩托车两轮的形式主要是电动车和自行车为什么张雪的摩托车还能够卖得很好到底谁在买她的产品这背后到底是怎么样一个市场我们都挺好奇的在解答完这些好奇以后你或许会发现张雪的传奇经历非但不会失色反而会更加让人感慨这里是商业就是这样
[00:03:08] 小老师今天怎么聊呢我想大致分成两个部分首先是解答刚才的最后一个好奇就是关于张雪鸡车它这个业务到底是处在怎么样的一个市场里面然后它这个车到底卖给谁的这部分其实主要是为了建立一个框架和坐标系
[00:03:25] 第二部分我们再来聊一聊张雪具体的创业的细节试着搞清楚她为什么能够那么快的获得成功最后一点时间我们会回到这次的热点来聊一聊我们自己的一些额的看法那就先聊大的框架部分张雪机车到底做的是一个什么生意呢一句话来解释的话张雪机车目前主攻的其实是大排量运动型摩托车细分的市场而这个市场的摩托车与其说是一个交通工具
[00:03:54] 不如说是一个发烧友或者是爱好者的一个兴趣消费品我们说演数字啊2025年全球是一共卖出了6800多万台的摩托车新车的部分那这个当中呢其实80%以上的销量都是150cc以下的小排量发动机的这种摩托车
