Vol.253 西南航空，从特立独行到泯然众人
时长：00:40:46
来源：网易云音乐电台节目 · 商业就是这样 · Vol.253 西南航空，从特立独行到泯然众人

[00:00:00] 大家好 我是肖文杰我是于小亚今年这个上半年放假和上班的节奏数实是有点混乱过完清明假期没多久的话大家都已经开始盼着五一了说到出去玩呢月初有个消息还是挺闹心的就是民航局统一上调了国内航线的燃油附加费这个中间还撤回了一下重新发了一下搞了打一下结果就是短途的航线是从10块涨到60块长途从20元涨到120元涨幅不小
[00:00:29] 对其实现在大家对这种出去玩的价格都挺敏感的不知道这部分涨价会不会已经劝退了一些想出去玩的朋友当然最受伤的肯定还是航空公司因为就是这轮涨价其实是四月份涨价那三月至今这个高的油价成本其实都还是航司自己消化掉的这个航司和高油价这个事情我们之前都讲过其实关于这一点可以有一个简单的推断就是今年一季度的航空公司业绩不会很好肯定的而且不管是国内还是国外
[00:00:57] 然而最大的成本像变动如此之大再加上中东的局势对航线本身还有影响这两个叠加在一起的话他们的日子不会很好过我们之前节目确实聊过好几次航空业我们讲过机票价格的变动也讲过波音和春秋航空那么今天就趁热打铁再来一期我们讲一个美国市场上赫赫有名的航空公司就是西南航空我们之前专门讲过一期春秋航空讲廉价航空这个商业模式
[00:01:23] 如果论廉价航空的商业模式西南航空算得上是春秋航空以及各家的一个祖师爷它对于低成本航空的运营思路种种的做法其实它是开创性的但是在很多方面它又不完全是低成本航空那种斤斤计较的感觉可以说是一个个性非常鲜明的航空公司的品牌它的业绩也非常好曾经连续盈利47年美国的交通部甚至提出过一个专门的概念就叫西南航空效应
[00:01:54] 如果我们是在做商学院的案例那么大概率写到这里就是一个完整的经典的成功案例了但是西南航空的历史和它在运营模式上的开创性只是我们今天节目的前半部分后半部分我们会讨论一个被彻底颠覆的西南航空它是如何在一场风暴当中崩溃的又是如何被激进投资者趁虚而入变得明然众人的照例声明一下本期节目仅作为行业讨论不构成任何投资建议这里是商业就是这样
[00:02:26] 那第一部分呢我们先简单介绍一下西南航空传奇的发家史这个事情是发生在1966年底在美国德克萨斯州有一个企业家和一个律师碰了头这个律师呢叫凯勒赫他正在帮企业家清算一个已经倒闭的小的航空公司所以两个人才认识的这个航空公司的名字太搞笑了他叫Wild Goose Flying Service翻译成中文叫野鹅飞行航空公司
[00:02:55] 我最近刚刚在一个公园里面看到过一只很大的天鹅起飞声音非常的响你怎么能叫野鸡吗野鸡实在是飞不起来了野鹅还是能飞一飞的但还是倒闭了是吗对
[00:03:06] 不过这两个人碰头的倒不是为了这个野鹅公司的就是是这个企业家想找开了合伙再弄一个航空公司说这个企业家拿了一张餐巾纸经典餐巾纸就是在上面画了一个三角形这个三角形的三个顶点的分别代表德州最大的三座城市分别是达拉斯休斯顿和圣安东尼奥他的想法是我们这个新的航空公司就做短途航线就只在这三个城市之间飞就可以了我怎么感觉这是为NBA的
[00:03:35] 这个西南联盟的球迷们准备的三角换身对这三个城市都是有三个著名的球队这个三角形三个点这个公司总不能叫Delta吧这个不是达美航空吗就被叫掉了是吧对所以说他们后来叫了一个更响亮的名字在1967年3月15日Air Southwest正式注册成立这就是日后西南航空的前身但是注册公司只是第一步当中的第一步整个西南航空的创业史
[00:04:04] 前摇非常的长而且充满了传奇色彩我们接下来说第二步就是第一步当中第二步显然得去申请一个航空牌照这里他们抓到了一个美国市场的bug就是做小型航司的好处就是当时在美国如果你这个航线不跨州那么美国联邦的民航管理局就管不到你只要州内的航空委员会审批通过就行了条件也宽恕很多所以他们觉得这个事情能做
[00:04:29] 但是呢新南航空去申请牌照的时候呢其实德州境内已经有三家航空公司了就谁都不想再来一个竞争对手所以呢这三家就疯狂的起诉新南航空然后呢第一步当中第三步是吃官司新南航空这个联合创始人也是前律师开了合就在这个上面花了三年时间就是一直在协调各种司法和行政程序你就说他们从六七年注册然后后面就要花了三年的时间这个公司还没有真的开起来
[00:04:57] 还在吃官司的阶段而且在这个过程当中公司手上钱也花差不多了他们本来是靠自由资金然后还找了一笔300万美元的风险投资结果那个风险投资也没有完全到位总之就是三四年下来这个公司就跟皮包公司没有什么差别就是还没有首飞呢直到1971年的6月17号这个公司本来是计划第二天首航的结果地方法官又签发了一道临时禁令说你不能飞
[00:05:25] 没完没了了是吧我觉得一般人这个时候这个气性早就磨没了归零归零归零了就是这个航空公司我是非开不得吗非要开嘛但是开了就是我一定要开然后他连夜去找了德州的最高法院去紧急申请了一个救济方案把这个地方法院的禁令先拦住我们第二天还是飞当时西南航空CEO还有一个一气之下的经典语录说如果这个法官敢阻止我们我们就从他的制服上起飞
[00:05:53] 看来是一定要飞就是真的要飞那种种波折之后呢在第二天也就是1971年的6月18日西南航空的第一班商业航班终于是如愿起飞它单程票价只有20美元那西南航空后来上市时它的股票代码是LUV这三个字母也指的是它首航时那个出发地就是达拉斯的Love Field机场所以从注册到真的开始这个首飞当中花了四年的时间
[00:06:18] 讲到这里我们可以再回头来说一说公司的联合创始人就是凯勒赫这个人可以说西南航空的很多与众不同之处都来自于他性格里面一些特点凯勒赫是一个教育背景很好的一个律师但是他的行事风格却很接地气比如他不喜欢穿西装然后喜欢喝那种入门级的威士忌然后在公司的年会上还扮过猫王等等的但是在西南航空整个商业模式上面他其实有一些非常关键的洞察和操作
[00:06:45] 我们前面说西南航空这个首航的票价值要20美元虽然是1970年代20美元那时候还跟黄金绑定的但其实跟同行也就是相比起来就是一半的水平所以后来在股东会上面就有股东问他说你为什么不稍微涨一点这太便宜了吧他的回答就很尖端有力就说你们搞错了我们的竞争对手不是其他的航空公司我们竞争对手是地面交通美国大家都知道车轮上的国家然后跨州的旅行经常也是开车火车都不太多
[00:07:14] 更何况是周内的旅行是吧那西南航空当时敢挑战这么一个根深蒂固的观念的话说明他从一开始就是创办打引号皮包公司的时候对于他的商业模式已经有了很大的信心或者有了一些洞察结果上看确实也是这样我们在开头也说了西南航空之后就有连续47年盈利创造了一个奇迹而这个盈利的开头其实就在1973年整个公司首航两年以后一直持续到了2019年
[00:07:40] 航空业一直号称是全世界最难赚钱的行业之一包括像巴菲特经常吐槽这个行业的确是几乎年年都有航空公司来破产的那么新浪航空到底是怎么做到长期的盈利的这就是我们接下来一排要分析的内容
[00:07:54] 关于西南航空的商业模式我觉得跟我们之前聊的春秋航空有很多相似之处我这么说有点爸爸像儿子的意思春秋肯定是从西南多年的成功身上学了很多的但还是带我们复习一下毕竟春秋航空这期节目也是讲了蛮久很久之前了简单来说西南航空运营成功主要靠的是四根支柱每根都是不可或缺的如果说这四根支柱撑起一座房子的话还有一扇门其实最后导向公司的长期盈利
