Vol.256 职业电竞，“职业”在哪儿？
时长：00:34:36
来源：网易云音乐电台节目 · 商业就是这样 · Vol.256 职业电竞，“职业”在哪儿？

[00:00:00] 大家好 我是肖文杰 我是小亚体育赛事的商业模式一直是本节目日常关心的领域之一我们已经讲过像世界杯 奥运会 英超 NBA FE等等的一些顶级赛事那今天的节目的主角电竞比这一些运动要年轻许多但是热度是一点都不差你其实把电竞归到跟世界杯和NBA
[00:00:23] 在中国的许多城市都把电竞列为重点扶持产业对在另一方面像我这样
[00:00:43] 不太打游戏的路人还是会想说电竞真的可以跟传统的职业体育做类比吗还是下意识会经常怀疑而且像你刚才直接就是说我不打游戏还是把电竞和打游戏这个东西关联起来而不是和体育赛事关联起来所以我觉得这期节目我们就可以来探讨一下电竞的职业赛事的一个商业模式我们核心的好奇其实可以往前退一步你想电子游戏有那么多
[00:01:09] 但哪些游戏它可以变成一个电竞的职业赛事而且再深一步那么多同类的这个电竞的游戏的项目那哪些项目能够从这个当中脱颖而出这个当中能耗到的有哪些那后一部分呢我们会主要以腾镜体育和它旗下的无畏契约这样一个电竞赛事作为样本来主要展开
[00:01:29] 本期节目也特别感谢腾镜体育的支持如果经常看电竞的朋友应该对这家公司的名字不会陌生它可以说在中国的电竞生态里面是举足轻重的一家公司这次我们也深度灌木了他们五位契约在中国的职业赛事以及五位巡回的广州站而且他们也为我们引荐了很多行业的资深的从业者基于跟这些从业者的交流还有一些公开的资料我们补充了很多的细节来深入探讨电竞的商业模式和它的能好好 那我们就开始吧这里是商业就是这样
[00:02:01] 感觉我们可以先简单讲一下电竞的历史虽然它历史可能很短就还是看一下它如何从电子游戏当中脱胎成为一个独立的产业吧对还是要做个简单的铺陈大致我们可以分为三个阶段第一个我们可以称为是玩家自发的萌芽阶段第二个阶段是一个就是走向成熟期的阶段它是由韩国主导的第三个阶段就是我们中国主导的一个厂商时代
[00:02:26] 第一个阶段其实起点还是蛮早的没有你想象的那么晚近是吗在1970年代的时候其实像美国的斯坦福大学就有学生用当时的大型计算机来打对战游戏非常的不无正义这也可以叫电竞就那个时候的这个计算机你想想看对吧能做的事情其实不多打游戏对吧就是大家感觉已经还算是件事情了
[00:02:46] 后来到了1980年代的就我们了解像街机还有游戏主机已经开始流行了尤其是街机大家就很容易玩家聚在一起来比高分嘛就那个跟体育还是蛮像的那个时候的比赛还很原始啊主要就是玩家社群的一些自娱自乐比谁的这个分数高啊等等的
