Vol.257 为什么上证是“综指”、深证用“成指”？
时长：00:29:12
来源：网易云音乐电台节目 · 商业就是这样 · Vol.257 为什么上证是“综指”、深证用“成指”？

[00:00:01] 大家好 我是肖文杰我是徐晓雅最近我们财经领域的新闻还是很令人振奋的就是大盘重新回到了4000点以上甚至一度超过4200点了两市的成交额也是历史性的连续好几天突破3万亿就大业又智能起来的吧真是一个让人能够学到很多的市场不再打3000点保卫战开始打4000点保卫战了很重要啊大盘和两市这两个词其实天天出现在财经新闻里面但肖老师你有没有想过
[00:00:28] 大盘是什么东西然后又有什么东西能够代表了事的表现呢你这么一问是有点
[00:00:35] 大盘先不说就是两市这个我还是知道的对吧就是一个是这个上镇一个是深圳对吧对吧一个上海一个深圳两个交易所现在还有北交所就是对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对对
[00:01:00] 就是几千点几千点指的是什么对对对那个是上证指数呀对吧上证指数是什么上证指数不就是上证指数吗上证指数的官方名字叫做上证综合指数OK我们不是提到深圳深圳也有自己的指数深圳的叫深圳成分指数上证综指和深圳成指合在一起代表了两式的表现
[00:01:26] 这边就有一个区别就是一个是综合指数一个是成分指数就好奇的点是在于就为什么一个叫综合一个叫成分对但我觉得我先好奇一下我们这个全程能不能把深圳城市这个四个字一直持续的稳定的念对对深深圳
[00:01:43] 成值我觉得感觉就是同时对前后鼻音和平翘舌音都提出了很高的挑战挑战的一个词反正是两式的概念我们其实讲很多但是我们其实平时比较少意识到这两个市场的核心指数竟然是有区别的这件事情而且区别是很大的简单来说综合指数是把市场上所有的股票都算进去的一个指数成分指数是挑了一部分有代表性的股票来算同一个国家同一个市场两个交易所选的两条完全不一样的路这个是为什么
[00:02:12] 这其实背后是一段关于竞争危机和制度设计的故事所以说今天这期节目的主题呢我们就讨论一下这个东西这个事情呢其实也是要感谢一位朋友就是AustinAustin就是一个比我脑洞还要大的人当时其实关于这个讨论有点深啊所以说今天来一个更简单的版本主要就解释两个问题
