Vol.259 猪周期变了
时长：00:35:05
来源：网易云音乐电台节目 · 商业就是这样 · Vol.259 猪周期变了

[00:00:01] 大家好 我是肖文杰我是小雅再过几天就是端午节了除了放假以外每年这个时候还会接触到很多粽子卡感觉粽子卡这种东西就很像一些金融衍生品这个时候就会觉得粽子已经异化了从一种食物变成一个符号以及这个世界的例行公式对 我自己如果真的想吃粽子的话反而会去固定的店里面自己花钱买几个不过说实话这个几年天越来越热了而且热得越来越早了
[00:00:31] 到了端午节前后你像江浙户的春夏季黄梅天已经感觉很强烈了这个时候如果一定要吃的话其实还是想吃一些凉凉爽爽很舒服的粽子冰凉出众的原族雪龙粽其实就是一个很好的选择这个东西好像跟冰皮月饼一样感觉所有的老式节性产品都应该这样给改造一下但是原族的雪龙粽其实和冰皮的感觉口感是不一样的它的外层是慕斯的外皮
[00:00:58] 吃起来就会更加绵密更加入口即化一点然后它的内馅的话就是不同口味的冰激凌那6月2日至6月6日呢元祖的端午全系列产品都会有88折的优惠那如果你想送一些对方真的愿意吃的粽子礼盒的话不妨考虑一下元祖雪龙粽的礼盒装包含全部四种口味这四种口味里边呢我自己最喜欢的是那个奶香米布丁的内馅就最近很喜欢吃米布丁
[00:01:23] 我最喜欢的其实是薄荷巧克力就这个味道好像就是毁誉参谋但是我就喜欢这种怪怪的口味我最近刚看过一个电视剧里面就男女主就在讨论说薄荷巧克力冰激凌为什么有的人特别不喜欢有的人特别喜欢OK感兴趣的听友可以在本期节目的show notes和置顶评论里面找到购买链接请大家尝试一下新鲜事物好吗虽然今天介绍的是冰激凌粽但是如果吃传统的糯米粽子肖老师喜欢吃什么口味的呢那我肯定还是喜欢肉粽呀
[00:01:51] 而且一定要是肉本身肥肥的有很多油的这样吃起来比较香肉粽这个东西其实是我小时候到了上海以后才知道这个世界上还有肉粽后来发现还有肉汤圆和鲜肉月饼你原来在北京的时候没有吃过肉的吗没有那你们吃的是啥甜的甜的我们也吃对反正这个好像是一个江浙户地区独有的一种品种我还吃过马兰头肉粽
[00:02:16] 什么异端OK总而言之我觉得这个是一种全新的咸鲜口方向吃多了也就适应了那既然话都说到这里了那就引入到我们今天的主题吧就是猪肉虽然有点强行但是感觉还不错呢客牌强行引入啊那猪肉其实大家都很熟悉了你具体聊什么呢聊价格我觉得这几年但凡是买过一两次菜的朋友
[00:02:41] 都会发现一个问题就是猪肉好像是越来越便宜就我们家最近讨论的问题已经是要不要多买一点梅花肉吃一吃梅花肉这个东西我以前从来没有听说过后来查了一下好像是很精华的部位有可能你只是不知道你吃的很多肉实际上是梅花肉比如说叉烧好吃的叉烧梅花肉还是蛮多的不过于老师平时家里面一直吃梅花肉的话说明吃的还是很不错的吃的太好了
[00:03:05] 不过猪肉便宜这件事情确实是跟你一样感受还是蛮强烈的而且不太寻常为什么这么说呢近期农业农村部的监测数据就显示全国的生猪平均价格目前在每公斤9.5元基本上已经达到了过去14年以来的最低价就是你相当于买一斤肉花不到5块钱
[00:03:28] 对猪肉价格稍稍有一些了解的朋友肯定会知道中国的猪肉价格波动其实有一个著名的规律就是所谓的猪周期简单来说就是过去是每三到四年猪肉价格就会完成一轮上下波动它先走高再降低然后处理以后再反弹一般来说在这个周期里面猪肉价格位于底部的时间都不会超过一年而现在的情况是如果从2022年年中开始算起
[00:03:53] 猪肉价格下行和位于底部的阶段加在一起已经超过4年了行业里面虽然一直在使用调控手段但是其实我们到现在还没有看到猪价回升的一个趋势变成了一个长期摩底甚至有可能更低的一个阶段
[00:04:08] 就是过去的猪肉期你说它这个激烈或者说它干脆吧反正就是一个很稳定很固定的一个时间区域就是猪肉价格不会一直很高也不会一直很低但是现在已经长期在一个底部的话我们看到有很多报道就是说猪肉期是不是已经失灵了对于消费者来说的话其实猪肉便宜肯定算是好事嘛大家天天都能吃上梅花肉啊但是对于养猪的行业里面的人来说肯定就完全相反了一个很简单的道理前面我们说每一公斤
[00:04:36] 猪肉价格是9.5元对应到它每一公斤的实际养殖成本是多少呢实际上是12到13元就是你越养越卖越亏这样一个状态那在这种情况下你这个底部的价格又维持了4年之久整件事情就变得很诡异了所以本期节目呢我们就来聊聊为什么这一轮的猪周期和以往如此的不一样我们先会讲一下传统的猪周期是什么样子然后去看改变整个逻辑的四个因素包括规模养殖初心失效隐形增产以及金融工具
[00:05:07] 本期节目主要是行业讨论但是不可避免的会提到一些上市公司照理声明一下我们的讨论内容不构成任何的投资建议这里是商业就是这样
[00:05:24] 那要理解为什么这一轮的猪周期不正常我们还是先回顾一下正常的猪周期到底是怎么样的正常猪周期其实就是一个环节比较多的循环比如说我们先从猪肉贵的阶段讲一下猪肉贵的话养猪就会赚钱然后看到养猪赚钱就会一窝蜂的大家去养养的人多了猪就多了
[00:05:47] 猪多了肉就便宜了便宜就不赚钱了然后一部分人就不养了养的人少了猪又少了肉又贵了就知道问题的循环对这个道理吧确实是一点都不复杂那接下来一个问题就很直接为什么养猪的人不能理解这个不复杂的道理呢一直在这个循环里面在这个周期里面转因为这里面稍微有一个问题就是有个时间差
[00:06:13] 一头母猪从它怀孕到生下小猪然后再把这个小猪养大到能够出来卖掉
[00:06:42] 但你要说人能不能是提前预测这个事情呢也不是不行这里面有一个行业里面广泛关注的先行指标叫做能反母猪存蓝量其实我们在销量和销量有什么区别那期里面简单提到过忘了也没有关系我们再讲一遍
[00:07:00] 这个指标简单来说就是统计全国一共有多少头能够怀孕产宰的母猪这个指标变化通常会领先猪价变化大概10到12个月这个道理也很简单这个母猪多类就意味着它生的
[00:07:15] 小猪也会多猪多了猪价大概率就要跌所以说你看母猪数量基本就能大致判断周期位于什么位置以前这个指标是非常好用的但它现在没有那么灵了后面我会讲到能反母猪存栏量这个词念起来就很有韵律感就很像母猪的产后护理对不起你刚刚讲到这个点其实我还是有个疑惑既然你说这个指标很好用
[00:07:40] 就是说它之前很能够预测未来的这个载珠的这个数量那为什么大家不能用这个数量来就是预测接下来就是整个市场的变化然后我这个时候就稍微控制下我的买母珠的这个量呢
[00:07:52] 一个常见的解释是中国大多数的养殖户还是以个体的散的养殖户为主就是它的产能和决策都非常的分散就在这种情况下你其实很难要求整个市场像一个完全理性的个体一样就是看这种指标来预测或者说做应对理性之外的这种情绪惯性还是主导它的决策它有可能就真的看到市场上这个猪肉价格上来了以后它就自己去
[00:08:17] 去养了猪所谓的这个群体的非理性或者说我们在比如说证券市场里面看到这种追涨杀跌那种感觉是一样的是的OK那讲完了这个基本的猪周期的动机或者它这个一直转起来这个动力的来源之后呢我觉得你还是要跟我们讲一下它整个猪周期的节奏你刚刚讲了一个三到四年还是比较大概的具体的节奏是什么样的可以大致讲一下就是从2002到2022年呢中国大概经历了五轮完整的猪周期
[00:08:43] 前三轮呢基本上每轮走三到五年就走完了非常的规律而且有一个有意思的趋势就是虽然每一轮都是这个涨了又跌跌了又涨但是每一轮最后形成了这个猪肉的均价就是这个价格的中枢其实在往上走的第一轮的均价大概是12块多一公斤第二轮是14块第三轮是15块多一点它不是一个固定的这个比如政权的这个函数它是在波动往上涨的波动往上涨对
[00:09:09] 那这个是不是跟长期的通货膨胀或者说成本的上涨有关系这肯定是有关系的因为养猪的成本在这个20年里面肯定是持续往上走的所以这个猪价底线肯定是会往上抬的但是除了这个背景之外呢其实我们还说前三轮这个周期感本身
[00:09:25] 是比较一致的就是诸价涨到高点然后大家拼命的扩产跌到谷底散户扛不住了把母猪杀掉就退出了然后供给一收缩诸价就反弹就这个东西本身是没有什么变化的但你刚刚说的是前三轮对吗这个第四轮是发生了什么变化吗
[00:09:40] 第四轮有一个很大的外因影响就是2018年的8月在辽宁沈阳确诊了中国首例非洲猪瘟疫情非洲猪瘟这个病对于猪的致死率接近100%而且到现在都没有合理的这个商用疫苗可以去预防它所以说就是导致了那一轮的减产其实是比较严重的就是截止到2019年的7月全国是因为这个非洲猪瘟直接扑杀了116万头生
[00:10:08] 我们前面说了能繁母猪就是一个能够怀孕生小猪的母猪生产力
[00:10:31] 对你如果抽象的理解就是像Ray Dalio去理解麦勒基一样就是你把能反母猪无情的抽象为一种生产猪肉的上游设备就等于你在这一轮出清里面是把36%的生产设备就砍掉了那你后面的产出自然就跟不上了我一直觉得扑杀这个词本身就带有很强的恐慌的情绪就是这种感觉我记得扑杀一般来说就恐慌感会更
[00:10:55] 多一点而且更常见一点对那个数量确实比较少非洲猪瘟的这个新闻当时也是印象非常的深刻那根据这个情况来推的话是不是就是因为这个产能过于剧烈的下滑就会导致猪肉的价格的高点比以往要高很多确实涨了非常的多
[00:11:13] 可以看得到就是说2019年11月全国的生猪出来的均价已经达到了每公斤40.38元这个是达到历史最高的我印象很深那个时候真的是很贵就非常贵就是第四轮猪周期的话猪肉的价格的最大涨幅就是它最低点和最高点那个比值大概是261%这个幅度其实也是前三轮的两到三倍你如果说刨除正常的养殖成本就是那个时候就在最高点养猪真的是非常赚钱的就养一头猪可以赚
[00:11:43] 3000多一头猪赚3000那如果养很多岂不是对所以说那一轮的话其实非常利好于上市的猪企在2019年我们可以看到就是全国头部的上市猪企牧原股份它的生猪养殖业务的毛利率是36%这次在一年之前就是在这个非洲中游没有来的时候而且价格在低点的时候牧原那时候的毛利率这部分毛利率是不到10%的
[00:12:10] 就同样一个生意然后因为这样一个疫情这个利润率翻了就是是原来的将近四倍OK翻了两番对当然了这个就是非洲猪瘟造成一个极端的状况肯定是不可持续的但是正是就是出现了一次这种不可持续的暴力就驱动了接下来发生的所有事情
[00:12:30] 既然有这么大利润空间摆在面前呢热钱自然就涌进来了然后企业还要去想一些新的花钱思路可以看到2019年中国主要上市诸企的资本开支合计还只有483亿元到了2020年这个数字就是原来的三倍了光牧原一家就在里面花了461亿元那这些钱里面有很大一部分呢被用来盖养猪场我还是要请教一下就是养猪场很高金钱嘛就像花这么多钱我感觉比什么盖
[00:12:59] 很厉害的
[00:13:26] 不一定做电器上去但是肯定要做电器下来
[00:13:30] 好地域啊还是给我们解释一下吧就是为什么现在是这样的一个设施当然就是26层这个确实是一个极端案例大部分产能扩张还是就是没有这么多层数的但确实是楼房租场这个出现的概率越来越高因为它首先土地利用率是传统平方这个好几倍嘛这个能理解对而且节约化带来的这个效率提升是更加明显的比如说很多设施的话可以上下来连通做所以说呢头部企业基本上是往这个方向走的
[00:13:57] 其实规模化这个事情在猪瘟之前就已经在推进了不过之前的推动力主要还是出于环保策略倒逼了一些散户尽快推出低端的养殖业倒是没有严格要求大型企业都是这么去搞但是猪价带来的高意见就是给规模化养殖又按下了快进键
[00:14:16] 我们可以看一个关键数据就是2017年的时候中国养猪业的规模化率大概是47%就是我们前面说的那个刻板印象就是大部分产能其实是在散户手里的但是现在这个情况已经变得很厉害就是到了2025年这个规模化率已经超过了73%而且行业前十的企业现在已经可以占到全国生猪出来量的三成以上
[00:14:40] 哇那这个集中度已经是属于比较高的了还不错了对就虽然听起来占比还没有那么高但是相比以前来说肯定是有显著的进步了就是头部企业去养猪已经越来越像就是美国或者丹麦那种规模化的这种工业化的养猪的模式去看起嗯那这个跟猪猪是什么关系呢有什么问题呢因为在猪价比较高产能就是大家在扩张的时候其实是听起来没什么问题但是到了2022年理论上猪价开始下行以后呢就会有大的问题
[00:15:06] 按照传统的猪周期的剧本呢接下来应该发生的事情就是大家发现养猪越来越亏钱亏钱就要减产减产就会收缩供给然后就会造成猪价就是慢慢的反弹嘛那理论上你为了调整这个供给你减产必须要减到位才行对吧但是在这个第五轮猪周期里面我们可以看到这个能反母猪的这个规模同比值下降了14.5%其实远远不如猪那一轮就是灭掉三分之一来的那么深
[00:15:34] 而且整个减产战线也拉的非常的长其实到现在还能看到一直在去化能反母猪那你刚刚讲这个第四轮因为确实是比较的特殊那前面三轮的话产能从顶峰往谷底去降的话下降的幅度大概多少我们前面说这个第四轮的话因为非洲猪人是减了36%可以看第三轮的话大概是27%左右就可以理解就是说至少是比如说你减20%以上才是一个比较有效的一个减产对吧
[00:16:00] 现在这个比例14.5还少对确实太小了所以为什么这些企业或者养殖户他们不肯狠下心来减产这个就是博弈论里面经典概念是囚徒困境简单来说就是每一家猪企其实都知道就是如果我率先减产了这个供给少了猪价其实就能涨回来而且活下来的人都能受益但问题是没有人可以先减产因为如果你减了别人不减你就是有可能等不到猪价反弹你就死了
[00:16:27] 所以说维持现状少减或者不减反而成了每家企业的主攻的一个策略结果就是形成了一个僵局所有人都知道应该减但是所有人都不减是不是还有一个问题就是你刚刚讲的因为他们已经之前投了很多的资产在比如说给猪造楼等等上面就是你要减下去这个动作本身也没有那么容易确实就是让猪上楼的重资产成本结构本身也在阻止企业减产
[00:16:57] 讲到这个点呢我们就可以再回到养猪的成本问题成本大致可以拆成四块第一块就是固定资产折旧第二块就是养小猪的费用第三块是饲料这是一场的一些现金的支出还有一个部分是管理费用其中的固定资产折旧大约可以占到总成本的10%折旧这个东西呢就是不管你养不养猪只要这个猪场存在在那里
[00:17:21] 它每天就会在财务报表上产生一点成本就是你如果不养猪这个折旧也是照摊的但是因为你没有产出这个部分就相当于存亏仿佛在听什么永歌连麦视频不开张只亏房租开了张虽然有收入但是要亏食材人工水电
[00:17:36] 对就是这个账就是你自己想怎么算吧两种亏法而且这里面还有一个恶性循环就是如果说企业主动选择减产的话那么他在这个减产的阶段分摊到每头猪身上的固定成本其实是会更高的如果说猪价短期不涨就压缩了每头猪的利润空间然后你压缩了一头猪的利润空间你最后就压缩到整个企业的利润空间这其实就是因为又是上市企业利润空间还是要保住的所以说就又一
[00:18:04] 进一步削弱这个企业主动减产的这个动力等于还是因为企业的他这个思考的方式还有他这个运转的逻辑跟过去散户还是很不一样对他们来说满产但是亏损反而比空着这个栏位更加的理性对而且企业有一些更新的策略就是我可以不完全靠着自身这个经营来撑着可以看到很多企业是在资本市场上不停的借钱来维持这种亏着养猪的状态这是散户做不了的事情是的
[00:18:32] 可以举一个数字就是从2021年到2023年9月光是头部的三家主体就是牧原 温氏 新希望这三家公司加在一起的债权融资总额是超过了750亿元这可以多说一句新希望因为新希望不仅是做了债务的融资还有股权融资就是它增发了股票甚至把它的那个白羽肉情业务就是养鸡的那个业务都卖了就是又回收了一部分现金就是我就是要养猪我亏了钱也要养猪
[00:19:00] 又发新股又卖资产还要贷款借钱就是为了把亏钱的猪给养下去或者是想方设法在现阶段做到一点盈亏平衡比如说我们看牧原牧原其实还可以的它的养猪成本控到了12块钱每公斤肉其实是行业里面最低的而且它2020年还有新的目标就是降到每公斤肉生产成本是11块5这样的话哪怕猪价就已经跌到10块钱了对吧
[00:19:28] 但是因为就是说折旧这些非现金成本占了10%如果把这个部分扣掉的话就是从现金的角度来说它现金了还是挣的对就是这个账面上面它还是能算得过来这个账当然这个是墓园墓园是最好的主旗了那对于那些成本更高管理更差一点的企业来说其实要想要实现这种盈亏平衡就是更难的等于在规模化养猪这件事情上面大家同样都在死扛
[00:19:53] 但是头部企业呢他还是办法比较多不管是资金上面还是这个提升经营效率上面还是能看到一些希望的但是尾部的企业呢就确实是越扛越亏有可能会撑不下去对这个就会自然导向我们要讲的第二个点就是初心失效
[00:20:07] 前面我们已经讲减产这个点就是原本在诸周期里面减产初心就是减少未来供给里面最最重要的一环而这个过程呢一般来说不是很温和的往往是非常剧烈甚至是很痛苦的你刚刚说就是杀母猪然后退出对的我甚至有看到分析说一般来说这个诸周期的底部出现在什么位置呢就是这个行业的末位的中大型企业去破产的时候这个底部就到了
[00:20:30] 但是在这一轮诸周期里面其实这个指标也失效了为什么呢可以讲一个具体例子就是正邦科技正邦科技曾经是A股的第三大上市诸企然后在朱温那几年也是逆势疯狂地扩产的一个主力结果诸价一跌它在两年里面是亏掉了将近320亿元
[00:20:49] 就是很快就资不抵债了然后呢就是有一个供应商拿了一个900多万的一个成对汇票来兑付然后正包付不出来然后这个事情就引爆了对然后债权就申请了破产重整但这个破产重整过程呢比较有意思就是有江西省政府牵头有省市区共同成立的五套专班去开了近百次协调会就为了协调这个破产问题
[00:21:12] 最后呢是由中国最大的饲料企业之一叫双胞胎集团带着一些投资人就是出资43亿把这个正宝科技集下来双胞胎集团是真的双胞胎创意的我不知道但我能理解你讲这个例子的意思了就是我说的直白一点是不是就是过去那些比如说有些企业破产了或者是这个个体的养殖物破产了他就把母猪真的杀掉了那是就是物理上的真的
[00:21:35] 我离开这个市场但现在的破产呢只是这个原来的老板破产了你换了一个新的老板但是那些工厂那些就是养猪厂他并没有关掉他还是可以继续养猪还活着呢可以看到双胞胎集团入主正邦以后其实重整不到一年正邦原本的这个业务就起稳了而且他营收恢复到了90亿元左右而且可以看到双胞胎集团他不愧是做饲料的就是他的计划就是不是缩减产能是继续扩产的
[00:22:03] 还可以多卖点饲料给自己下的这个企业其实就完全起不到原本这个产能出清的这个目的了也不能说是目的吧就没有这个效果了对没有这个效果而且这种针对这个破产珠企的这个兜底还不是个案啊就是同一时期呢可以看到有一项澳农生物啊或者说天邦食品这些就是都是主动申请了这个破产或者说资不抵债结果呢都是比如说本地的国资或者说一些有实力的企业去接盘了
[00:22:30] 有一个统计数据是不到一年各地的国有资本其实一共花了88亿接盘了六家上市诸期那我这边还是有个问题就是这个情况每一轮的诸周期都会出现那为什么过去的这个企业的破产清盘就是真的退出了就让它自己就破产了现在反而是要去接就是照样来说诸期也不是什么就是高技术附加值非常高的那些资产对吧现在为什么这一轮会有这个变化呢
