Vol.26 办奥运到底赚不赚钱？
时长：00:39:55
来源：网易云音乐电台节目 · 商业就是这样 · Vol.26 办奥运到底赚不赚钱？

[00:00:06] 奥林匹克大逆转的这个过程里面除了像萨马兰奇这些核心人物的改革以外也有很多历史的进程冷战的氛围其实已经就下来了就是说政治已经没有那么说干预奥运会的这样一个力量了另外就是说电视的普及还有大发展的话可能也是一个背景因为说奥运会能开这么一个财源的话如果没有电视转播其实是不可能的还有一个很小的细节很说明问题就是原本奥运会都是14天的
[00:00:34] 后来在1986年的冬奥会上变成了16天这个好处是什么呢就是多了一个周末这个周末就可以大家看电视我们可以把一个城市对奥运会的一个投入看成是几个同心圆最核心的是与奥运赛事本身直接相关的那个运营的账在外面一圈是与奥运筹办相关的一些投入在外面一圈就是城市借助奥运会这个油桶加进去的那些投入
[00:01:06] 这里是商业就是这样
[00:01:19] 那个决赛看了我这是一开始我以为我的电视坏掉了因为他还搞了一个很酷炫的特效跟这个一塌糊涂的开幕式简直没有办法比对吧对啊真的是这一个多礼拜看比赛看得很爽啊临近国家办奥运会对于我们单纯体育迷来说真的是一个蛮大的福利对其实我们一开始不是很确定要不要做一期奥运相关的内容因为感觉这次奥运会没有举办的时候真的感觉他没有什么声音在国内开幕式前一天的话我都
[00:01:48] 看到很多话是说奥运是要开幕了就说大家都没有注意到这个事情对这不过也正常啊就毕竟有疫情这个很大的背景然后就在开幕式之前的话其实那几天时间大家都比较关注国内那个河南的水灾嘛就是奥运真的是至少在社交网络上没有那么大热度而且还有一个背景因素我觉得就是有可能这一届奥运会在国内主要是在央视频和咪咕这两个平台上面直播嘛
[00:02:14] 这两个平台如果在视频里面要论影响力肯定都不是最大的就相比于腾讯爱奇艺这些对现在大家连电视都不看你还要指望他们去看一些什么央视频对再加上一些体育品牌对吧尤其是主流的品牌今年的广告投放其实是非常谨慎的
[00:02:30] 各个方面都导致大家就是在内容上面没有感觉到特别多奥运的这个预热是吧不过真的一开始比赛的话我就发现自己确实比较naive对吧奥运还是奥运它热度依然是最顶级的基本上就是有一个比赛就是一个热搜甚至是一把热搜对吧比较有印象比如说拿了手巾的射击运动员杨茜比赛里面拍到他做了个美甲这个也可以上热搜对吧这很有意思当时就觉得说奥运作为一个全球性的活动它的影响力还是独一无二
[00:02:59] 所以我们这个就是看比赛看着看着想了一下还是做一期节目来聊一下奥运但是我们还是就不聊这个体育比赛本身了也不聊各种的热点事件了虽然就是我们还是有很多爱好的运动真要扯还是能够扯很久的但这个只是一个普通观众的视角也不值得大家花时间来听所以我们还是做这个我们这档节目本分的事情来讨论一下奥运会的这个商业价值
[00:03:22] 这个其实是一个周期性的话题对吧比如说每年办夏季奥运会冬季奥运会的时候都会看到很多文章来讨论说奥运到底赚不赚钱然后还有很多类似于什么奥运会入不敷出啦没有人要举办奥运画这种都是老生常谈的一些话题了
[00:03:39] 奥运会赚不赚钱呢这个问题本身没有那么复杂但是很多文章呢都没有说清楚一些基本的概念所以说我们也查了点资料来帮助大家科普一下就是奥运到底是一门怎么样的生意它到底赚不赚钱另外呢这一期我们也会尝试一个就是略有不同的这样一个方式啊就是有可能约老师来主要来提问然后我这边来多讲一点多叙述
[00:04:01] 稍微一点类似于捧梗和斗梗这种感觉我们也想试试看这种新的方式也听听看大家的反馈看看这样的形式好不好有没有什么样的问题
[00:04:10] 首先的话当我们去讨论奥运到底赚不赚钱的时候这个奥运到底指的是谁这个其实很重要就是在谈到钱的问题的时候我们先要搞清楚主语对吧就是奥运这个主语听上去是很明确的就开一个奥运会对吧其实这个主语不是那么明确的奥运会本身又不是一个单独的公司是吧其实如果我们要谈论奥运会的商业收益的话其实有两个主角要分开来看的一个是国际奥委会英文的缩写就是IOC
[00:04:39] 他是属于一个非盈利性质的国际组织按照这个他官网的说法是领导全球奥林匹克运动的最高权力机构就是他是一个奥运会永远的一个主办方第二个其实是每单届奥运会的一个组织委员会就是我们常说的奥组委往往是由主办城市甚至是主办国家的一些人来组成的比如说今年东京奥运会就是东京奥组委
[00:05:04] 所以我们经常说某某城市办奥运亏不亏钱或者赚不赚钱这个主要的这样一个对象其实就是奥组委的这个收支所以简单来说就是我们要从两个角色视角来看这个问题一个是IOC就是国际奥委会另一个就是美籍奥运会的奥组委对吧要么我们先从这个IOC就是国际奥委会开始
