Vol.261 硬币经济学
时长：00:39:58
来源：网易云音乐电台节目 · 商业就是这样 · Vol.261 硬币经济学

[00:00:00] 大家好 我是肖文杰我是小雅我们节目的长期听众可能会知道本台之前很喜欢做一类节目就是我称之为小题大做也就是从很小的一个话题出发把很多相关的思考串起来感觉这种类似于智力训练的活动已经很久没有做了所以今天复建一下我们来讨论一条很小的美国新闻
[00:00:23] 我不得是旧文啊一句话就是2025年11月12日美国的费城铸币厂生产了最后一枚用于流通的一美分硬币这个不仅旧而且真的非常小啊讨论的是一美分的这个硬币我们之前讨论的一些货币金啊银啊什么的感觉价值还挺高这个也太小了嗯所以我大胆的来问一下现在一美分能够干什么
[00:00:46] 我也不知道所以我去美国人的百度贴吧Core上面查了一下不是美国知乎吗反正就是有一个2022年的回复说一美分的话在美国当时可以买两勺汽油线可能不止你买不到了还可以买一张质量很差的打印纸不过比较好的是你去邮局的话他们会卖给你一美分面纸的邮票总体来说一美分的购买力确实极其有限
[00:01:12] 这还是美元呢是吧说实话还稍微可以算多一点如果是人民币的一分钱哪怕是五分钱一毛钱其实你现在都很难想到有什么具体的作用了反正有零有这种场景其实大家都已经很习惯微信支付宝来付就比现金方便很多我觉得美国人也是这么想的这个一美分硬币的历史本身是很悠久的可以追溯到1793年就是美国建国才20来年的时候
[00:01:38] 就已经有了这个银币但是直到2025年才彻底把它宣布结束感觉实在是跟不上现代支付方式的进步速度了这个是一点另一点就是这么一个很小的货币停止发行但是就在之后的一年里面这个停产给美国社会带来了很多小麻烦比如说很多商户都出现了找零的困难还有好几个州就开始设计法案来规范四舍五入的找零改革
[00:02:04] 这个又进一步引发了消费者和商户之间的潜在矛盾因为大家听到四手五入这种方案在结合美国的商品价格和税务体系感觉很容易变成一种漏洞最终让消费者多花钱等于是一分钱激起千层浪是吧所以今天我们就来聊一下一美分硬币停产相关的一系列话题
[00:02:25] 我们要把这个话题切开来看首先我们还是要从字面意义上的现金出发看一下它在美国以及中国的实际存在感到底还强不强其次我们要看一下为什么这个一美分的硬币在花不出去的情况下还能坚持这么久接下来就是一美分硬币停产的真正原因也就是经典的所谓助币税和助币成本之争最后我们再来看一下没有一美分硬币的这一年里面美国市场上出现的一些新问题
[00:02:55] 这里是商业就是这样那我们就从真正的现金说起吧在中国语境里面提到支付我觉得大家大概率想到都是移动支付什么微信支付宝碰一碰发红包之类的不知道肖老师是什么习惯我自己这个钱包里还是会放一点现金印记的但是实际上这个钱包里面使用频率最高的还是身份证
[00:03:18] 人民币的现金确实是非常少用了我有一次翻出我钱包里面的现金居然有可能是哪次出国的时候一些国外的外币的现金而且我觉得钱包这个东西是不是现在都已经应该是需求量比较少了像过去比如说你送一些比如说刚刚成年的一些年轻人或者说是送给朋友一些礼物的时候钱包还是个经常会送的东西现在要么送卡包卡包可能更实用一点反正硬币的空间确实非常少了就像你说的就是
[00:03:46] 现金或者说尤其是硬币这种东西最有感觉说一般来说都出国玩对比如说在日本的话你买东西找零硬币真的会非常多你可能还要额外找个地方去放硬币甚至像机场便利店还会把就是帮你清空硬币作为一个小的服务的卖点对吧那回过头来说那我们其实直接上就是会认为中国和美国都不应该是再去大多数使用现金了就毕竟是我们是移动支付比较多那美国大家可能认为信用卡比较多对吧
[00:04:15] 对啊怎么呢这是不是这个你说直觉上我就感觉你后面有跟但是了对啊肯定有但是啊所以说我们还是查了一下真实的数据就是来自于中国人民银行和美联储数据这个也是货币政策当中两个比较经典的基础指标一个是M0M0基本上可以理解为在市场上流通的真现金另外一个是M2M2可以
[00:04:39] 比较抽象的理解为整个社会里的货币总值那这里面现金可能是比较少的一部分的除了现金以外还包括各式各样的存款所以说M2其实是一定是大于M0的一个概念那在M0和M2之间其实还有个M1但是就是今天就不展开讨论了那关于M0和M2呢我其实具体想看的是两个指标一个是M0的绝对值变化也就是说中美两个国家市场上流通的真现金到底是变多了还是变少了
[00:05:08] 另外一个是M0和M2之比因为大家都知道这两年美国的印钞机开的很猛实际上M2的增发已经非常大了看这个比值其实是为了剔除货币盘子整体变动对于M0这个部分的影响所以一个是绝对值一个是相对值对吧直接说结论吧结论的话确实有一些反直觉的部分我们先说M0先说美国部分美国流通在外的现金也就是纸币加硬币的总量其实并不算特别小
[00:05:36] 到2026年的话是有2.45万亿美元这个数字相比10年前是增长了70%就其实是在涨的中国这个指标呢大概是14.75万亿人民币10年间增长的比例更高是1.35倍那其实不是说干掉现金吗现金还是越来越多但我理解这个是不是跟整个经济的盘子在增长也是有关系的对所以说后面我们去看M0和M2比值会进一步看到这个问题
[00:06:04] 不过你真的说到这个干掉现金这件事情的话其实我们仔细想想在中国有可能确实是这个趋势挺强烈的但在美国的话就我们自己看到一些刻板印象用现金的场景有可能没有那么少其实还有一个比较独特的理由就是美元的现金并不只是在美国境内使用
[00:06:24] 对这个其实有美联署官方说法就是他们估算的话接近一半的美元现金其实是在美国境外流通的比如说我们在谈货力那期节目里面就提到过有些国家它不是本国货币贬值速度很快那么其实本国有可能会接纳像美元或者说欧元这样相对来说比较硬比较强势的货币在实际流通当中使用这个是一类
[00:06:48] 另外就是在境外流通的美元现金里面还有个特点就是有接近八成是100美元的就是那种比较大的钞票就相比于日常使用大钞的更重要的价值是用来避嫌储值的放着的对这个就比较类似的是瑞士法郎瑞士法郎其实它的最大面额涉及到1000就是它储值能力是更强的这是为了一些特定的需求存在的就是保险箱里面除了黄金也要放点这个要放一点对的
[00:07:16] 那这个问题其实我们大概能够理解这个M0G于M2的这个比值这个占比其实是我们刚才讲的你要剔除掉那个就是增长本身的话看这个有可能更加准确一点是这个指标其实也蛮有意思就是你如果把中国这个比值拉一个图表你会看到就是每年都有一个月嘖一下穿上去哪个月春节的那个月呀
[00:07:38] 这个说明了就是微信红包就是没有把实体的红包彻底的干掉就是春节大概率就是我们一年当中接触现金最多的时段了而且大多数的微信红包这个面值应该有可能比春节时候那个实体红包还是稍微薄一点就反正就是春节前后就是确实银行关于现金的业务会显著的变多这个大家都是有概念的但是如果说我们就是把春节的这个月的异常值影响剔除掉的话我们再去看一下这个情况
[00:08:06] 有没有变化呢其实稍微也有点蛮有意思的说法就是在微信支付正式推出之前比如说我看了2012年的数据现金在中国货币供应量当中的占比其实就已经比较低了大概是5.5%左右上年的平均值之后呢就是
[00:08:24] 继续一路下降
[00:08:39] 不是很确定理由是什么但是就是直觉上还是说可能更多人愿意去存一些现金而不是说完全的把钱放在银行里面或者用移动支付的这种形式了就是很难解释清楚是吧很难解释清楚但这个我觉得挺有趣的这个变化
[00:08:55] 那再说一下美国吧美国这个比值是多少呢美国其实很超乎预期就是美国的货币总量里面比较稳定的一直有10%到12%是以流通现金的形态存在的美国没有春节所以它这个比值一直是比较平稳的一个数字
[00:09:11] 这个比例在2022年前出现过一个小幅的下滑
[00:09:40] 很多是使用现金的因为他们办卡不一定很方便对就是在年收入不足2.5万美元的家庭里面现金其实占到他们日常支付比例的四分之一这里不仅是所谓办卡不容易的就还有一种可能是他们的收入来源本身也是现金形式为多比如说直接拿小费或者说现金的支票这样子其次就是一类不怎么使用银行服务的群体
[00:10:07] 比如说像你说的有可能是没有信用卡的人群像老年人未成年人以及有一些征信有问题的人群这是人群特质的划分还有就是特定需求的划分我们说直白一点就是俗称的灰色交易或者影子经济
[00:10:22] 比如说毒品交易就是其中很典型的一类就是毒品交易就是不太可能给你转账啊大部分还是要依赖现金的这个也是反追踪的一种方案了过去还能就什么19世纪的时候还能用钻石对吧现在还是现金为主了现金比较好啊看到经济学家弗雷德里克·施耐德有一个估算就是
[00:10:41] 这个影子经济在很多发达国家其实可以占到GDP的14%那假设这里面大比例是用现金的话其实是就是把现金这个基础需求是狠狠的拖住了这一些在这个著名的巴尔的摩世纪录片火线当中亦有记载一记就看到他们在那里数钱对我自己有一个印象很深的就是之前看过一系列的视频啊就是他是搞笑类型的比如他请了一个维修师傅上门来修个电器然后请问他多少钱然后师傅拿出一张细节对吧一个板
[00:11:11] 一条条跟你勾说这个耗材多少钱然后我的人工费多少乘以公时等等的算好一个钱说一共1320美元然后客户就说那如果我付cash呢然后他就会说哎呀兄弟你早说然后你就说cash的话你就700块800块都可以你就看情况就给吧对因为现金也是一种就是经典的避税的手段就这个方面IS据说也有测算就是反正是每年就发现就是自己少收了很多税就是来自于这个方向的
[00:11:40] 总而言之呢我们在这个第一步伐还是希望破除一下刻板一下就是说虽然说中国的移动支付高度发达美国的信用卡支付高度发达但是现金依然在这两个国家都占据了一定的分量一定的场景和一定的人群虽然在现金当中呢我们在细分看来的话纸币的分量大概率就比硬币更重但是我们依然觉得这个是一个讨论接下来一美分硬币变化一个很重要的基础
[00:12:08] OK讲完现金的部分那我们就开始聚焦到这个硬币的部分吧具体来谈谈这个一美分硬币到底为什么值得小题大做因为一美分硬币虽然是此前美国所有的这个现金里面面值最小的一个品种但是如果我们把它转化成铸币厂的工作量
[00:12:28] 这个情况就会发生很大的变化这里我们引用美国铸币局的官方数据2024财年在美国铸币局生产的所有硬币当中一美分的数量占比是最大的它占到了就是铸币总数的57%另外美国财政部还有个统计就说全美市场上的存量一美分硬币有1140亿枚不是万枚一枚一枚美国人口大概是3.3亿是
[00:12:57] 平摊到每个人头上都有300多美元约等于三美元左右很多啊是但是这个就是你只看面值的话就像你前面说的看面值真的很少一点点对吧但是如果你看这个数量的话还挺的就是物理的实际的存在感觉每个家都有三个塞满的猪这样子对就是你这个物理的实体的存在
[00:13:16] 是蛮大的然后像你刚刚讲的对于住币厂来说就是一美分是个硬币对吧一美元也是个硬币我住什么不是住呢为什么一天到晚要住一美分那我就有个问题了就是他现在这个停止铸造了是因为之前已经太多了吗也不是就是还是根据财政部统计就是实际上美国消费者主动去使用一美分硬币的概率
[00:13:38] 并不是很高了因为我们前面也说了现金使用者虽然有一定比例但不算特别多那这里面其实就还是使用纸币为主小额硬币的使用概率没有那么高但是呢很多时候大家其实是在我用的现金去结账找零的时候被动的接受了很多一美分的硬币这个是不是就是那种经典的什么9.99美元这种定价的方法是吧就美国人最擅长的这个说到这个我要插开问一下到底
[00:14:07] 是谁发明的这种定价的方法当初到底是怎么想的好像没有官方的说法明确指向谁先发明这个方法但是这个事情确实在美国非常的流行看到过两个例子一个是说最早定这个方案就是强迫收银员为了找零而启动收银机
[00:14:30] 为什么要启动收银机是这样的就是当时的收银员有可能会手脚不干净会偷钱或者说就是假装没有这笔交易反正直接把钱自己卖掉所以说呢就是当时的收银机有一个设计就是他打开收银机的时候他会盯一下对啊
[00:14:44] 定一下就店长就会知道我在做一笔交易那他大概可以核对一下笔数这样子定一下是这个作用对防止收益员偷钱行吧一个是这个还有一个说法是讲到芝加哥每日新闻这个报纸创办的时候呢他打价格战就当时他给每个报纸的定价就是只要一美分
