Vol.263 郎的诱惑
时长：00:33:07
来源：网易云音乐电台节目 · 商业就是这样 · Vol.263 郎的诱惑

[00:00:01] 大家好,我是肖文杰我是小亚今天我们来填个坑啊,聊一聊寿司啦这个坑是什么时候挖的来着就是今年年初在广州搞五周年活动的时候岳老师就聊起那个时候正在横评粤港户3D的寿司啦并且得出结论就是上海的不行所以你现在还吃吗,经常有时候下午录完音就去吃一下呀经常狼的是吗
[00:00:24] 据我所知肖老师至今还没有吃过寿司了你这个没有吃今天来讲是不是不太行解释一下主要现在这个外食主要是和家人出去小朋友还小不太想让他对着大屏幕点餐虽然你有很多熟知的寿司了但是大屏幕这个稍微有点不太行可能再过段时间就可以了而且回转寿司我自己还是很喜欢的所以一定会去狼的
[00:00:46] 也会正传这两年以寿司当为代表的评价寿司可能是国内这个萧条的餐饮业里面为数不多亮点之一了讲述寿司当模式的文章也很多了包括杂志记者崔寿呢之前也写了一篇深度的报道采访了很多在寿司当以及在其他同类品牌工作的一些员工这次寿司当的官方呢也回答了我们的一些问题所以我们今天会基于公开资料和他的采访记录来聊但是不会完全重复杂志上的文字内容啊
[00:01:15] 主要是解决两个好奇第一个就是为什么是现在火因为回转寿司在中国已经发展很多年了为什么是这两年就火了呢而且我们知道这两年还有核废水的事件那为什么在这样的背景下寿司还能历史增长
[00:01:30] 第二就是为什么是寿司廊回转寿司有很多而且有一些在日本其实是不输寿司廊的品牌也在中国在拓展门店为什么这个阶段寿司廊相比于它的竞争对手领先了一个胜位在讨论完这两个话题之后我们还会简单的聊第三个话题就是回转寿司的这股热潮是昙花一现吗这里是商业就是这样
[00:02:04] 那我们就从为什么是现在开始聊起我觉得主要还是一个可能是消费端的需求在提升像这轮寿司廊为主的回转寿司不像是很多人说的消费降级它还是一个比较异类的品类升级的概念是的因为在寿司廊之前其实回转寿司在中国大陆已经也存在很久了你像那个和绿寿司它是个中国本土的一个品牌它是1997年就成立了然后像真鲜寿司它是台湾地区的品牌06年也进入大陆了
[00:02:33] 还有像元气寿司冰寿司这些日本的品牌他们都是2010年代就进入内地市场了但是呢这些品牌他们的客单价都是在50到80元左右的那有的那个品牌就是或他这个产品说实话这个食材跟超市里面卖那种盒装的外卖的那种寿司没什么太大区别那寿司其实是一个客单价至少超过100一般来说是120到150而且主打现场制作没有中央厨房餐厅
[00:03:01] 这个区间此前是没有特别大的品牌存在对你看这个的话它就是个升级之前我们讲到像真鲜等等它其实就是有中央厨房的配送的这个实际上有本质区别
[00:03:12] 岔开去啊其实我记得那个时候他在上海还是有价位和现在的寿司廊比较接近的回转寿司的如果我记得有个品牌叫和点现在还是有这个牌子的他主打的是那个金枪鱼的寿司也会做那种就是金枪鱼的开鱼的仪式啊等等的我还蛮喜欢的但是这个店它就规模一直很有限就是几家连锁那种状态和点现在还有就是我如果排不到寿司廊的话我就会去吃和点哦那我觉得过去和点还要排队的了还蛮火的和点主要就是现场制作比较新鲜品质比较好
[00:03:42] 崔硕呢其实在采访当中就提到很多的受访者会说啊寿司郎是在中国复制日本的回转寿司体验最好的品牌言下之意呢此前大多数在中国的回转寿司其实从产品啊到设备啊装修啊服务等等的还是会打点折扣的
[00:03:58] 所以有可能更符合现实的一个叙事就是产业升级了早期的回涨寿司它的作用主要就是在中国建立了这样一个品类的认知消费者大家都知道像金枪鱼三文鱼军舰寿司等等这些品类而且有了一点的习惯
[00:04:12] 只不过过去是缺少一个能把品质价格还有体验同时做得比较好的一个全国性的品牌另外日料其实一直是中国最大的外国餐饮品这个消费基础很稳固而且没有因为突发事件从根基上有特别大的动摇而且就是过去十几年中国一二线城市的购物中心他们逐步的把消费者外出就餐的客单价心理价位提升到了一个比较高的水平
[00:04:40] 大概100元以上的话会觉得比较正常我觉得数字上也是受益于这样一个趋势刚才讲的是消费者端的变化趋势现在我们可以再讲一下供应链层面我觉得这个是来解释Why now就是为什么是现在回转数字又火起来一个更加重要的原因
[00:04:56] 2023年的核废水的事件啊以及后来对于日本海产品的限制大家都会认为它是对于日本料理尤其是寿司影响很大的对吧因为他们主要原料过去都是日本的这个海产品但这个事情其实要具体的分析这个影响负面影响更大的呢可能是高价格的日料店比如说做那种什么淮石料理的或者我们说现在这种Omagase的那个寿司店几百块钱客单价的
[00:05:20] 因为他们过去最大的卖点就是所谓日本空运过来的进口的食材等于说这个世界是把很高价格的这种日料餐厅的招牌给砸了但是对于平价的回转寿司来说其实反而是个机会因为回转寿司走的就是规模效应你本来就需要大规模的采购水产品不像你一个小的一个高价格的店他有可能就是确定几个供应商到那个市场那边订好了之后每天这个量是比较有限的
[00:05:46] 那大的连锁品牌呢它就一定要在本地有比较稳定的大规模的供应那么核废水这个事件之后呢其实国内的寿司用的这些水产品啊它的供应链水平是加速的提升了具体而言呢这个提升其实可以分为两个层面第一个层面呢就是物流也就是全流程的冷链这个能力呢就是能够让水产品啊从海上到码头到公路上很稳定的比如说保持在0到4度这样一个水平一直的运输到餐厅的现场
[00:06:14] 这个实际上是寿司店的一个基本盘尤其像三文鱼金枪鱼这些大类它们因为主要的来源还是来自于海外的不是中国这边养殖的所以说你这个冷链是很重要这次我在采访记录里面看到一个侧面例子也可以说明这个问题就是有一位商场的招商人员说他跟很多餐饮投资人交流就是说有人想要跟风文法寿司结果发现供应链是最好解决难的是门店管理这个部分对供应链很好解决这件事情其实是跟过去是不太一样的
[00:06:42] 顺便说一句就是在核废水那个事情出来之后就我跟崔硕还合作过一篇稿子就是讲当时那些高端的日料店受到什么样的冲击其中有一些店他就提到比如说一些经验比较丰富的店铺他们其实在疫情之后就已经开始做两手的准备了因为那个时候其实国际的贸易就有点受阻了一边他们还是会用一些过去最高端的一些日本的食材像什么长崎的蓝旗金枪鱼等等但他也会去挪威西班牙等等地方去
[00:07:10] 考察去做备选了这个还是高端店铺评价寿司店它的需求量更大肯定早就是这样了你像寿司郎因为在日本他开店的时候就已经建立了所谓的全球采购的体系对吧他会在俄罗斯欧洲等等地方去采购鱼现在这套体系可以无缝的衔接到中国这个实际上它在中国拓电的一个比较大的基础
