Vol.27 被嫌弃的吸管的一生
时长：00:31:59
来源：网易云音乐电台节目 · 商业就是这样 · Vol.27 被嫌弃的吸管的一生

[00:00:09] 吸管虽然是一个很小的东西但是我们发现它是一个很好的入口可以帮我们去观察材料科学的变革以及公共政策是如何影响到商业社会的如果说谁能够为吸管在全球的流行负最大责任的话那肯定应该是麦当劳
[00:00:29] 不同的算法不同的视角的话都会产生不同的判断塑料的话其实是在这种比较复杂的情况下面逐渐的被污名化了具体到塑料吸管这个小的产品上呢它被打倒其实是因为一个具体的画面
[00:00:43] 这里是商业就是这样大家好,我是肖文杰我是徐彬青今天我们来聊一聊生活中非常常见的一个小东西就是吸管原因大家应该也猜得到就是因为最近吸管的话被纳入了国内新一轮的限速令的范畴传统的塑料吸管的话一下子变成了众矢之的变成一个被嫌弃的东西传统的塑料吸管的话要全面的被可降解的吸管取代掉
[00:01:15] 我们这期节目不太想讨论太多国家政策或者是很宏观的一些环保的议题而是就想聚焦在这根小小的吸管本身来聊一聊我们国家的限速令上一轮大规模限制的其实是塑料袋对吧塑料袋是一个应用极其广泛市场规模极大的一个行业相比之下的话吸管其实是一个很小的生意但是这次限制塑料吸管之后其实还是多少引发了一些我们普通消费者的一些
[00:01:45] 小的争议啊比如这个纸吸管对吧因为太容易泡烂了所以我们喝奶茶的这个快乐一下子就少了很多后来呢又有很多的这个饮料店或者餐厅咖啡馆出现了一些新的替代品包括什么咖啡渣吸管然后什么PLA的那个吸管等等的所以这个过程下来呢我们就对吸管这个产品本身产生了兴趣仔细的去想想就是吸管是一个原理非常简单制作非常方便但是非常好用的东西
[00:02:13] 它的这个设计的话基本上你用初中物理知识就可以解释清楚但是呢它的使用场景又有点特别比如说你现在如果在家里的话你把家里翻一遍很有可能一根吸管也找不到对吧但是如果你走上街一看你就可以发现就是说每杯奶茶或者每杯咖啡的杯子上面可能都插着一根吸管它其实随处可见的在这个公共的生活当中总之呢我们就是因为这个油头研究了一下吸管
[00:02:39] 查了一番资料之后我们就发现这个吸管这个产品本身它的诞生和发展的故事也已经很有趣了而且更重要的是在了解了这些故事之后我们再去看待这次限制塑料吸管的这样一个政策以及它的影响其实会有一些不同的角度以及不同的一些思考所以这次的话我们就打算聊一聊这个被嫌弃的吸管的一生啊
[00:03:01] 我们先说说吸管这个东西到底是怎么来的吧就是这个部分的话我讲出来可能大家就会觉得很反常识就是考古学的判断是世界上最早的吸管出现在5000多年前然后它是在两河流域下游的苏美尔城里面出现的在发掘一个墓穴的时候考古学家找到了一根用金子和青金岩做成的吸管然后在这个墓墙上面还画了一个生活场景就是说那个时候城里面的大家是会拿吸管来喝酒
[00:03:30] 那个时候的酒的话不是我们现在这种工业酿造的啤酒葡萄酒它的罐子底下很大一部分都是发酵剩下来的渣你用吸管来喝的话可以避免喝到很多渣把嘴糊住对吧但是这个吸管很贵气金子和青金岩对啊我还听说另外一个更反常识的一个科学实验就是从另一个角度能说明吸管是多么能够符合我们的本身的本能就是科学家找了好几种新型
[00:03:57] 然后呢给他们好几种管子类的东西有硬的有软的然后呢就给他们放了一杯果汁对吧看他们怎么办结果发现不管是哪种大猩猩他们都会选择拿吸管来吸果汁可以说是非常聪明了就是可见就是人类和临场类动物的差距可能真的很小就是大家都很喜欢用吸管早期的吸管很多是自然的材料比如说中国古代的话也会用那种中空的芦苇杆来喝酒它本质上也是一种吸管对吧
[00:04:25] 但是真正作为工业产品的吸管的话其实是要到1880年代才出现的当时有一个美国的商人叫Marvin Stone他很喜欢在夏天喝那种冰的冷饮但是呢他当时用的吸管是用黑麦结杆做的很容易在这个饮料里面烂掉你喝一杯冷饮要换五根吸管对吧他自己的话他的工作主要是一个卖香烟的他就从香烟的包装设计里面找到了灵感
[00:04:52] 他把纸在一根铅笔外面卷了几圈然后呢再用胶粘牢就变成了世界上第一根人造吸管的原型所以说现代意义上的吸管的话最早就是纸吸管在1888年的时候呢Marvin Stone终于想了想就说我要把这个东西做成个生意他就为这个发明申请了一个专利到1890年的话开了一家工厂专门来生产这种纸吸管而且在报纸上大打广告
[00:05:16] 到1930年的时候的话另一个发明家的话对于纸吸管又做了一个改进这个改进非常有意思就是他把一个螺丝卡到这个吸管里头然后把这个纸吸管压出一个螺旋的纹路来然后他就把原来直的纸吸管变成一个很容易弯曲的形状这个设计的话对于卧病在床的病人来说是很方便因为你躺在床上也可以来喝到饮料了在这边我要先提醒一下各位尤其是小朋友不要随意将一个东西塞到一个洞里边尤其是塞到身体里边
[00:05:45] 这是非常危险的这个话题我们后会还会提到回到说吸管这个话题当时马文斯顿发明吸管这个事情的话其实他有一个优势就是他赶上了美国城市化过程当中一个很好的时间点当时的话很多美国人是从农村搬到城里去工作和居住的他们在休息的时候自然会想着我找个什么地方休息一下聊聊天对吧
[00:06:07] 当时美国的街头和工厂里面有一种装置叫苏打水喷泉这个就有点类似于我们一些公园里面现在会设的那种公共水龙头就是那种喝起来有点不雅观但是很方便的东西然后美国人会习惯在这种水龙头里面加一点气这个就其实是可口可乐流行起来之前美国最受欢迎的一种软饮料美国人真的很喜欢苏打水他们都有苏打水店对吧对
[00:06:33] 但是这个苏打水的喷泉设计的话有一个问题就是说到底怎么喝这个东西呢这是我们前面讲到这个公共水龙头就是把嘴直接对上去喝就已经很不雅了对吧一般来说的话会在这个喷泉旁边的话拿铁链绑一个杯子放在旁边就想象一下一个杯子你喝完我喝我喝完他喝对吧不仅不卫生还很容易导致比如说如果你有传染病的话这个传染病就很容易流行起来但是吸管的话就很好地解决了这个问题
[00:07:00] 大家都用自己的吸管然后用完了也可以丢掉对吧所以说吸管的生意的话在这种情况下一下子就变好了然后到1911年的时候的话又有人去设计了一个装置就是一个专门用来放吸管的盒子按下去一根我们小时候在麦当劳里面按过吸管的话你就知道这个装置大概是什么样子了这个装置的话也就进一步保证了用吸管这件事情的话更加卫生我就很喜欢在那个快餐店里面按那个吸管小时候就有这种快感
[00:07:29] 不过这么说的话就是吸管这个产品早期的流行其实是跟公共卫生的需求比较相关的大家是出于健康的原因才选择了吸管而且是一次性的吸管当然也有一个重要的原因就是因为吸管非常的廉价而且容易生产在1901年的时候的话美国一年就已经能生产出1.65亿根吸管了1924年的时候的话这个数字已经变成了一年40亿根
[00:07:56] 当时的美国人口才一亿出头相当于摊到每个人头上每年就要用30多根吸管可想而知这个吸管当初发明的时候就是这么简单的稍微卷一下把它能当做一个专利也是有点好玩不过这还没有完就是说真正能推动吸管这个生意做大做强的公司当时都还没有出现如果说谁能够为吸管在全球的流行负最大责任的话那肯定应该是麦当劳以及他的灵魂人物让克劳克
[00:08:25] 让克劳克如果大家熟悉商业史的话这是一个绕不开的名字让克劳克把麦当劳这个事情变成了一个伟大的商业模式但是呢他在做这个事情之前呢他的本职工作非常普通他是一个纸杯厂的推销员他不仅卖纸杯也卖吸管他干这个工作的时候大概是1930年代那个时候的吸管已经非常廉价了大概你花9美分的话可以买一包100根
[00:08:51] 让克劳克这个人就是在美国到处去找生意机会的时候在美国的南部发现了麦当劳这个餐厅他当时觉得说快餐这个模式很不错他就决定说自己加入到这个公司顺便就开始代表麦当劳去大量的采购纸质的包材以及吸管就是麦当劳为了提升自己的用餐效率的话在包材上面其实做了很多的改进比如说一个很经典的案例就是汉堡包的那个贝壳状的纸盒设计对吧
[00:09:18] 但是说在吸管上面最大的改进其实不是说吸管本身这个设计吸管本身从古到今长得都是一样的最大的改进其实是在于材料本身也就是从纸吸管到塑料吸管的升级有一个说法就是说因为麦当劳这个公司的创始人他有一个侄子进了一个塑料工厂工作才导致了说塑料吸管开始被麦当劳大规模来使用
[00:09:40] 不过实际上我们看到的情况就是说麦当劳开始扩展的1950年代的话全世界都已经开始对塑料这种新材料非常着迷了整个行业的生产量可能在一年之内就可以翻10倍然后波及到气管这个小产品上来说是非常正常的
[00:09:57] 塑料的话相对于纸吸管的话有非常明显的优势比如说我们很了解就是早期的纸吸管非常容易烂在塑料出现之前的话行业里面常见的解决方法是在吸管的内壁里面涂层蜡这个做法呢在早期还算凑合但是有了塑料之后呢纸吸管看起来就是满身都是缺点比如我们还是举麦当劳的例子麦当劳的话他比较早改用了塑料的饮料盖
[00:10:21] 当时的纸吸管就不够硬很难一下子戳透这个盖子上面那个十字形的开口但是塑料吸管就可以因为够硬对吧很快的话以前做纸质包材的工厂都意识到了这个问题他们都开始改用塑料来生产各种东西
[00:10:36] 虽然听上去有点政治不正确但是我作为一个石油化工的子弟就变成想要为这个塑料教教好就是可以说就是我们现代的这个人类的生活没有塑料的话几乎是运转不下去的也不可能像现在这么便利比如像塑料吸管它的主要材质叫PVC嘛它中文名字就是聚氯乙烯那这种聚氯乙烯它的主要原料呢就是乙烯乙烯这个名词大家都熟悉吧就是我们中学的课本里面都学过的
[00:11:03] 就是一个国家的工业实力的标志就是以息的产量可以体现出塑料是多么的重要是吧没有想到肖老师对于中学课本如此的熟悉对当然的确是这样就是塑料的大规模使用的话其实是20世纪下半叶制造业的一个非常重要的变化如今如果我们去看全球塑料年产量这个指标的话一般的这个单位是要以亿吨来计的
[00:11:25] 但是在讨论塑料吸管之前的话我们还是想再理清关于塑料的几件事情就是给塑料代教教好对吧首先的话就是塑料和石油工业的关系的确是非常紧密的目前全球90%以上的塑料都是取自于化石原料的不过呢生产塑料其实只花掉了地球上6%的石油消费量其中呢这个6%里面有一半是进入到最终产品的另一半的话其实是用在生产这些产品的热能供应上的
[00:11:53] 6%这个水平大概是什么水平呢就是其实跟全球航空业的耗油量是接近的那就相当于你不生产塑料就相当于全球不飞飞机不过也有人认为就是如果塑料行业再这么继续发展下去的话到2050年的话它在全球石油消费量中的占比的话会升到20%也是个不小的数字了
[00:12:13] 其次的话就是塑料的应用范围的话是非常广的很多塑料其实是被用在你想象不到的地方对吧比如一辆小汽车它可能15%的重量都是来自于塑料的然后一架波音客机里面也有可能是一半的材料都是塑料具体到塑料包材这个部分也就是说我们平时常见的箱子包装袋瓶子保鲜膜还有我们今天讨论的吸管这些它们也是塑料的一个很重要的使用场景
[00:12:39] 塑料包材的话大概可以占到全球塑料使用总量的26% 1%第三个的话就是塑料被大量做成包装材料是因为它本身是一个非常出色的材料首先非常轻对吧其次它可以做成任意的形状第三就是它在很大的温度范围内性质都很稳定而且它的整个生产过程的工业化程度非常高价格可以做到极低我们去找了一个欧洲的塑料行业的统计数据
[00:13:08] 它是说其他的包材比如说纸或者金属想达到塑料的这种包装效果的话它这个方案的价格一般是塑料方案的价格的3.6倍然后还有一个数字就是说同等重量的其他材质的包材的话在全生命周期里面排放的温室气体总量是塑料的2.7倍其实这个是个很惊人的数字最后的话就是塑料在全球的使用分布是很不均衡的
[00:13:33] 我们看一下今年纽约时报的一个报道就是说每个美国人一年当中平均要用到50公斤的一次性塑料产品而中国人的一次性塑料消费量的话是美国的三分之一印度的话更少印度人只是美国的十二分之一就是非常少的一个量
[00:13:51] 简单总结的话就是其实刚才约老师是用几个数字包括几个点来勾勒了一下塑料在几个重要的议题当中的这样一个实际的位置或者他做标识当中的那个位置对吧首先是他在这个整个石油供应当中他占的一个位置其次的话就是他到底占我们整个消耗化石能源的比例是多少第三个的话就是他在我们生活当中的应用
[00:14:13] 第四个的话就是为什么它会只是这么广泛的使用然后背后的一个基本的商业的逻辑也好或者说是它成本的考量也好这样来总结的看一下的话其实实际情况就是塑料和不环保之间你很难划一个非等号也很难划一个直接的等号它是一个非常复杂的关系比如单从排放的角度来看如果我们现在经常讲碳达峰或者碳中和对吧
[00:14:37] 这样一个大的目标下面具体来应对到塑料行业我们应该怎么来控制它或者怎么来使用它其实是没有一个非常简单明了答案的对就是很多问题都要看具体的计算方法就像我们上一期去算奥运的这个账不同的算法不同的视角的话都会产生不同的判断就是塑料的话其实是在这种比较复杂的情况下面逐渐的被污名化了具体到塑料吸管这个小的产品上它被打倒其实是因为一个具体的画面
