Vol.271 阿迪达斯如何触底反弹？
时长：00:28:08
来源：网易云音乐电台节目 · 商业就是这样 · Vol.271 阿迪达斯如何触底反弹？

[00:00:00] 大家好,我是肖文杰我是小亚世界杯已经结束一段时间了但是夏天还没有结束依然是我们聊运动类话题的好时候可以跟大家简单预告一下包括这期在内最近我们可能还会有两到三期跟运动和运动品牌相关的节目进行期待要么我们在这个期间改一个限定的名字叫运动就是这样如何好陌生的节目啊那说回今天主题我们今天来聊阿迪达斯
[00:00:28] 其实我们在2021年底就是第一次我们在波克里面做诗意大公司这个策划的时候呢阿迪达斯就光荣的入选了而且之后几年感觉这个品牌至少在中国确实有很长一段时间都还带走那个下坡路但是今年阿迪达斯的口碑好像都有了很明显的逆转而且有好几个连续的利好事件出现
[00:00:52] 首先就是春节的时期在中国他做了一个就是中国系列的服饰就是所谓的新中式是获得了就是全球范围的这个火热的反响就是感觉全世界人都要买那个就是有盘扣的那个外套是然后就是今年4月份的时候伦敦的马拉松男子精英组有两位运动员是达到了马拉松破二
[00:01:14] 这个伟业吧就是跑进了两小时以内再加上同样打破世界纪录的这个第三名就前三名运动员他们都是穿着阿迪达斯的跑鞋完赛最后呢当然还是世界杯那每届世界杯几乎都是耐克和阿迪的正面对决那这个两个品牌这次是各自赞助了26支球队不过在这个决赛场上因为是西班牙和阿根廷嘛最后是
[00:01:37] 阿迪达斯球衣就是成功的会试这个其实我们在之前讲世界杯的节目里面也提到过那总而言之呢经过这一连串的利好阿迪达斯的讨论度是回来的不过我们看其实比讨论度更早回来是阿迪达斯的股价这里我们主要参考它的是主要上市地是法兰克福交易所的股价阿迪达斯是得起啊得起啊2021年我们讲阿迪达斯失忆的时候呢
[00:02:04] 就是我们回过头来看它那个时候的股价其实是在A纱的初级阶段最近提到这个词是不是有点频繁了叶老师A纱比较多那公司的股价是在2021年的7月达到了历史最高的一个位置是300欧元以上那之后就是一路下滑其实最低的时候是接近100欧元了而经过一系列的努力阿迪达斯的股价是一度修复回到了255欧元以上不过现在已经又跌回到160欧元了
[00:02:32] 怎么说呢相比高位是接近腰斩但相比低位又涨了60%这么辩证的吗袁老师那之前不是有个段子吗就是如果你的朋友100块钱去买个股票跌到50块钱的时候呢你去抄底最后这个股票跌到5块钱你的朋友亏了95%你亏了90%
[00:02:51] 这看起来差不多就是股市中的一些小小的数学知识奇妙的数学但是不可否认阿迪达斯在过去五年里面还是完成了一次很不错的复苏的过程只要业绩上面的确是复苏了
[00:03:05] 考虑到耐克的股价目前还在A杀的尾声阶段我们觉得阿迪达斯的复苏过程是一个很好的参考所以本期节目我们就以年为单位来复盘阿迪达斯下坠又自救的五个阶段因为涉及到上市公司还是照例声明一下本节目内容仅作为行业讨论不构成任何投资建议这里是商业就是这样
[00:03:37] 那我们就先从2021年阿迪达斯盛极而衰的这一年开始说起其实那一年在市议大公司的总结里面我们提到过一些因素就比如说是中国市场的影响还有疫情导致了越南生产基地的不稳定等等的现在回过头再来看你觉得这些因素重要吗或者还有什么补充吗我觉得这些
[00:03:56] 因素都很重要我们只是帮听众们再回顾一下那如果说我们看这个公司2021年上半年的财报其实各项指标都写得非常健康那问题主要出在下半年那全球的供应链问题开始体现在财报上同时呢中国市场因为争议的话题失速了我们先说这个供应链的部分因为阿迪达斯的这个协服生产基本上是外包的
[00:04:18] 那么所以说从设计生产然后把这个货送到门店或者说经销商的仓库再到上架的销售整个过程其实是需要比如说八到九个月才能全部跑完的2021年是个什么状况就是那个时候全球的海运还没有完全的恢复那加上就是爱达斯主要生产基地在越南越南这个地方当时是经常有临时性的停产的这个就导致产品的生产环节和运输环节出现了比较显著的延迟
[00:04:46] 这个方面我们可以看两个具体的运营指标一个叫做在途库存占比也就是说这供应商已经生产好但是还没有交付给品牌的商品在他品牌总库存里面占比多少其实也就是多少货卡在半路上了嘛那做个对比2019年没有疫情的时候呢这个数字大概是接近29%2020年其实也就只有28%因为2020年大家可能知道是一个局部疫情的状况就没有那么大的影响
[00:05:14] 但是到了2022年这个指标其实已经提升到了38.8%就这个数字就是一直有货卡在半路上
[00:05:21] 问题就是库存是否提前到位
[00:05:50] 那Adidas因为它是经销和直营的混合模式所以说它的可销售月数其实会比纯直营的品牌更低一点纯直营品牌一般来说是支持三到四个月的销售会比较好一点那Adidas是在2021年的下半年的它的可销售月数其实是相对来说很低的已经只有2.21个月这里边还有一个非常重要的问题就是这个可销售的这个月数是算进了前面我们讲的在图产品的库存的对如果把那个
[00:06:18] 跑掉的话就说明当时销售环节其实是有比较强的断货的焦虑在就是我真的没有多少库存可以卖了除了全球物流的话2021年对于阿迪达斯形成当头一报的肯定还有它的中国区业务当时其实很多国际的协服品牌都因为同样理由受到冲击
[00:06:37] 但是对于阿迪达斯来说这个问题在于大中华区是它着力扶持的一个重要的新兴市场所以说打击就会更大一点可以看2021年的上半年没有这个影响的时候阿迪达斯的大中华区是37%的超高营收增速它在全球总营收当中的占比也有23%其实是一个非常重要的地区市场了
[00:06:58] 但是从下半年开始可以看到大中华区的营收就是连续两年都是在下降的它在阿迪达斯全球的盘子里面也变成了一个12%到15%的一个占比就没有以前那么重要的简单小结一下就是全球的物流堵点难以解决然后大中华区的增长引擎又率先的熄火这就是阿迪达斯2021年下半年的情况但是到了2022年它面临的问题要更多更大
[00:07:25] 讲到22年的问题其实我们就要提到一个更加关键的词就是库存问题了库存管理堪称是运动品牌最常见的一个周期性的经营问题我们其实最常说的是更经典的一个案例是2008年北京奥运会以后耐克和阿迪同时都面临经营困境
[00:07:43] 不只是耐克和阿迪所有的品牌都有这个问题就是当时一个比较通用的解释就是说大部分公司都很乐观的估计了这奥运会期间的销量以及囤了太多货难以消化是我们前面提到2021年下半年当时的阿迪达斯的可销售月数其实是一个低位因为有一定的比例的存货是卡在了物流环节的但是到了2022年货都在仓库里了物流也很顺畅了那么这个公司就开始发现这个库存消化不了的一个问题
[00:08:10] 前面是不够吃现在突然就是吃不下可以看到可销售月数这个指标2022年的上半年其实回升到了三个月以上这也算是一个相对高位的一个数字这个情况是一直持续到了2023年年中才开始缓解的那么接下来的问题就是为什么卖不出去了这个时间的销售受阻有很多原因比如说从前一年延续下来肯定是大中华区这个部分是有影响的那这部分的营收
[00:08:35] 持续在萎缩可以看到利润率也是在萎缩的比如说可以看2022年下半年如果说我们专门把下半年大国中华区业绩剥离出来看的话可以发现毛利率已经跌到40%以内净利率甚至已经在转负了这个毛利率对于这个协服来说其实是不是很乐观净利率转负我觉得是一个更明显的一个信号对就那个时候大家就是从中端我们消费者这边能体会到的就是会有一些
[00:09:00] 这个大幅降价特别便宜的阿迪达斯出现对那个时候价格体系就开始有点问题了不过我觉得就是中国区这个问题还是中国区那个问题其实还是延续了21年那个特殊事件所产生的影响或者说它是一个已经再出力的利空了是的其实当年的真正的困境核心其实是一个新的
[00:09:18] 超大的利空就是Adidas和K&W解约了然后就导致它可能是最高的那条利润线就是Easy的那个销售就椰子鞋受到很大的冲击Adidas和K&W合作其实很早就是2006年就开始了然后第一款椰子鞋其实是2015年问世的因为K&W的这个明星效应还是很大所以说椰子鞋这个系列它的定价和利润率相比起Adidas的常规产品都是显著更高的
[00:09:45] 就是你从财报里面其实没有办法完全的看出椰子鞋对于阿迪达斯的利润和销售额的贡献但是就是你可以有一些办法来测算啊比如说某个史丹利他就做过一个估计我们一般来说用这个数字就是
[00:09:58] 它在2020年和2021年都为阿迪达斯贡献了17亿美元的销售额占整个公司的营收是8%左右但是利润呢贡献的利润有可能占40%左右就超级的利润难扭
[00:10:10] 但是呢2022年10月就是K-West因为他的不当言论引发了争议然后阿迪达斯是迅速宣布跟他终止合作那这个对于供应链来说这个问题就很大因为下游的销售就突然把闸门关上了那上游已经生产好的产品还有说他已经敲定这个生产排挤是很难就是快速反应的这其实就导致了阿迪达斯要处理很多已有的椰子鞋的这个产品库存还要去着手解极跟他相关的一系列有形和无形资产比如说他那个设计的
[00:10:39] 模具所以还这个部分的问题不单单是库存问题我们可以看到阿迪达斯在2022年财报里面提到了就是说针对12亿欧元的这个椰子鞋的现货和再图库存做了减计准备所以说可以看到在当年的下半年这个公司财报里面有一个项目叫做折旧摊销和减计这个项目是有一些比较明确的上涨的不过这个减计准备就支持我们之前有一期节目讲到过就是讲那个卖不掉的奢侈品怎么办对那里面提到过这个减计准备
[00:11:08] 我感觉跟这个还是有一定的区别就是剪辑准备是准备没有说一定是真的去剪辑的阿迪达斯是后来选择在2023和2024年初有分三次时间是重新把一部分库存拿出来在直营的渠道限量发售的还有一部分就是转成慈善的一个捐赠这一部分产生的收入其实在后来财报里还能转回来叫做剪辑损失转回可以看到2023年和2024年就是剪辑损失还能有一点转
[00:11:37] 就是大家真的还会去买就是椰子鞋这个问题有可能现在大家有可能有点无感了在当时实际上对阿迪达斯来说有点措手不及因为它不是一个这个品牌逐步的黄了对吧你产生的库存问题而是突然一下子不能卖了产生的这个问题
[00:11:52] 然后又是个非常大的一个量所以说当时其实阿迪达斯如何处理这些库存是花了很长的时间来解决的但我觉得最后这个处理的效果还是挺不错的对就是总算是找到了一个比较合适的方法吧那在中国市场和椰子鞋的问题之外呢阿迪达斯在2022年还有最后一个问题就是如何处理他的俄罗斯市场那俄乌冲突爆发以后呢阿迪达斯是先选择在当年的3月暂停他在俄罗斯的业务然后关闭了一部分门店
[00:12:19] 那到当年的十月呢又决定彻底退出整个俄罗斯市场这件事情大家不要觉得它俄罗斯市场好像不怎么重要对阿迪达斯来说很重要是阿迪达斯眼中的欧洲是可能跟别的国家形象的欧洲地图不是很一样的是一个就是大家比如说在社交媒体上可能看过一些梗啊就是俄罗斯的朋友们穿这个叫阿迪阿迪的那个标志的衣服是非常常见的对吧第二个就是它其实历史上确实有非常深的渊源为什么他们这么流行呢在俄罗斯就像冷战的时期其实
[00:12:48] 阿迪达斯在俄罗斯当时苏联已经有非常多的业务了还有一个很著名的例子就是在莫斯科奥运会上面其实那届奥运会大家知道有很多的国家和地区包括我们国家都是抵制那届奥运会的但那个时候阿迪对于苏联国家队还是有赞助的
[00:13:03] 这是非常大胆的一个策略我感觉有机会我们又可以讲这个故事对阿迪这个就是他当年的这个发展的故事和欧洲啊就全球的地缘政治还是关系很紧密的反正就是话说回来就是苏联解体以后呢阿迪达斯其实顺理成章成为了整个俄罗斯运动市场的一个主导品牌可以看到2012年他时任的公司CEO霍伯特海纳还透露过
[00:13:27] 当时俄罗斯是整个公司发展最快的一个地区市场它的增速跟北美和中国市场是并列的只不过这个业务盘子还是不是太小我们可以看到最终关停俄罗斯市场估算是给阿迪达斯带来的3亿美元损失感觉这部分实际影响力是有限的我觉得主要是因为关停的时候它已经比较小了但之前的话它在它顶盛时期实际上是很大的一块业务
[00:13:52] 只不过就是说到那个阶段就2022年就公司的利空就已经很多了只不过又多了一个这个其实对于公司最后的这个股价影响我觉得可能会大于它的业务影响前面我们讲到的2022年的其实现在回过头来看就是堪称阿迪达斯最艰难的一年但到了23年的话它其实已经开始有所复苏好转的迹象了这一年的公司是换了一个CEO是从阿迪达斯的兄弟品牌
[00:14:23] 标马真正的兄弟品牌标马过来的一个人叫做古尔登古尔登上任以后他其实对于公司当时比较迫切的一些重大问题都做了相对很圆滑的处理比如说像我们前面说这个椰子鞋的库存没有选择一次性销毁而是低调的分批去出售然后他本来大力推进的这个直营计划也是叫停了因为标马就是一个很重视这个经销商关系的一个品牌所以说他就是还是走这个策略就是去帮助经销商去提高他们的库存质量其实也是就是重修就好嘛
[00:14:52] 因为你大推之音的话其实就是影响了经销商的利益对那在此之外呢郭尔登后来反复提及一些是另一个计划就是他解冻了公司的复古款印钞机之一的三把系列三把那个款式目前国内一般叫它德讯系
[00:15:08] 德国训练鞋它的鞋头呢就是有一块T型的这个皮革保护你很容易就想到那个款长什么样就是这个款式的年龄可能跟我们中国非常著名的回力鞋有的一拼了啊我觉得可能比回力鞋确实是差不多就是华尔街日报有一个报道里说是三把在西德推出的时候美国还在实施马歇尔计划呢非常古早啊非常古早啊不说到复古款印钞机我觉得阿迪达斯就是很擅长做这个事情那除了三把以前还就是有过
[00:15:37] Stan Smith的复兴然后还有贝克头那个Superstar的复兴这是一个他很纯属的一个策略了就是不断能够推出新的爆款的这个复古鞋就是所有人都知道你就是在炒冷饭但是你这个炒过的冷饭依然能卖得出去这个事情也很关键就不停的能够换出一碗新的饭来炒一炒对按照古耳当说法就是他去阿迪达斯上班之前已经发现就是三把这个款就有一点火起来的趋势了
[00:16:02] 但是呢公司并没有因此想要加大产量可能就是比如说出于这个付款期售的这个对那果尔登上班第五天他就决定把这个事情就是确定下来我要推广包括Samba在内的三条复古线那一旦成为公司策略呢那其实Samba就可以看到有意无意的出现在了更多的名人街牌还有TikTok的短视频里面
[00:16:24] 然后就会被新一代的年轻人买走
[00:16:51] 尤其你和之前的椰子鞋来相比从投入产出比来说你炒付款的难度肯定比从头搞一个椰子鞋要难度小一些但是效果其实也差不了太多从现在的目前来看你肯定没有到那种当年如此爆火的地步但是风险也降低了三把跟它联名的一些明星数量会更多其实加在一起它的影响力也挺大的我觉得单纯从投入产出比来说是一个很好策略
[00:17:19] 好像在销售最好的时候郭尔登在那个电话分析师会议上面其实说过就是复股款的增长收入是可以弥补一部分椰子的这个收入损失就是他没有说具体能够弥补多大比例但我觉得这个应该是不小数的他才会这么说对因为椰子鞋就在美国还是当时量非常非常大你说直接出一个复股鞋就能把椰子鞋全都补完的是不可能的可以看到当年整个公司的营收虽然确实还在下滑因为椰子鞋撤出北美市场确实影响
