Vol.272 2026年了，怎么还有人要做中国版Airbnb？
时长：01:33:43
来源：网易云音乐电台节目 · 商业就是这样 · Vol.272 2026年了，怎么还有人要做中国版Airbnb？

[00:00:01] 欢迎收看商业就是这样的视频播客因为我曾经立下独势我上这个节目应该次数不会很多那我觉得这个也是可能是我今年少数几次做这个节目的机会当然这一次主要是因为请到是我的朋友所以说就请萧老师
[00:00:20] 回去上他的班然后我来做这期节目是这样子的我们节目其实涉猎的范围非常的广泛很多行业都会去聊然后有一个行业呢其实我们一直一直很想聊但是一直一直都没有找到很好的机会其实就是旅游业准确来说是旅游业当中的酒店业这个行业其实大家出去玩的时候或多或少都会接触到然后包括住酒店体验这些其实是目前社交网络上面其实也被讨论很多的一个
[00:00:49] 但我今天一定要破除这个魔咒就是
[00:01:18] 并不是这样就是今天的嘉宾从就是旅游且做旅游方面的创业竟然挣到了钱而且挣的还不少所以说我们今天也可能要请大家讲一讲就是怎么通过这个创业来挣这部分钱就一定要打破我们这个节目的魔咒好来请我们今天嘉宾自我介绍一下大家好商业就是这样的观众大家好我叫谭丁然后我现在在做一个
[00:01:41] 在线的民宿预定平台叫一间磁窝先问一下你今年的这个活动轨迹是什么样的我今年从元旦节开始就出门旅行然后沿着中部从上海一路到浙江然后到江西然后再到湖南湖北这样进入重庆四川然后再往下然后走了沿着沿海走了一圈从西南到沿海再回到上海大概回来的时候已经是五月份
[00:02:10] 然后预计从九月份开始又会往北走在北边再绕一圈回到上海估计就是明年了我一直想问一个问题你家不管你吗这样子到处跑的话因为我的工作这么多年一直都跟旅行有很大的关系所以其实已经比较习惯跑来跑去从读书开始就是这样然后你可能得跟大家稍微简单介绍一下你以前的工作经历就是你这个人不是一直在旅游是吗之前也有上过班是吗
[00:02:38] 对我上班的经历相对比较少我是学完读完酒店毕业出来就自己创业做了一个中国人出国旅游可以找一个当地华人给你当导游这样一个平台所以从那个时候就开始频繁的出差只不过那个时候是做出境游然后这个业务大概做到15年的时候被阿里投了我就进了阿里去了一个叫咸鱼的部门算比较早期对然后在咸鱼也想做类似
[00:03:04] 共享的旅行不管是找导游还是找民宿这样的业务然后之后又从咸鱼跳去了美团做美团的民宿然后之后又去创业投资然后在安那亚也做过民宿好那我们就先从这个最开始说起好吗因为我听说这个世界上既然有人去瑞士学酒店管理我还是很吃惊的尤其是中国人那么我们先从这里说起嘛就是为什么一个中国人要去瑞士学酒店管理呢
[00:03:31] 你这个酒店管理是你最早就想做的一个
[00:03:34] 对 它是我从小就想学的一个专业多小大概初中就开始有意识的时候就想要学酒店原因其实也很简单因为我来自一个小镇我们那个地方没有什么酒店只有类似像招待所这样的但我爸出差偶尔就会带我出去住酒店我就觉得这东西很新奇然后当年刚刚有电脑可以开始看到哇 我国外有这么多好看的酒店有这么多好看的旅游度假地
[00:04:01] 然后这里面上班和来住的人好像都很有品味所以讲剧学的然后那个时候你一查你就知道一说酒店管理好像大家就会说瑞士这是最早的原因瑞士酒店管理就是跟全世界其他地方的酒店管理有什么大的差别吗就你自己学下来觉得我觉得有个很大的非共识的地方是大家会认为瑞士的酒店管理是高端的但其实瑞士的酒店管理更像新东方
[00:04:30] 你在国内或者在美国读酒店管理的话你可能有很多的时间会在学校里面在课堂上老师给你上课但是瑞士的酒店管理比较重实践你读一学期就要出去实习一学期然后再回来读一学期所以大学四年你最少会有三段这样的真正的实习工作的机会
[00:04:51] 你的学校大概率可能也是一家酒店改造的所以学校里面我们自己的起居吃饭也都是学生在经营所以你们就天天学铺床是吗对对对确实有那么一年时间是天天在铺床那我很好奇就是说那你除了就是说实践的部分的话你们的课到底上些什么
[00:05:12] 除了铺床之外在学校里面读书的上课的时候一半是经营自己的酒店和餐厅另外一半的时间是学怎么经营这些酒店和餐厅比如说学有餐饮然后餐饮里面会给你讲很多的营养学然后食物相关的对我们也会学营养学然后会教你一些类似水电工的工作就是你要看到这根线哪根线跟哪根线是什么关系其实因为酒店里面有个部门叫工程部
[00:05:41] 然后也会学到一些市场营销也会自己做前台然后这背后也会教一些酒店的历史当然也会教一些类似营销财务这些专业课程简单说就是这个酒店但凡今天有任何一个岗位上面缺了人你都能上理论上是的但你还是要尊重大家的专业具体酒店具体分析我们就说单纯说大小来说管大型的酒店和管小型酒店会有很大的差别吗还是挺不一样的
[00:06:08] 因为酒店其实本身这个词对行外人来说它类似于是一个建筑物里面有些房间但其实对业内人来说酒店也分很多种比如说经济连锁酒店和终端的所谓的精品酒店和五星级的那种配套商场写字楼的酒店大家其实不太是一种业态管理的维度和难度也不太相似包括大家自己追求的目标可能也不太相似
[00:06:34] 那比如说你在欧洲看到的这些酒店它基本上是属于哪一种欧洲的酒店还是以终端的酒店为主就更多是比如说一个家族经营了两三年然后欧洲酒店的连锁化也不如中国和美国这么高有很多那种单体酒店的存在所以它更类似于是一种家族资产的一个管理的一个部分对这也是后来学完酒店管理专业后很多同学都不会从事酒店的原因是因为你出国你发现
[00:07:03] 外国同学学酒店是因为家里真的有个酒店他有酒店的原因是因为那块地是他家的但中国学生回来以后发现这块地叫商业用地那你的同学里面真的就是如果出来不做酒店他们会去做什么
[00:07:20] 我们当时学校毕业生绝大部分流向流向了类似奢侈品零售这些行业它其实就是顶层其实是通的对顶层是通的然后其实奢侈品零售和航空业比酒店可能的就业学生还要稍微多一点它的终极目标都是其实都是做服务业高端的服务业对都是服务业其实所谓的hospitality其实就是一个服务业的概念
[00:07:43] 我知道你只是学了酒店管理你之后一直没有再做真正的酒店你之后其实一直在做所谓的民宿的概念所以我们后面其实大部分时间我们要讨论民宿这个概念我们可以先从现在大家可能都会讨论比较多的一个公司就是Airbnb入手这个公司应该是其实历史上面是比较早应该是你读书的时候就已经存在了一个公司它最早是做的是什么事情
[00:08:07] 它现在简称Airbnb但它早年的全称叫Airbedandbreakfast.comAirbed就是空气床垫大家知道美国人很多家里面会有一个可以充气的给小孩玩的那种床垫然后并且还要提供早餐所以它的时代背景是美国08年发生的次贷危机然后美国人和中国人可能比较大的区别是中国人如果今天失业了
[00:08:30] 然后你兜里可能还有十万块钱能过个一年两年但美国人如果今天失业可能明天午饭在哪吃都是个未知数这个就是我之前跟朋友讨论过美国这个周心智可能就是在这个事情上就是影响很大是的而且对于一个美国的中产阶级来说他一个月的收入的每一分钱可能都已经提前预定好了他的出处就像我们有些朋友就是工资一到手就被信用卡收走了是一样的
[00:08:59] 美国人就是这样的然后当时的中产阶级因为加了很高的杠杆在房产上所以在次贷危机之后大家就面临了房产被回收这是最惨的情况但大部分人面临的是房贷可能有违约的压力了他还是愿意把这个房子留下来但是他还是要承受这个压力对早年其实美国人肯定是不愿意让别人到自己家里来的但是那个特定的时期然后大家就没办法因为
[00:09:25] 在那么不好的经济的时刻你也很难再找到一份额外的收入来补充就是你去做个兼职你可能也很难找到升职加薪可能也没办法所以那个时候类似出现了像Airbnb和Uber这样的公司大家最早其实都是类似顺风车或者出租家里的一个房间但是我有两个典型物啊一个是所谓的就是气垫床加早餐就是这个形式一定要这么严格吗
[00:09:49] 他早年有一些现在我大家可能都没听说过的故事确实有人是写过邮件问过Airbnb说
