Vol.28 两次上市都没成，虎扑遇到什么难题？
时长：00:27:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.28 两次上市都没成，虎扑遇到什么难题？

[00:00:07] 现在虎扑的这个用户流量基本上是这么分布的步行街就是男生来聊各种话题的那个社区也就是所谓直男最核心的这个区域是流量最高的用户最多的接下来呢是篮球篮球和步行街这两块大概就占了百分之六七十的这样一个规模剩下来的是足球再后面是电竞接下来还有一些小的板块影视啊汽车等等
[00:00:29] 有价值的业务把它拆分出去作为一个独立公司的话也不是说不可以但是如果一个公司习惯性的我看到一个有价值的东西就把它拆分独立了结果就是说我的母公司也就是虎扑这个核心的APP可以挖掘的商业价值就非常有限了
[00:00:52] 这里是商业就是这样大家好我是湘文杰我是徐明星今天我们来聊一聊虎扑这家公司为什么要聊这家公司呢有两个原因一个呢比较感性就是前一阵开奥运会嘛大家不知道有没有发现啊就是好像各个社交平台里边虎扑这个平台的评论相对是怎么说更客观理智或者说一股清流吧至少不会让人生气对吧比如微博上有一些
[00:01:19] 朋友比如说在那个日本的组合拿下乒乓球混双冠军之后呢有些人会去丑化或者攻击那个女运动员伊藤美晨对吧但是我们在虎部上面就看到更多的评论是说比如说竞技体育有输有赢啊不能因为赢了中国人就去人身攻击啊等等的很多人就一下子改观了对这个社区的印象啊
[00:01:39] 但另一个由头呢就不是那么的好就是虎扑作为一个公司它在前两个月是刚刚经历了终止上市的进程还有一个大规模裁员的一个打击其实是让人对这个平台的经营状况有些担忧的我不知道约老师你平时上不上虎扑我是这个奥运期间才第一次上虎扑我虽然看不懂这些东西但是我大受震撼对你是一个新杰啊对吧但我是个老杰啊因为我自己是一个体育迷啊平时比较多看NBA所以是经常会看虎扑的页面
[00:02:08] 所以多少也是从个人的喜好出发就想要知道这家公司现在到底怎么样了其实从产品的类型上面来说虎扑是一个很典型的一个我们所谓的垂直类社区也就是这个社区上面的一些用户他们有比较鲜明的共同的属性然后他们会基于这些兴趣在平台上发布内容对虎扑来说最主要的一个属性就是爱好体育还有男生对吧不过垂直类的社区一直有一个普遍的困境就是如何做大规模如何赚钱
[00:02:37] 最近呢我和同事也采访了一些虎扑的员工包括一些离职的员工所以我们今天就来聊一聊虎扑这个平台它本身的一个价值和一些困境当然了我们这个采访的内容也会在就是下一期的第一财经杂志上面会有篇更完整的文章里面会有更多的细节也欢迎大家去看
[00:02:55] 考虑到我对于虎夫确实是不太了解我也没有看过这个稿子所以我想先读一块所以我可能今天想提一点问题然后让这位老杰亚来跟我讲一讲虎夫到底有什么价值以及他现在到底有什么困境对吧所以今天还是一个一问一答的一个形式
[00:03:12] 首先想请问肖老师虎扑除了运动和直男这两个属性以外它到底是一个怎么样的平台这个对首先还是需要科普一下就是虎扑的它创始人陈航本来就是一个篮球迷他也是在芝加哥读大学的时候就创办了一个篮球论坛叫Hoop China然后就有一群人在上面会发一些NBA的新闻发一些帖子等等的这Hoop China到现在17年了所以虎扑其实是一个时间蛮长的一个创业公司了
[00:03:40] 我还记得他当时一个比较一炮而红的一个事件呢就是当时中国南岚的运动员王志志他从美国回到国内了这个消息最早就是在虎扑上面爆出来的可以说比记者还快啊一下子奠定了这个论坛在篮球这个领域的一个地位后来呢他还通过收购一些足球的社区比如说狗孩还收购过一个F1的社区吧我记得然后他逐渐就变成了一个以各类体育赛事为主的一个图文的兴趣社区
[00:04:06] 那么直男这个点又是怎么来的呢就是体育好像爱好者也不一定全是男的吧对外界给虎扑最大的一个标签就是直男社区嘛虎扑的创始人陈航他有一个经典的一个演讲当中的截图就是说虎扑能够长寿能够坚持到现在的原因之一就是发现了用户一个根本的需求就是男生喜欢和男生在一起男生在上面干什么呢对吧就除了看比赛以外他们也会聊各种各样有的没的
[00:04:33] 主要就聚集在虎扑的一个论坛的版面叫做步行街那里面会有很多的各个方面的讨论所以所谓的这个直男的社区多数就是指这样一个平台听上去就是一个比如说专业领域的小的社区然后加一个兴趣广泛的社区的一个组合有点像豆瓣里面的各种小组和鹅组或者巴组之间的关系是吧有点这种感觉那么现在就是虎扑这个社区的它的用户规模到底有多大呢
[00:05:02] 就是直男这些喜欢聊体育的直男到底有多少呢这个大家都知道就社交平台上面最主要的看规模的一个数据就是用户量对吧而且核心的其实是日活用户就是日日活跃的这个用户据我们了解的数字就虎扑目前的日活大概在两三百三四百万左右之间反正不到五百万而且这个数字其实很稳定就这两三年这几年来都是维持这一个水平的
[00:05:25] 这个其实反过来也说明就是虎扑这个规模一直比较原地踏步啊那这个问题我们后面还会着重的提到两三百万这种规模的话就是跟别的互联网平台相比的话其实就是一个很中型的体量不大不小有点像几年前的B站吧就是说肯定不算小但是你要把它做个大社区呢那肯定也不够格那么虎扑这么个小社区的话它靠什么来赚钱呢这个其实非常简单主要的一块收入就是广告
[00:05:53] 这方面就虎扑就真的很像一个过去那种早期的互联网上那种图文的社区或者是一个门户网站那样的感觉它在很长一段时间里面主要就是依靠广告就可以维持基本的收支平衡了那么除了广告以外呢虎扑还有一些别的收入比如说它有一些赛事的营销对吧还有一些线下的活动还有一些直播的收入更重要的是开发了一些电商的业务这一块其实一度被视为很有希望的一个虎扑商业化的一个方向
[00:06:20] 不过现在来看其实这些都没有对虎扑本身这个APP产生很大的一个帮助这个我们后面也会提到所以目前而言呢广告就是虎扑一个主要的一个收入来源
[00:06:29] 这个收入来源其实你可以想象还是有蛮明确的一个天花板的像这次虎扑的裁员还有中指上市就和他广告的收入是有很大的关系的因为他最主要的广告主你可想而知就是一些运动品牌除此以外当然也有一些比如说汽车消费电子等等的一些品牌但最主要的是运动那么之前不是出了棉花的相关的事件那一些主要的一些广告主他就大幅的减少了广告的投放
[00:06:55] 当然也可能是虎扑主动的终止了那少掉这一块之后虎扑一下子就从一个比较收支平衡的状态变成了一个亏损的状态了这可以说是使得它终止上市进而开始裁员的一个重要的一个诱发的因素但是如果小公司它整个规模不大的话你收入少一点是不是也不一定要裁员但是虎扑这次裁员的话好像规模还是比较大的要么肖老师再简单讲讲这次到底裁多少人
[00:07:20] 对这次裁员最早媒体上爆出来有很多说法但据我们了解在这个裁员之前其实虎扑大概有一千多来人现在大概是五六百当然这个数字有可能还不断的变化有可能还会更精简一点所以相当于是一个40%到50%左右的一个裁员的比例对于一个这样规模的互联网公司来说其实是比较大的一个裁员了可以这么说那么这个裁员他基本逻辑是怎么样的就是说他是之前已经涨过一波了现在又收回来了
