Vol.30 自动驾驶被过度营销了吗？
时长：00:28:27
来源：网易云音乐电台节目 · 商业就是这样 · Vol.30 自动驾驶被过度营销了吗？

[00:00:07] 目前市面上所有的量产车它提供的配置都是辅助驾驶的功能所以说自动驾驶这个概念其实是一个理想状态或者说现在市面上根本没有实现的一个状态就是现在很多的品牌在做技术营销的时候我们觉得多多少少是滥用了自动驾驶这个词让这个词怎么说有点通货膨胀了
[00:00:28] 所以我们现在看到很多创业公司都会说自己的终极目标是做RoboTaxi但是目前要做商业化的项目就要做商用车做货车这里是商业就是这样
[00:00:47] 大家好,我是肖文杰,我是冰青最近有一起交通事故引发了很多针对自动驾驶的讨论就是8月13号的时候,有一位31岁的一位车主驾驶他的蔚来ES8在神海高速寒江段上面他撞上了一辆停在路上的施工车,就不幸去世了根据逝者的家属的代理律师的说法当时这辆ES8的NOP系统,中国名字是领航辅助系统,是开启的
[00:01:16] 这个系统它是允许驾驶员在手握方向盘的情况下放开双脚的然后这个车辆可以自己刹车加速保持在一个车道上或者变换一个车道也就是很多人讨论的所谓自动驾驶的功能我们觉得这个事情本身是挺重要的也想要针对这个事情来做节目但是原本想法是先等一等因为目前警方的调查结果还没有出来事实层面的信息基础其实是不够多的
[00:01:43] 但是呢我们后来发现就是针对这件事情的有一部分讨论吧它焦点有一些分散而且有一些我们觉得很重要的相关信息反而有点被忽略了所以我们还是想要做一期节目来谈谈自动驾驶这件事情当然我们不会什么都聊啊因为这个自动驾驶这个话题太宏大了我们也不是技术的专家所以我们主要还是聚焦在三个问题都是与自动驾驶的商业化运用相关的首先就是自动驾驶这个词它到底是不是一个过度的营销
[00:02:12] 第二个问题是目前在乘用车上面使用的所谓自动驾驶这个技术到底安不安全第三个是自动驾驶技术的商业化应该来如何进展因为我实在是不太懂车所以说这期还是跟之前一样肖老师来主要来讲我来提问
[00:02:29] 首先第一个问题就是很多报道在说未来这个车主的事故的时候都说他用的不是自动驾驶是辅助驾驶这个能不能先给大家理性一下概念就是自动驾驶和辅助驾驶到底有什么差别这个确实非常重要其实这是一个早就应该明确的事实就是目前所有量产的乘用车上面搭载的都是辅助驾驶的功能而不是自动驾驶的功能自动驾驶本身它是一个技术的一个名词所以就有不同的一个发展的阶段
[00:02:58] 也有不同的这个档次和难度像中国和美国这些市场他们都有官方的一个等级的划分我们经常听到的什么level 2 level 3 level 4就是这样一种划分这些分级呢然后各个国家之间可能有些区别但是大同小异其中有一条重要的分界线大家都是很明确的就是需要驾驶员手握方向盘来注意路况并且承担交通事故的责任的那就是辅助驾驶而不需要驾驶员来承担
[00:03:26] 所以目前市面上所有的量产车它提供的配置都是辅助驾驶的功能
[00:03:51] 所以说自动驾驶这个概念尤其是比如说高级的这种不需要驾驶员来承担事故责任这种自动驾驶概念其实是一个理想状态或者说现在市面上根本没有实现的一个状态对就是在技术和法规上都没有大规模使用的那为什么我们现在还一直能听到说这些车都可以自动驾驶了呢这个就是一个其实我们挺想反思的一个话题就是现在很多的品牌在做技术营销的时候
[00:04:18] 我们觉得多多少少是滥用了自动驾驶这个词让这个词怎么说有点通后膨胀了刚才我们讲到法规和技术上面都明确提出这是一个辅助驾驶的功能它有一个概念的划分了对吧所以汽车公司其实是很注意法律上的合规的如果你仔细去看的话
[00:04:35] 他们在这个产品的使用手册也好啊一些附录的解释也好相关的法律文件包括试驾的时候他们那些试驾的专员也会跟你强调我们这个是辅助驾驶的功能啊不是自动驾驶的你这驾驶员还是要负责任的但是呢在更大的范围里面的这些宣传也好啊或者舆论当中有意无意的会打一个擦边球就是让你把他的这个系统这个技术和自动这个词联系在一起
[00:04:59] 我不知道那个袁老师你有没有感觉啊就是比如说有的那些系统它的名字中文的名字命名的时候就叫自动辅助驾驶它是辅助驾驶但是呢它比较自动你到底是自动还是辅助呢你把自动和辅助这两个词连在一起的时候你说消费者会更加注意哪个词对不对还有比如说系统本身虽然是辅助驾驶的它也强调了这一点很明确很清楚但是呢它会说比如说我们的芯片是自动驾驶的芯片我们的团队是研发自动驾驶的一个团队
[00:05:26] 他们的这个未来的终极的技术目标是实现自动驾驶你可以在很多的这种报道然后看到这样的说法包括它这样的这个系统它是会不但进化的会增加更多的一些自动的功能对吧它会用各种这样的词这些肯定都比那些比如说产品手册上面用的那些很谨慎的很合规的这些用语要醒目的多对吧对消费者来说
[00:05:45] 就是可以理解就是说在发展的初级阶段合规和营销可能一直要打架但是这样子会有一个很明显的风险就是为什么厂商的话非要说我一定要往自动这个卖点上去靠呢我不能找一些别的也合规的卖点吗因为这么做有好处现在比较领先的一些做辅助驾驶功能的乘用车的品牌主要是一些电动车的一些创业公司比较新的一些我们所说的新势力
[00:06:14] 他们在这个方面确实是比较领先一些传统公司的这也是他们的产品相比较于传统燃烟车的一个最大的卖点比电视还有重要的卖点因为这能体现出他们技术的先进还有一点就是一些同行的竞争对手他已经把自己和自动驾驶很紧密的绑定在一起了别人都说自己很智能很自动然后你在那边一个劲的强调我只能辅助你对吧这显得很弱
[00:06:36] 还有我也听到过一些看法这个只供大家参考就是特斯拉在这个当中可能也是有一定的带头作用就是你首先把这个市场给做坏了对吧特斯拉呢它是这个我们讲到的辅助驾驶功能引入量产车的一个先行者它的那个系统名字就叫autopilot这个名字一看就起的不好然后它在翻译成中文的时候呢就是翻译成自动巡航系统怎么说呢就是特斯拉一开始就把自动驾驶这个词引入到了量产车当中
[00:07:03] 后来他又推出了一个更加先进的一个系统叫FSD就是完全自动驾驶这个翻译的就更加直白了其实它那个功能离我们刚才讲到的你驾驶员不用负交通事故的责任还是有差距的但是他都开始这么用了那么后面的竞争者都会跟上
[00:07:19] 只不过它不会像特斯拉这么激进但是他们各个方面都会要强调自己在自动驾驶上面的这样一个技术的先进也就是说从特斯拉开始整个比如说新的能源车的行业的话就进入到了一个过度宣传的状态了对吧没错这个就容易产生问题而且是很重要的一个安全问题因为消费者可能因为你的这个宣传过度的信任这个系统虽然这些系统它都在一些合规的方面要求你消费者要什么手握方向盘注视道路但实际上
[00:07:47] 驾驶原因可能就是放松了就是注意力涣散了没有注意到前方的路况就可能产生新的一些危险我不是说现在发生的这些种种的相关事故就是因为这个原因但是过度营销自动驾驶这个词导致这个词有点通货膨胀了它会增加这种潜在的安全风险所以我们也看到这次未来的事件出现之后就有一些业内的人士提出要规范行业的这个技术用语辅助驾驶就是辅助驾驶无人驾驶就是无人驾驶不要让这个技术的用词通货膨胀
[00:08:15] 刚才你提到就是说过度信任这个系统所带来的一种潜在的威胁对吧这个其实我一直有个疑惑就是说这个辅助系统它既然可以说自己去刹车加速或者变道甚至还可以根据导航我自己去把这个车开起来它为什么又强调说你的驾驶员要随时机管这个系统要保持注意力这个听上去本来就有点矛盾对吧对这个其实就是我们前面提到的第二个话题就是这样一个功能它到底安不安全
[00:08:41] 在技术上面我们没有办法去讨论太多但是我们可以从产品的使用场景和产品本身的价值来探讨一下这个话题现在的这些辅助驾驶的功能它的使用场景主要有两个一个是高速公路一个是城市的快速路比如说早晚高峰上面很堵的这些高架能在这些场景用这个功能是因为它们都是封闭道路路况相对比较明确也比较简单那么在这两个场景下面这个辅助驾驶功能带来什么样的价值呢有两个
[00:09:09] 一个是舒适一个是安全舒适我好像比较容易理解但是安全这个事情是不是有点吹得有点过高了这个东西呢我个人觉得它是一个很难证实的事情因为理论上来说自动驾驶这个技术也好或者说以后什么无人驾驶它的一个很重要的对整个人类社会的价值就是能够减少交通事故因为人这个驾驶员你是会犯错的你会走神你会本来你可以做到的事情你没有看到对吧
[00:09:37] 但是机器只要它能够做到事情它你让它重复一万次几万次它都可以保证还是能够做到就会减少很多因为失误而带来的交通事故或者说至少说比人的失误概率要小太多了对它很可靠但是在现在这种情况下你这种可靠而带来的减少潜在交通事故的效应你是很难去测量
