Vol.33 是谁把戴森、保时捷、汉莎航空……引入中国？
时长：00:27:09
来源：网易云音乐电台节目 · 商业就是这样 · Vol.33 是谁把戴森、保时捷、汉莎航空……引入中国？

[00:00:07] 巴斯夫负责远东贸易的一名工程师他叫穆勒他写了一段记录就说有一段时间我们当地的代理商每个月的第一天就要电汇100多万马克到曼海姆他在记录里面提到的当地的代理商其实就是杰成
[00:00:22] 2008年的时候杰成的内地独家代理权被保时捷收回了嘛而且保时捷不仅引入了别的经销商来开CS店他自己还在上海开CS店那这就是一个很微妙的一个时刻了如果处理不好的话很有可能会出现品牌和代理商反目的一种情况这里是商业就是这样
[00:00:52] 大家好,我是肖文杰,我是徐明清前几年有一个普通消费者都已经听烂的词,对吧,叫消费升级也就是说消费者们为了提升生活品质,他们愿意花更多的钱去购买一些比较高端的产品了如果举例子的话,我脑海里面想到的第一个品牌就是戴森它可以算是最近这几年消费升级的一个典型代表了戴森的吹风机啊,吸尘器啊,空气净化器都要卖几千块钱一个
[00:01:20] 结果呢我们发现大家还特别喜欢买有个同事之前还写过一篇文章标题就很有梗叫买个戴森就秒被中产了我觉得说的还是很对的我们这期节目呢原本就是想讲一讲戴森是如何在中国把自己变成一个中产生活的代表品牌的但是研究研究着我们发现对另一家公司产生了兴趣它叫杰成集团敏捷的杰成功的成它曾经是戴森在中国的独家代理商
[00:01:47] 2012年的时候是他把戴森引入内地的这是一家总部在香港的家族企业老板是丹麦人这个杰成集团过去有个更有名的名字叫杰成洋行洋行一个充满着时代感的词汇没错洋行如果笼统的说就是外资在中国建立的商业贸易公司吧洋行呢它是清朝末年的时候兴起的巅峰时期我查了一下中国有2000多家洋行
[00:02:15] 主要集中在广州香港上海这些对外通商的城市对这些城市呢洋行也有非常巨大的影响力甚至可以说是塑造了这些城市的商业基础但是所谓这个人间正道是沧桑时至今日这个2000多家洋行里边只有6家还以自己的名义存活至今那杰城就是其中一家它成立到现在已经126年了主营的业务是贸易品牌代理经销也就是洋行的这个传统的生意
[00:02:43] 有许多鼎鼎大名的公司都是经由杰成进入中国市场的比如卡西欧巴斯夫汉莎航空刚才讲到戴森还有一个代表性的品牌就是保时捷杰成可以说是这些品牌背后的那个人了那么今天这期节目呢我们就来讲一讲杰成的故事我们会首先介绍一下洋行这个航道的背景以及杰成这家公司的历史
[00:03:04] 然后我们就会以刚刚提到戴森和保时捷这两个品牌为例来看一下品牌背后的代理商到底是一门怎样的生意以及把一个新的品牌要引入中国市场需要克服哪些挑战
[00:03:18] 那我们就先来讲讲历史我们在书上都学过两次鸦片战争香港成为了殖民地然后内地的很多口岸的城市开布了等等的那洋行就是在这段历史的过程当中兴起了很多洋行最早的时候我们可以说是赚的是肮脏的钱都是贩卖印度而来的这些鸦片来起家的后来呢他们就逐渐衍生到开始贸易各种各样的工业品消费品
[00:03:42] 那个时候全球的贸易主要就是靠海运这些洋行很多都是有船队的他们提供的一个核心价值就是能把东西从欧洲印度这些地方运过来然后在内地他有足够的资源把它卖掉所以说本质上是一个倒买倒卖的船队生意对当然经过清末民初这段时间像香港广州上海这些城市的贸易越来越发达了这些洋行就是累积了大量的财富成为了这些城市可以说是很有话语权的人了
[00:04:09] 他们的生意也从本来的贸易衍生到了方方面面开工厂搞银行做房地产时间长了之后像这些做的大的洋行对于香港上海这些城市都有非常深远的影响这个影响是直至今日的这段历史实在是太纷繁复杂了可以写好几本书而且从历史的角度也有很多值得批判的地方所以我们今天就不具体展开了
[00:04:30] 那不具体展开的话肖老师就给我们举一个例子吧来描述一下洋行这个行当到底在中国能有多大的影响力有一部很老的美剧它的名字就叫洋行那是一个职场和商战片主演的就是演过007的皮尔斯布鲁斯南他在里面就扮演一个香港的头牌洋行的大班大班这个名词我不知道大家有没有听说过他就是总经理的意思在洋行那个时代他就喜欢用大班这个名词来称呼他们的老板
[00:04:59] 现在中国人民更常讨论的一个词叫买办买办也是洋行时代的一个代名词对对对在那个名叫洋行的剧里边皮尔斯布鲁斯南他所处的那个洋行就是一个在香港掌握话语权的一种存在那这个洋行呢它是有原型的这个原型就是当时香港最大也是最知名的颐和洋行也就是现在的颐和集团即使到现在这家颐和集团也是稳坐世界500强的
[00:05:27] 我稍微报几个名字听过一段灌口了怎么又要听灌口了来吧对对对报几个名字大家就知道这个银河集团它在香港的影响力了它的业务有哪些呢房地产方面就是香港置地然后它还有一个零售的公司叫牛奶集团听上去好像是只卖牛奶的但它其实代理了很多很多的零售品牌比如雀巢啊7-11啊美心食品啊它还投资了银行还有酒店比如说文华东方集团
[00:05:55] 在内地呢他也是永辉超市的一个重要的投资者可以说香港人的这个衣食住行都跟宜和有关所以不止跟李嘉诚有关了对对对那么我们今天的主角杰成呢也是类似宜和的一家洋行感觉讲了半天终于要进入正题了对开头提到过杰成是一个丹麦人的一个家族企业他的创始人呢叫雅各布杰成还有另外一位创始人其实是他的表兄
[00:06:20] 后来呢他表兄这一支就跟杰成分家了主要去做东南亚的业务了那杰成集团就一直在中国这位雅各布杰成呢他的家族在丹麦的奥本罗这样一个城市这是一个航海业很发达的小城他们家呢也是航海世家雅各布的父亲Michael呢就是一名船长据说雅各布就是在1870年在他父亲驾驶的船上面出生的
