Vol.38 玲娜贝儿才不是一夜爆红
时长：00:24:41
来源：网易云音乐电台节目 · 商业就是这样 · Vol.38 玲娜贝儿才不是一夜爆红

[00:00:07] 有一次碰到一个迪士尼的员工他带着那个米尼的那种有金粉的亮闪闪的那种发箍嘛然后有一些粉就掉在身上了他就说我身上沾到了魔法星辰就是说这个粉也都是有专属的名字了这里是商业就是这样大家好我是肖文杰我是徐彬青第35期的时候我们不是聊了主题乐园的话题吗当时约老师就说他个人对于主题乐园这一套挺无感的平时也不会感兴趣
[00:00:44] 但我相信于老师最近有一位主题乐园的明星就连你肯定也听过他的名字你说的不就是穿纱打脊吗没错看来你只记得他的江湖名号于老师说的其实就是九月底在上海迪士尼乐园首次亮相的一个迪士尼的新IP就叫林纳贝尔官方的说法就是我们刚叫IP其实应该叫迪士尼朋友林纳贝尔一亮相就迅速成为了一个当红的女明星就大量的粉丝
[00:01:10] 和他拍照要排队几个小时一个200块钱的林纳贝尔的玩偶黄牛那边可能要五六百据说还有的黄牛要求配货配货一杠以为自己是爱马仕吗对啊林纳贝尔他本身是一只小狐狸嘛因为太受欢迎了粉丝就开玩笑叫他打击就是勾引着小狐狸精那种感觉然后又因为迪士尼乐园是在上海的浦东穿沙地区所以就叫他穿沙打击了我作为一个路人啊都是从社交网络上面感知到林纳贝尔这个东西的红的
[00:01:39] 就我看不懂但是大受震撼就突然好像每个群里面都在用这个小狐狸的表情包然后微博上面每天都有他的热搜就连小红书上也都是那种跟林纳贝尔的合影我看各种公众号包括一些财经媒体也都很快地关注到这个热点用了很多他的动物图对吧对说到这个也就是我们主要是我就想做这期节目的一个原因就是我们发现市面上
[00:02:05] 尤其是一些媒体对于林纳贝尔这个现象的解读几乎都是错的比如说他红的突如其来莫名其妙有说他的红是因为社交网络营销的胜利还有说他这个红了代表了像米老鼠时代过去的这些迪士尼的形象已经过时了等等感觉他们有点最基本的事实都没有搞清楚我感觉你说着说着都有一些小情绪了
[00:02:27] 其实本来我们这周是想上另一期节目的但是肖老师已经忍不住想要吐槽了所以我们临时加入了这期节目没错就虽然我不是一个迪士尼的爱好者但是我也查了一些资料采访了一些专业人士包括迪士尼的爱好者我想这期节目的话主要就是争取厘清一下林纳贝尔到底是怎么一回事
[00:02:47] 刚才萧老师已经吐槽了很多解读了第一个吐槽就是说林纳贝尔获得莫名其妙这点是不对的对吧没错因为我觉得林纳贝尔的红其实是一个长达20年的漫长的累积的过程20年之久吧具体讲讲吧对说到这个的话就要先解释一下另一位迪士尼朋友就是达菲
[00:03:07] 2002年的时候是在加州的迪士尼冒险乐园发布了一个新的迪士尼的IP名字就叫迪士尼小熊这个名字就是敢是胡乱起的简直不算是一个名字对吧对所以他人气也一直不是很旺后来到了2004年的时候他就被引入到了东京的迪士尼海洋乐园给他起了个名字就叫达菲然后呢他逐渐有了一个比较完整的故事的设定
[00:03:33] 就是说米尼送给了米奇一只玩具熊有一天米奇就带着他最喜欢的小熊去了魔法王国坐在灰姑娘城堡面前米奇许了一个心愿多希望有人和我一起分享乐园里面的喜悦和激动啊这时魔法发生了
[00:03:54] 小玩具熊变成了活的这个就是达菲这个所谓的迪士尼小熊从此站了起来吧有点这种感觉这里有两个要点要注意啊就是一个是东京迪士尼引入达菲并给他了一个完整的故事这个故事虽然简短但是是很完整第二个呢就是达菲其实是从米奇衍生出来的所以你去看达菲的脸上其实是有一个米奇的图案的这两点的话我们后面也都会提到那到了2008年的时候东京迪士尼是迎来25周年他就搞了一系列的活动
[00:04:23] 达菲的人气呢就在这个活动之后突然就爆发了你到处都可以看到背着达菲背包的女孩子在迪士尼乐园里面逛我们看到一个数据就是2009年春季达菲的衍生商品的销售额是2008年冬季也就是上一个季度的三倍据说那个时候去和达菲拍照都要排四个小时所以达菲为什么会红起来呢对你看上去的话感觉好像是迪士尼有可能有意的捧红了她之类的其实没有我看到当时有一篇日本媒体的报道
[00:04:51] 采访了东京迪士尼的运营方Oriental Land我们那个时候那个主题乐园的节目里面也提到东京的迪士尼是一个由本地的公司来独立运营的一个机构然后他这个Oriental Land的商品开发部的经理叫后腾达美他就说我们也不知道为什么达菲就红了有可能是因为大家看到别人都背着这个包觉得很可爱就流行起来了
