Vol.40 串台【井户端会议】：音乐剧为什么在上海爆发？
时长：01:00:26
来源：网易云音乐电台节目 · 商业就是这样 · Vol.40 串台【井户端会议】：音乐剧为什么在上海爆发？

[00:00:03] 就原来是比如说一场比如说两千三千这种他现在如果是一个非常头部的一个音乐剧演员基本上就可以分票房那就另外签合同了对几年前音乐剧演员都没戏演现在能分票房简直是梦幻般的一个情况了这里是商业就是这样
[00:00:32] 大家好,我是肖文杰我是徐明清这是商业就是这样的第四十期正式的节目也是比较特殊的一集啊一个特殊是我最近有点感冒啊就是听得出来你就不要再计较了还有一个特殊就是真正特殊的话就是本节目第一次串台啦我们串台的对象呢是知名播客景呼端会议和东亚观察局的主播樊一如老师樊叔呢最近在上海开了一个新的录音棚专门用来录播客的而且是刚刚装修好我们呢有幸尝鲜了一把
[00:01:01] 这个条件非常好非常的舒服我们当时就愉快地决定要做一期串台而且我们这个串台很实在我们一口气录了两期不一样的节目不是一语两诗一期就是现在你收听到的这一期商业就是这样另一期是同一天上线的锦湖端会议我们会根据两个节目的特性还选了不一样的话题所以欢迎大家去搜索锦湖端会议的最新一期节目现在就把它加到播放列表里在那里我们会聊一些更deep
[00:01:28] 然后跟个人的一些话题当然熟悉本节目的朋友也都知道我们其实是比较讲究信息密度的请凡说来肯定是让他输出一些料会比较好
[00:01:38] 有一个我们最近比较感兴趣的话题呢我们觉得樊叔是一个很适合的内容分享者就是上海的线下演出行业樊叔除了做播客以外呢他还有一个身份是一名线下演出行业的资深从业者和投资人他告诉我们从疫情之后其实上海的演出行业经历了一个跌宕起伏的过程一开始是因为疫情的打击许多公司包括演员从业者都生存困难
[00:02:03] 但到了今年以音乐剧画剧脱口秀等为代表的线下演出其实是出现了一个全方位的繁荣景象很多新的本土作品是一票难求而且大量的从业者来到上海樊叔其实是经历也观察了整个过程我们就请他来讲讲背后发生了什么再来解析一下线下演出到底是怎样的一门生意
[00:02:25] 这期的话也是本节目第一次尝试嘉宾访谈所以时间的话会比一般的节目长一些也会尽量保证信息量也非常期待大家的反馈
