Vol.42 看，这是国家为你囤的货
时长：00:31:09
来源：网易云音乐电台节目 · 商业就是这样 · Vol.42 看，这是国家为你囤的货

[00:00:08] 全国各地可能总共囤了150万吨猪肉如果我们稍微折算一下按一头猪120公斤来算的话就是1200多万头猪听上去很猛是吧但是中国其实一年要消费的猪肉量呢是4600多万吨也就是说这个储备量呢大约是一年消费量的3.2%这里是商业就是这样
[00:00:43] 大家好我是肖文杰我是徐明清最近呢关注到几个新闻而且连在一起想还觉得挺有意思的一个是美国最近因为他自己国内的油价持续的在走高就宣布要释放5000万桶的战略石油储备而且这次美国不仅是自己在放油啊还拉了日本韩国印度英国很多国家一起放油中国的话其实也在参与另一个呢放油那叫放水对这不是放水是放油啊那个听上去呢就更像段子了但是他也是真的就是
[00:01:12] 最近加拿大决定向市场释放2.3万吨的枫糖糖浆储备以应对全球需求的上涨这次释放的糖浆储备量大概占整个政府库存的一半然后管理这个储备的组织叫魁北克枫糖浆制造商协会他还说为了保证明年的需求近期准备在开发700万颗枫树这个储备糖浆就算了还有开发枫树这个说法感觉枫树像矿一样挖一挖就出来另一个新闻
[00:01:41] 可能大家更熟悉今年11月初商务部在一个文件里面提到鼓励家庭根据需要储存一定数量的生活必需品满足日常生活和突发情况的需要统计的话很多政府尤其是地方政府出台了家庭应急物资储备建议清单那个时候搞得大家都非常紧张有的超市里面的粮食都
[00:02:05] 遭到抢购了岳老师你有囤货吗那个时候我们家这个太小了根本没有办法响应国家的号召对其实那个文件里那句表述没有什么特别的含义啊后来官方也发了报道来澄清请大家不要过度的解读但话说回来上面几个新闻里面其实都涉及到一个很关键的概念就叫物资储备尤其是前两条其实讲的都是以政府为主体的所谓国家的物资储备这个国家储备呢简单来说就是国家为大家囤的货对吧
[00:02:34] 我们研究了一下发现这个事情其实蛮有意思的首先这里面有一些像前面提到疯糖糖浆这样很好玩的想象不到的例子其次在一些市场里面国家储备其实对于生活有很大的影响力像这次释放石油战略储备的话就是一个大新闻我们就比较好奇哪些东西需要国家来囤货以及所谓释放战略储备到底是怎么样一个过程它能产生什么样的作用
[00:02:58] 听上去好像是一个很高大上的话题但其实如果放到我们商业的框架里边既然是储备它都会涉及到一些很常见的商业概念比如说库存周转销售渠道定价等等一个工厂是这个样子一个国家也是一样的所以这次我们就想从一些实际的案例出发来聊一聊国家囤货这件事情首先问于老师一个基本的问题就是我国的日常的储备都会储备些什么东西呢
