Vol.49 瑞幸如何“死里逃生”
时长：00:27:41
来源：网易云音乐电台节目 · 商业就是这样 · Vol.49 瑞幸如何“死里逃生”

[00:00:08] 打一个相对易懂的比方就纳斯达克是一个正规的菜市场那么粉丹市场就是菜市场周围的流动菜饭如果菜饭的菜卖的好的它有可能就达到了菜市场里面摊位的准入门槛就可以放到菜市场里面去卖了是这个意思吗差不多瑞幸就相当于死死的抓住了菜饭的小推车赖在菜场附近我就不走了然后这个公司一边在做破产重整然后一边在赔偿一些投资者然后一边在做管理层重组
[00:00:38] 在等待行满释放的机会等到这个风头过去了然后我就杀回菜市场里面了这里是商业就是这样
[00:00:55] 大家好,我是肖文杰,我是徐明欣上一期我们在节目里面搞了一个抽奖真的是完全暴露了我们没有任何抽奖经验这件事情对,首先低估了大家参与的热情其次也没有说这个抽奖什么时候截止,对吧真的是非常开心能看到大家这么有热情留言但是还是要有一个截止的时间我们就定在本期节目上线的1月19日晚上24点截止然后在那个之后的留言有可能我们就不放到这个抽奖的范围里边了但是还是
[00:01:24] 真的非常喜欢大家不停地在留言区里面夸我们好 我们把重要的问题先解决了就开始今天的节目吧今天聊一个我相对来说比较熟悉的话题叫瑞幸上次我们聊到这家公司呢还是在我们节目第四期就是讲破产的那一期里面那个时候瑞幸在大洋彼岸正在忙着应付一些破产的程序以及跟投资者打官司但是在过去一年里面呢瑞幸的话风大逆转
[00:01:52] 他在整个中国市场的连锁咖啡生意似乎没有受到什么影响甚至因为一些明星的单品还有点小火然后根据瑞幸最近的这个财报对这也是个伏笔啊就是虽然瑞幸已经退市了但是这家公司还在发财报瑞幸最近财报显示这家公司的业绩还变好了这个其实是有点反直觉的一个现象瑞幸之前在美国市场闹破产是因为他在2020年4月初自己爆出来有22亿元人民币的营收涉及到了财务造假
[00:02:21] 然后由此引发了管理层斗争然后监管机构的处罚从纳斯达克退市破产冲震等等一系列事情按照我们之前对所谓失忆大公司的一些理解出了这样一些问题对于一个公司的品牌和信誉的影响其实都是非常大的可以说是瑞幸如果因此直接从地球上消失也是很正常的但是从市场的实际表现来看瑞幸是
[00:02:46] 咖啡店照开咖啡也照卖甚至有一些单品还卖的挺深入人心的所以今天我们就来探讨一下瑞幸到底是怎么成功的晚尊甚至说是起死回生的我们大致准备分这几个问题来讨论首先在股票交易市场瑞幸这个时候在忙什么第二瑞幸有超过5600家的门店他们都在做什么第三瑞幸那些所谓明星单品都是怎么来的最后一个问题就是瑞幸是怎么用供应链来做营销的
[00:03:14] 都是一些直击灵魂的问题啊那我们就开始吧第一个问题就是瑞幸在股市上忙什么这个我其实个人也比较感兴趣啊因为那时候瑞幸造假闹得沸沸扬扬而且也说了要退市了都退市了那你说他还能忙什么呢肖老师新闻要跟连续剧一样看的呀他说退市你就觉得结束了所以退市之后还能有后续的吗嗯有的不过我们先给听众朋友们简单补一个前情提要瑞幸这家公司从成立
