Vol.50 冰雪南下的生意
时长：00:31:53
来源：网易云音乐电台节目 · 商业就是这样 · Vol.50 冰雪南下的生意

[00:00:07] 举一个最直观的数字这是一般我们一个居民楼或者写字楼的一个楼面它的合载的要求是每平方米200公斤如果像图书馆这样的因为它要堆满很多书很重所以说它的合载的要求大约是在每平方米500公斤但是融创的雪世界它要达到每平方米1000公斤就是一吨
[00:00:38] 这里是商业就是这样大家好我是肖文杰我是徐平青首先在这里呢要先公布一下上期抽奖的结果我们把所有平台的回复集合在了一起从总共1284条回复中抽取了随机数最终是这五位得奖了小时来读一下名字吧他们分别是极客的用户雷雷子小宇宙的用户悟导响波喜马拉雅的用户Cherryberry还有喜马拉雅的用户
[00:01:07] 赤折龙海以及QQ音乐的用户林嘉诚恭喜大家恭喜恭喜当然没有获奖的朋友也不用灰心毕竟从统计学上来看1284分之五虽然不属于小概率事件但也接近了抽不到是正常的你这个有安慰到人吗对不起言归正传回到我们正式的节目这是我们虎年春节前的最后一期更新
[00:01:32] 之后我们会放假两周到2月26日重新开始更新新的节目叮咚这里是后期制作的小董小老师这里口误了不是2月26日是2月16日
[00:01:46] 所以也在这里给大家报个早年如果大家怀念我们的话可以把我们之前节目再重新听几遍对我们第一期的节目就是讲春晚的也是跟春节相关那春节之前的最后一期呢我们就来给春节假期里面的一个重要活动炒炒热度那就是冬奥会说是炒热度其实是蹭热度啊这冬奥会还需要我们来预热吗没错没错我们是来蹭热度的当然奥运会比赛本身不是我们这期节目想讨论的内容
[00:02:16] 那跟奥运会直接相关的一些商业话题比如说现在已经非常有名的古爱玲其实也有播客聊过了比如说蓝熊体育出品的一个节目叫阴眼时间就分析过为什么企业品牌现在都这么喜欢她以及她的商业价值为什么在奥运会之前就可以兑现大家也可以去听听看那一期那我们今天聊什么呢就是想聊一个跟北京冬奥会比较相关的行业就是滑雪
[00:02:40] 没错我记得当时北京申办冬奥会的时候有一个重要的承诺就是会让三亿人参加冰雪运动这也是当时很打动这个投票的委员的一点因为他能够扩大整个运动的群众基础嘛所谓激励一大代人然后最近官方就发了一个统计的调查报告宣布这个承诺是到2021年的10月份已经完成了那这个其实也是我们比较感兴趣的话题就是怎么就完成了呢
[00:03:08] 因为三亿人意味着这个冰雪运动肯定要走出它原有的一个流行范围就是中国的北方和东北地区然后要进入到更多没有自然冰雪的条件的地方比如说像东南沿海或者是更远的一些南方城市也就是所谓的冰雪南下要推动冰雪南下这个事情冬奥的因素和政策的激励肯定是一个契机
[00:03:30] 那我们大致会分为两个案例来聊
[00:03:57] 一个是以融创雪世界为代表的室内滑雪场这样一个业态它是让广州这样的城市成为了一个滑雪热门城市另外一个是以Snow51为代表的模拟滑雪机的创业公司它让滑雪就进入了家门口的购物中心里面在我们供值的第一财经杂志今年的二月刊里面大家可以看到关于这个话题更完整的报道而且冰雪冰雪除了雪还有冰嘛
[00:04:24] 这个专题里面也有专门的一篇介绍了冰球培训热的话题也很有趣欢迎大家去看一看那我们就开始正题吧
[00:04:31] 要不我们先介绍一下比较新鲜的这个Snow51也就是滑雪机的这个生意想先问一下约老师有没有学过滑雪啊我完全没有学过滑雪我最多在雪地上滑过就是滑倒过OK就是小心的滑小心的滑我是学过滑雪的而且我就是在这个模拟的滑雪机上面学的当然只是一个入门啊所以我先介绍一下这个模拟滑雪机的原理其实很好一理解它就是一个有倾斜角度的然后很大型的一个跑步机
[00:05:00] 只不过那个跑步的步道啊它是变成了一种白色的有点像毯子一样的面料那就叫雪毯然后它就像跑步机一样不停的向上的转动那你踩着雪板然后踩在这个雪毯上面呢你就等于是滑在一条无尽的雪道上面好像还蛮容易想象如果实在想象不出来大家可以去搜一下图片啊那这个设备呢其实一开始是在欧洲发明的主要是给专业的滑雪运动员做一个辅助的训练设备后来就有人把它转为民用了
[00:05:27] 因为它可以作为一个学滑雪的一个入门的方式最近这几年就有一家叫Snow51的创业公司它的特点是把这个设备引入到了购物中心里面它主政地是在上海开了十几家店现在也逐渐地开到了北京深圳宁波等城市除了它以外也有像雪乐山这样的品牌走的也是类似的路线所以肖老师你这个滑雪是在Snow51里面学的吗其实不是
[00:05:52] 我是在Snow51兴起之前在另一个做类似的服务的一个品牌叫雪库那它的那个店面呢就和Snow51不一样它主要是在一些房租比较便宜的园区里面而Snow51呢你如果去看过它那个店面的话就会发现它是把这样一个生意变得高端化了一些把它变成了商场里的一个新业态你要说购物中心里面新业态这两年可太多了雪坦这个业态为什么能被商场这么快就接受了呢
