Vol.51 “宁王”滤镜背后真实的宁德时代
时长：00:30:17
来源：网易云音乐电台节目 · 商业就是这样 · Vol.51 “宁王”滤镜背后真实的宁德时代

[00:00:07] 我们一开头就讲到了就是宁德时代它在市场份额上面遥遥领先这一点经常是被人视为是一个成绩就我做的好市场份额大但其实能够达到这样一个生产和销售的规模本身也是一种企业的能力这一点在电视行业尤其的突出这里是商业就是这样
[00:00:37] 大家好 我是肖文杰我是徐明清这一期节目上线的时候是2月16日正月16嘛然后我们就抓着尾巴给大家拜个晚年大家新年好这也是虎年我们第一期的更新这一期节目的主角呢是宁德时代宁德时代也算是现在一个很热点的公司当然我们又是一个被动层热点的一个状态了这期节目我们其实在春节之前就开始准备了在春节返工之后我们就看到宁德时代这个股价一路下跌
[00:01:06] 到2月11号它的收盘价格是489块相比于它在2021年12月份创造的历史最高点也就是692块来说已经下跌了30%了过去两年啊宁德时代一直是国内这个证券市场上的一个明星了大明星2019年年底的时候它的股价刚刚超过100元短短两年24个月它的涨幅就超过了600%它一度是成为中国这个A股市场市值第二大的公司
[00:01:35] 超过了工商银行仅次于贵州茅台所以它也得了一个绰号就叫宁王那这两个月以来这个宁王的股价跌了不少就会引发很多投资者的关注说这家公司是不是被高估了呀它的经营出了问题吗这个是不是现在我们可以抄底
[00:01:51] 打引号那种抄底呢当然我们这期节目不会给出任何的投资建议因为这是违法的对对对但我们感觉这也是一个不错的话题的时机可以来了解一下宁德时代到底是一家怎样的公司因为话说回来宁德时代现在这么有名还是蛮神奇的蛮罕见的因为它不是一个做2C生意的公司它主要的产品是电动车上的电池的电芯按照传统的概念只是一个车上的零部件供应商
[00:02:20] 是2B的虽然这个零部件很重要但占整个车辆的成本有40%但类比到燃油车时代你会知道车上的发动机或者变速箱是谁生产的吗不知道呀所以从这个角度来看的话宁德时代似乎是获得了超出以往的一个影响力而且抛开证券市场的因素仅在汽车行业里它也是一个挺罕见的案例就短短10年它就从一个汽车业的圈外人
[00:02:45] 变成了全球市场份额最大的一个动力电池电芯的一个供应商然后2021年它在中国的市场份额是超过50%全球是超过了26%都是稳居第一的稳居第一的话也让它成为了这个行业里面非常有话语权的一个玩家这个话语权就引发了很多后续的争议不光是股票上的更多其实是供应链上面的所以我们今天呢就来聊一下这家公司主要分三个部分
[00:03:10] 首先是历史宁德时代这家公司是怎么成长起来的其次是现状也是目前的宁德时代是一家什么样的公司最后是未来来聊一下我们眼中宁德时代接下来要做的一些重要的课题再次强调就本节目是不提供任何的投资建议的那么我们就开始吧
[00:03:29] 其实宁德时代的发家史有很多的报道了我们也采访过一些相关的人士简单来说就是和很多新行业的新玩家一样这是一个历史的形成和个人的奋斗相结合的故事非常同意这个部分其实岳老师也查过一些资料也写过一些要不你先简单介绍一下好呀宁德时代创始人叫曾玉群他是1968年出生在福建宁德的一个人这个地方当时属于海防前线军事要地
[00:03:56] 所以呢就是经济上不是很发达就军工比较发达对于曾玉群这一代年轻人来说最好的出路就是考大学然后去可能当个公务员曾玉群呢是年轻人当中的翘楚他在1985年考上了上海交大的船舶工程系那个时候大学还没有扩招啊就是能考进交大的这个船舶工程的话绝对属于学霸中的学霸了嗯没错他毕业以后呢顺理成章进了一家福州的国企拿到了所谓的铁饭碗
[00:04:23] 但是他只在国企待了三个月就把这个铁饭碗扔了辞职去了一家东莞的外资企业叫香港新科这家公司的业务呢是生产磁盘的磁头肖老师你知道磁头是什么吗我知道的呀就是磁盘里面用来读取数据的那个尖尖的那个东西就有点像黑胶唱片的那个针头那种感觉是吧但是就是我感觉我知道这件事情有点暴露年龄对我也很暴露年龄毕竟如今的年轻人大家讨论
[00:04:51] 磁盘都是那个保存件那个logo但是我小的时候呢是有机会把那种实体的3.5英寸软盘上面那个保护罩弹来弹去对这是我们一个没事干的时候的一个爱好这家香港星科就是生产磁头这家公司它的母公司是日本的一个电子工业巨头叫TDK
