Vol.54 看看Keep的招股书，果然keep住自己最难
时长：00:30:49
来源：网易云音乐电台节目 · 商业就是这样 · Vol.54 看看Keep的招股书，果然keep住自己最难

[00:00:07] 从这个公司的整体收入结构来看Keep现在更像是一个卖东西的公司而不是一个提供所谓运动或者健身服务的公司而且它其实是靠越活越用户里面1%的人就达成了公司一半以上的收入这是有点畸形的一个状态这里是商业就是这样
[00:00:36] 大家好 我是肖文杰我是徐明欣虽然疫情的阴影一直都在但这两年其实是全球的一个体育大年奥运会 冬奥会 亚运会 世界杯其实一个接一个来身边很多朋友也都是蠢蠢欲动就是运动的热情被这些大会也一起带动得很高对我来说如果再不运动的话再上一个台阶的可能就是我的体重了这个有点扎心
[00:01:01] 而且从商业角度上面来看其实运动也一直是一个很受关注的市场因为它的人群的覆盖面很广所谓上到99下到刚会走所有年龄层都会参与运动与运动相关的消费的类别也很多所以今天我们就来讲一家专业的运动的公司就是Keep
[00:01:20] 他在2月25日向港交所提交了一个招股书就准备上市了教士你用Keep吗惭愧啊就我没有养成健身的习惯但我知道Keep这个APP它主要是一个健身的应用上面有很多视频图文的健身课程让你可以在家里边就健身从这个APP出发他也衍生了好多的业务Keep算是上一轮所谓移动互联网捞场里面诞生的一个话题公司了它成立是2014年
[00:01:48] 不到8年时间融资了9轮累计的融资额超过了6亿美元他的投资人里面包括软银的愿景基金高领资本腾讯高盛GGVBAI扣图这些都是所谓的明星机构都是鼎鼎有名的投资机构不过关于Keep的商业模式还有盈利的能力其实市场上一直有质疑所以我们的同事包括同行也长期会关注这家公司看它到底行不行
[00:02:17] 这次我们准备看一些招股书上披露的信息来扫描一下这间公司不一定有很多故事但是可能是厘清争议的比较好的方式之一说到这个也插播一条小广告就从2019年起我们第一财经杂志就增加了一个研报的板块是岳老师来负责的每月都会关注一家像Keep这样在全球的二级市场上有价值或者有话题性的一些公司
[00:02:41] 每年年初呢我们也会把前一年的所有研报一共12篇集结成一个单行本名字叫公司的秘密目前的话其实已经出到第三季了我们会把最新一季的购买的链接发在show notes里面如果你对于更高信息密度的或者说更好阅读体验的一些公司分析的一些文章感兴趣的话不妨来尝试一下广告就打到这里了我们还是回到keep身上本期节目我们想从三个方面来简单看一下keep这家公司的含金量
[00:03:08] 以及他为什么选择2022年上市这件事情首先的话我们想看一下Keep的用户和商业模式核心其实是两个问题第一谁在用Keep第二就是谁在为Keep赚钱其次因为Keep已经披露财报数据的这几年都是亏损的我们也会简单分析一下这个亏损的情况和公司业务变化之间的关系最后也就是这两年因为全球的资本市场都比较动荡然后有些市场受政策影响也很大
[00:03:36] 那么话不多说54321Go
[00:03:49] 第一个动作啊不对第一个话题就是KIF的钱到底从哪些用户身上来啊先问萧老师一个问题你知道中国是目前全球健身人士最多的国家吗不知道而且我也不知道这个健身人士里面包不包括就是广场舞的大妈和壮术的大爷们不过人数最多这件事情在中国还是蛮普遍的而且看周围的这个健身房的密度感觉已经都快追上有些餐厅了所以有这个数字也不是很意外
[00:04:18] 这个数字我自己也不知道准不准确反正是Keep在招股书里面引用的一个说法来自咨询机构叫着实咨询的一个市场调查这家机构还估算了一些数字他说目前中国每个健身者的年均运动开支是接近2600块也就是每个月200多这跟美国市场的水平还有一个汇率级别的差距
[00:04:39] 所以美国是相当于人民币1000多块钱了对的整合人民币的话大概一年是14000多但是这个市场前景是比较乐观的也就是在所谓可支配收入城市化年轻人需求健康意识的提升以及政府支持等等各种因素的推动下到2026年中国的整个健身市场的规模有望扩张到1.48万亿元听下来翻译一下就是说Keep身处的是一个所谓万亿规模的市场对吗或者说是潜在的万亿规模的市场
[00:05:08] 而且中国的健身人士已经有了一些的付费习惯加上一些利好的因素的话Keep这个生意是很有可能做大的就是他想说的意思我觉得差不多就是这么个意思当然这个规模本身只是一个所谓市场的背景最后到Keep这个公司身上还要经过好多个环节比如我们刚刚提到的付费习惯这个就让我想到Keep这个公司的创始人王宁之前提到的一个故事就是他自己为什么创业说说看
[00:05:33] 王宁是在接受高盛的采访我也不知道高盛为什么采访他反正就采访了他的时候说了一个故事就是说他这个人从小到大都很胖这个给他的心理和生理都带来了一些负担但是呢他当时又没有钱请健身的教练所以他作为一个零基础的人就在网上去找那种健身视频和文章自学然后琢磨出了一套适合自己的运动计划在大学毕业的前夕坚持运动了八个月最后成功瘦身50斤之后就创立了Keep
[00:06:03] 这个故事乍一听的话还是一个蛮励志的创始人的故事但是仔细想想有点讽刺就你一个健身APP的创始人肯定是想从这个当中要赚钱的但他自己就是靠不花钱的视频和文章就瘦下来50斤这不是更加说明让人花钱健身这件事情比较难吗确实所以说Keep要做的事情其实是两层首先是找到那种已经有健身习惯或者想要有健身习惯的人让他们认可说Keep你这里提供的服务品质要比外
[00:06:33] 下面的内容会涉及到一些算术和一些比较
[00:07:00] 单纯听的话可能会有一些枯燥和难以理解有些内容如果听众朋友们有疑问的话我们也可以在评论区里面详细解释也欢迎大家来讨论那我们开始吧首先是Keep的越活越用户规模数字从2020年开始有一个非常明显的上升这个不用说肯定是因为疫情居家带来的一个结果嘛对大家都不能去健身房了嘛对这家公司的越活的最高峰也是出现在2021年的第三季度当时是超过了4100万人
[00:07:30] 在招股书里面Keep也很明确的说在2021年的前三个季度里面这家公司都策略性的增加了在流量获取和品牌推广方面的支出以进一步获取激活及挽留用户挽留都说出来了反正说到底就是打广告和买量了我看他们那个时候还请了易烊千玺来做品牌代言人也是在2021年的第三季度这个时候对 准确来说是当年的8月份
[00:07:57] 涉及到打广告和买量我们就可以从合不合算这个角度再简单做一点估算2021年的前三季度Keep在销售和营销上面花的费用总计是8.1亿元非常大的一笔钱如果我们用当期的月活跃用户为基数折算一下就是把它人均一下花在每个月活跃用户头上的营销费用是22块6
[00:08:21] 然后如果我们把当期的公司的收入也这么人均化折算一下的话会发现当期的人均收入只有32块1等于这个营销费用和他最后的这个收入人均一下都差不了太多了对这个其实就只算了营销费用我们还没有算上其他的运营的支出所以有可能有一种情况就是你越打广告这个公司越亏其实如果看一下Keep在2020年的情况的话当时其实这家公司是比较健康的
[00:08:48] 当时公司在每个月活用户身上只花10块1的广告费就能拿到37块2的收入这个其实就是比较合算的但是后期这么执着的加大投入可能就是如果你不打广告的话这个数字会降得很难看这是他们不得已而为之的一个结果对有可能就是2020年那个数字的时候它的用户规模就没有4100万那么厉害了对当然是没有这么高的了刚才有老师讲的这些被keep以各种方式打广告什么的吸引来的用户
[00:09:15] 就相当于进入这个转化load的第一层对吧就已经进来了那么怎么把它们转化到下一层也就是付费的这个阶段呢这个部分要先说明一下Keep把它的付费用户分为两种一种是订阅用户也就是Keep的那种阅读或者记录年度的会员就是花钱买课程的那些人对的另一种是DTC付费用户
[00:09:39] 也就是在各种零售渠道里面比如说天猫店或者Keep的APP里面去买Keep自由品牌产品的消费者不过不得不吐槽一句买东西就买东西还非得叫DTC你赶这种时髦实在是没有什么必要对我刚才听到这三个字的时候也是一样的反应还是先说所谓的订阅用户也就是会员这个部分
[00:10:00] Keep的会员我自己也买过觉得这个价格其实还比较合理它的月包好像标准价是19块钱年包标准价是218经常还有各种各样的什么联名的优惠或者说打折之类的东西这个听上去是不是和视频网站的会员是比较类似的与其说比较类似不如说非常类似所以它面临的困境也跟视频网站非常类似消费者首先觉得没有必要在这里花钱其次它不一定持续在你这里花钱
[00:10:27] 最后你还很难把这个价格涨上来这视频网上听到了也扎心了而且对于什么东西是免费的什么东西是收费的我觉得keep好像没有想清楚这个其实还不如视频网站对我们就是从一个假设我是一个黑心商人我们从这个角度来想如果说要想一个比较能吸引人来买会员的方式其实就是应该把社区里面大多数的好东西都设成了所谓会员专享的
[00:10:52] 然后这个用户只能边骂边把这个钱付了对吧就像是视频网站里边这个电视剧第一集免费然后第二集开始要会员然后之前还有什么超前点播是吧对的对的但是Keep不是这个样子你如果打个Keep的APP会发现它绝大多数零散的那种课程都是免费的然后要走会员收费的反而是那种训练计划这个训练计划其实是把各种各样的零散的课程串联在一起
