Vol.57 人类如何消灭传染病？
时长：00:26:31
来源：网易云音乐电台节目 · 商业就是这样 · Vol.57 人类如何消灭传染病？

[00:00:06] 在西非的一些地区,SEP的项目人员要同古老的天花神灵的巫师们合作而在印度,项目组则需与印度天花女神及与之相关的一系列仪式打交道在阿富汗乡间,SEP的疫苗工作者得绕开门在女子与孩童脸上的薄纱,小心翼翼地接种
[00:00:38] 这里是商业就是这样
[00:01:05] 另外一边呢我们又不想直接说这次国内的疫情关于这个事情的信息太多了说实话我们自己这两天都有点信息过载了而且疫情是非常专业的事情我们也不是疫情方面的专业人士暂时还没有办法给大家提供什么信息增量但是我们心思又在这个上面所以怎么办呢就想来聊一个与疫情相关的话题
[00:01:26] 这两天我看了一些与传染病相关的书和文章发现有一个故事蛮有意思的约老师你听说过一号病二号病吗就是在20年的疫情时候听说过这个其实就是世界上两个之前最厉害的传染病一个是鼠疫一个是霍乱对的就我们国家有传染病防治法里面就按照这个传染病的危害程度把它分为了甲乙丙三类
[00:01:51] 这个其中中间的这一道就是乙类是最多的像肺结核啊艾滋病啊这些都是我记得其实新冠也算是乙类传染病的当时新闻上面也是这么写的但是因为它危害很大所以它虽然是乙类传染病但是按照甲类来管理的对的其实啊就原本甲类的传染病除了这个一号病二号病还有一个三号病就是天花
[00:02:13] 但是后来天花被踢出这个名单了因为这个病被人类彻底消灭了世界上没有天花这个病了事实上天花也是人类迄今为止彻底消灭的唯一一个传染病天花被消灭这个事情我小时候就听说过了但是没有想到它是人类消灭的唯一一个传染病对的所以很可以理解消灭天花是被当作人类的一个重大的公共卫生的胜利2020年新冠疫情在全球流行
[00:02:40] 但其实2020年也是人类根除天花的40周年这个当中有意思的是我在看资料的时候发现有一个篇论文叫做叙事中的天花将疾病控制写入冷战历史这里边就写到就是消灭天花这个过程其实是在冷战的时期由美苏这两个超级大国而且是对立的超级大国互相合作来实现的这个就好像比较有意思我还是没有听说过这一卦
