Vol.60 “供港食品”背后的门道
时长：00:29:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.60 “供港食品”背后的门道

[00:00:07] 有一篇评论里面看到过这样的一个说法我简单来念一下中国现在的食品是分级的金字塔顶端的叫做特供然后是重要活动比如两会奥运期间的定点采购以及供港食品再然后呢是绿色食品和有机食品最底端的菜才是普通的食品这里是商业就是这样
[00:00:39] 大家好,我是肖文杰今天岳老师不在啊就是也跟大家打一个招呼岳老师因为一些个人的原因要暂别本节目一段时间但是不会太久当然大家也放心岳老师身体非常健康他阴着呢然后我们节目这几期的话会迎来一位新的搭档杨不自我介绍一下大家好,我叫陈锐我和两位知名的主播一样我们都是第一财经杂志的这个彩编人员
[00:01:08] 前面肖文杰也解释了许平清有一点事情那么我们也是因为想要坚持和大家的这个约定所以呢这段时间就暂时由我来代班我呢尽量不拖肖文杰的后腿尽量想要做到让我们的这个节目在这段时间里面不掉粉至少少掉粉然后我争取尽快下岗让约姐回来跟大家一起葛老师刚才比较客气啊其实她是我跟那个约老师两个人的领导也是我们这档节目的监制
[00:01:35] 顺便说明一下就像许冰清我们在节目里一直叫他约老师一样这是一个昵称然后我们平时叫陈锐的话也叫他葛老师也是一个昵称所以我在节目里面为了方便也就继续这么叫了今天这期节目虽然搭档有一些变化但是也有一些不变的东西就我们三个人都是生活在上海的那上海市民最近一个多月有一个日常的核心目标几乎是没有变过的那就是要在疫情期间尽量让自己吃好喝好
[00:02:04] 同时尽量保持心情舒畅所以我们这期节目呢继续还是讨论和吃相关的话题我们来讨论一下菜篮子不知道大家还记不记得之前有一条新闻就是在上海疫情刚刚才开始有一点紧张的三月底普西有很多居民忙着抢菜当时市面上出现了一些比较离谱的物价比如一颗普通的白菜要卖到78块钱后面市场监管部门就处罚了几个公司
[00:02:29] 其中一家叫上海菇园农业科技有限公司香菇的菇有缘人的缘这家公司它是在一个超市里开了专柜嘛卖所谓的贡港韭菜和贡港荷兰豆就是一些所谓的贡港蔬菜结果调查发现啊它正规的这个在贡港蔬菜种植基地里面种的菜品啊只有菌菇奇菜青菜几个种类而这个专柜里面销售的刚才讲到的韭菜荷兰豆其实大多数都是从普通的农户那边来采购的
[00:02:58] 那这个就涉及到以共港之名来误导消费者了所以就被处罚了这里其实也带到了我们这个中国食品体系里面一个比较独特的标签就是共港共港呢其实就是字面意思供应香港啊当然也包括澳门这两个特别行政区的菜篮子很大一部分其实是有一套运行了60年的供应制度来保障的
[00:03:20] 同时呢能成为这个杠杆产品的供应商又确实意味着它有更高等级的生产要求和检测标准所以在不少消费者的心目里面杠杆两个字就意味着高品质也愿意为它去付出更高的溢价所以那些被处罚的公司其实就是想用这个消费者心目中的比较高级的标签来卖个高价当然话说回来你现在来看对于上海居民来说如果能在那段时间里在超市里买到新鲜的蔬菜就很不错了
[00:03:49] 但最近普通蔬菜的价格和正常时期的贡港菜的价格真的也没有太大区别了的确是而且我连普通的蔬菜都不太买得到了所以这期节目我们就来聊一聊这个贡港菜我们的话题要从一辆火车开始1962年3月20号一辆装满大量活猪的火车从武汉出发了
[00:04:17] 这一火车的活猪想象了一下是个蛮有冲击力的画面不过我们先把这个画面放一放我们从更早一点时间来说起就是1950年代的香港人是如何买菜的那个时期对于香港来说是一个二战后经济恢复同时人口又急速增长的阶段其实全球很多地区二战后都经历过这样一个阶段那香港大家也知道嘛就地少人密吃饭其实是一个蛮大的问题
[00:04:43] 我看到过一个说法就是当时有些香港的市民住的离关口比较近一些就会每天一早提着篮子挑着蛋去深圳甚至去广州去采购一些生鲜的食品而且当时内地呢其实他也是很愿意为香港去供应这些生鲜类的商品因为可以创造外汇外汇在那个时候对我们中国内地是很重要的对的所以内地就在香港成立了一家专门来分销这个内地的食品当然有些别的商品的一家贸易公司叫五峰行
