Vol.63 免税店的秘密
时长：00:38:02
来源：网易云音乐电台节目 · 商业就是这样 · Vol.63 免税店的秘密

[00:00:07] 在海南岛的这个离岛免税业务崛起之前日尚一直是中国最赚钱的免税零售公司就毫无疑问的因为它的这个店是开在中国出入境人流最大的三个机场就是上海浦东上海虹桥和北京首都这三个机场在2019年的出入境人次加在一起一共有6564万人次接近内地机场总量的一半而与之相对应的2019年日尚的这三家免税店就贡献了中免一半的营业收入
[00:00:46] 这里是商业就是这样大家好,我是肖文杰我是陈锐今天节目的主角是一家比较特别的公司中免集团它全称是中国免税品有限责任公司对,我们虽然两个人都还在风控当中有点有钱花不出去但是我们今天还是要斗胆来讲一讲消费在正常的情况下其实免税店是一个非常惹人羡慕的生意商业报道里面我们经常听到一个词叫护城河
[00:01:14] 指的是某个公司有决定性的一个竞争优势但其实大多数所谓的护城河都经不太起考验真正称得上护城河的要么是一些特殊的品牌地位比如像法拉利爱马仕这样的奢侈品要么就是一些很实在的资源比如矿家里有矿或者是牌照像免税店的话它就有这样的资源在许多市场你要开免税店是需要有牌照或者特许经营权的而这种牌照资源一般都很稀缺
[00:01:41] 那么这个免税价和市价之间的价格差就是我们这个免税牌照的核心
[00:02:10] 对的就当然这个具体里边有很多规则和不同市场的法律要求这个不在我们今天的讨论范围之内啊过去几年其实随着中国出境游的普及越来越多的人都已经开始熟悉免税店这种消费模式了全球的这个免税店的经营规模也一直在一个增长的阶段而且这个增长非常快啊我们看到数字说的是2019年全球免税销售额达到了历史的最高点是818亿美元
[00:02:37] 比2009年的数字是整个翻了一个倍但是这个疫情之后免税店的生意很快就跌入了冰点对的真的是直接从天上掉到地下对因为疫情当中被限制最多的就是人的流动嘛尤其是国与国之间的这种人的流动毕竟免税免税免的主要是关税嘛那他的顾客就限定在了出入境的旅客上面那疫情之下出入境有多困难相信大家都能够理解
[00:03:03] 那么数字的体现还会更直观一些我们看到2020年全球的免税销售额从2019年的818亿出现了一个暴跌
[00:03:28] 但是这个当中中免公司就是我们开头提到的这家公司是一个特例它在疫情当中的2020年和2021年都是逆势上涨的那此交彼长之下呢它就一下子成为了全球最大的免税零售商我们的同事吴洋洋最近还写了一篇中免公司的研究报告那我们今天就从这份报告出发来看一看中免公司和它所做的这个免税的生意我们会从三个部分来展开讲
[00:03:55] 第一个部分首先讲一下中免这家公司的发展史这个部分可以帮助我们来看清楚免税业务的特殊性在哪里第二个部分呢我们就会讲一讲中国人最熟悉的这个日上免税行和上海机场之间的故事它能帮助我们理解免税店和机场之间的关系第三个部分我们再看一个跨国免税公司的故事它能帮助我们理解免税生意的历史
[00:04:19] 那我们进入第一部分其实中缅的发展是非常的简单如果用于计划来概括的话就是一个借助政策的扩张史1984年中缅成立然后开始起步做免税的生意然而到2004年的时候它和中国国际旅行社总社合并成了叫国旅集团的一个央企之后的很长一段时间里边这个国旅集团它的主要业务都是旅游免税只是占一个小头
