Vol.65 如何给城市打分？
时长：01:19:13
来源：网易云音乐电台节目 · 商业就是这样 · Vol.65 如何给城市打分？

[00:00:08] 很多很多的人一直会问新一线你们这个指标里为什么跟房子从来没有关系我就会反问他我说你告诉我一个城市的房价更高你生活的越幸福还是房价越低生活的越幸福
[00:00:32] 大家好,我是肖文杰我是徐明清最近我们聊城市的话题比较多那这期还是聊城市不过我们换一个角度想来讲一讲如何给城市打分或者说我们应该如何从数据的角度来观察和评价一座城市这个是一个很专业的话题我们请来了最适合聊这个话题的嘉宾是第一财经新一线城市研究所的负责人也是我们的投士沈从乐从乐给大家打个招呼吧
[00:00:59] 嗨,大家好,各位商业就是这样,正在收听这期节目的朋友们大家好。
[00:01:04] 不知道大家还记不记得,我们在第15期的时候聊过零售店铺选址的话题那时候就请过新一线的同学来分享过一些选址的数据思维和实际的案例其实新一线每年最重磅的一个内容就是会做一个中国城市的排名这个排名全名叫城市商业魅力排行榜,其中是包括中国内地337座
[00:01:30] 地级以上的城市前四名的话稳定都是北上广深这四个当然它们之间的顺序会有些变化那之后的5到19位一共15座城市就被列为新一线城市
[00:01:43] 那今年的排名呢在6月1号刚刚发布我们简单的先公布一下结果就15座新一线城市依次是成都重庆杭州西安武汉苏州郑州南京天津长沙东莞宁波佛山合肥和青岛
[00:02:04] 那与上一年相比呢合肥是重回新一线之列沈阳则是首次离开了这个名单最后的结果就是今年的新一线城市当中是没有东北城市的
[00:02:14] 每年新一线的结果都会引发大家的很多关注不过我们今天这期节目就是不想聊结果我们就是想聊方法论所以呢今天还是要特别请丑乐过来跟大家把方法论多闪开一下因为大家都知道新一线这个词呢就是由第一财经周刊的团队来创造的现在它是一个特别普遍的用的人很多的一个概念了但概念用多的话就是对他的理解的可能会有些偏差包括用的太多的话也会有点泛滥但是这个新一线这个概念
[00:02:44] 在我们这儿是有非常明确的标准的所以我们今天来聊的呢就是说这个标准或者说这个规则是什么对它其实是新一线团队自己建立的一套数据体系里面包含了我数不过大概上百个数据的维度最显著一个特征就是这套评估体系里边
[00:03:01] 一些我们日常觉得最常见最重要的数据比如说GDP人口虽然在榜当里有体现但未必那么重要而一些平时不会被视作一个城市非常重要的指标比如说便利店的数量夜间灯光的强度大学毕业生的留存率等等的反而会在里边很有分量所以这个其实是整个数据体系很有意思的一点用什么样的数据框架来评价城市其实也代表了我们认为什么事情对于城市来说是重要的
[00:03:30] 也代表了我们将如何看待城市这也是我们做这期节目的用意所以今天呢就是请丛乐来给大家做一些科普如何用上百个数据来给一个城市打分
[00:03:43] 首先还是想请从乐整个的给大家介绍一下这个数据体系的框架包括它有哪些一级维度然后各自代表了什么样的意思之后我们再从这些一级维度出发来逐个的拆解来讲一讲为什么这些数据比较重要然后今年的结果里边有哪些比较有意思的一些结论或者说是一些特点从这些例子当中我们也可以来了解中国的这些内地的城市最近有些什么样的变化好的
