Vol.66 儿童餐玩具的魔法
时长：00:25:06
来源：网易云音乐电台节目 · 商业就是这样 · Vol.66 儿童餐玩具的魔法

[00:00:07] 对于麦当劳来说往每份开心乐园餐里面都塞一个玩具这件事情呢就让他从数量值上面成为了全球最大的玩具渠道商可能也没有之一啊
[00:00:31] 这里是商业就是这样大家好我是肖文杰我是徐明清今天跟大家聊一个特别轻松的话题就是肯德基的可达鸭感觉像一个哈利波特里面的魔咒听说最近国内肯德基的店员们已经用上了一句新的问候语叫你好肯德基没有可达鸭没有想到一个卖炸鸡的店家有一天会为鸭子烦恼虽然我们觉得听友们应该都已经被这个魔镜的可达鸭的这个音乐洗过脑了
[00:00:59] 但我们还是长话短说先介绍一下背景啊就是肯德基是连续三年在儿童节期间与任天堂的著名IP宝可梦就是我们有可能比较熟悉的熊小精灵做了一个联名活动他在儿童套餐里边送这个宝可梦的玩具而今年的这组玩具里面的可达鸭因为他跟着一个复古disco跳一个非常简单的但非常魔性的舞所以就特别的火让肯德基的这个套餐一下子是一压难求
[00:01:26] 这个音乐真的很洗脑啊加上这个可达呀又变成了很多表情包的一个基础素材就变成了一种双重洗脑怎么说呢就是对小朋友来说很幼稚但是对成年人来说刚刚好和很多这个营销事件一样啊就这次可达呀的爆火已经其实有很多总结了嘛比如说我们前面提到的魔性还有所谓童年的回忆杀以及爆火之后的吵架黄牛的仿品介入啊等等的其实都差不多这些点了
[00:01:54] 所以我们觉得不妨再深入一下顺着这一个话题来看一看像儿童餐和玩具这样的小玩意儿是如何在肯德基麦当劳这样的快餐业的巨头里面发扬光大的因为在我们的记忆里面其实这已经是一个有挺多年历史的这样一个传统的营销活动了我们今天还是大致从三个角度来展开这个节目第一个是想看一看往儿童餐里面加玩具这个天才的创意到底是怎么来的以这么做的效果是怎么样的
[00:02:23] 第二点我们会简单的分析一下一个儿童餐里面的玩具从IP到成品会涉及哪几个环节以及背后还有个大的问题就是玩具产业的转移因为原来可能是在中国现在在往东南亚转移最后我们想顺着肯德基和麦当劳这两个品牌这两年在中国和全球市场经历的很多变化来谈一下就是儿童餐和玩具行业也一样想讨论一下是儿童餐这个概念是不是也需要一波再创新
[00:02:50] 那就让我们活动一下在可达雅的这个Disco舞曲里面开始吧
[00:03:06] 虽然这几年在儿童节期间国内靠玩具货的好像都是肯德基但是在一个更长的时间和更大的范围里面来看麦当劳的开心乐园餐才是儿童餐营销的王者而且我觉得他们应该也是最早想到往儿童套餐里面塞玩具的公司说起来我都想不起来肯德基对应的这个儿童套餐叫什么查了一下才发现叫快乐儿童餐感觉就是和圣代新帝一样是这两家公司的一个经典的工整的对照
[00:03:33] 说回来麦当劳的这个开心乐园餐最早出现在1979年还蛮早的但是这不是一个麦当劳官方的策划而是由麦当劳在威地马拉的一个特许经营商尤兰达夫妇想出来的威地马拉当时尤兰达夫妇设计了一个套餐组合叫Manu Ronald里面有一个汉堡和一个小号的冰激凌还有一份小薯这个分量呢就比较适合小朋友吃一顿然后整个套餐也是主要针对那些忙着带孩子的家长的
[00:04:00] Money Ronald本身就是一个普通的产品组合就像我们现在一个桶里面到底放哪几种炸鸡是一样的所以要想吸引人就得有一些卖点当时麦当劳有一家长期合作的广告代理商他的创始人叫Bob Bernstein他听说了维迪玛拉有这么一个套餐就在想说我怎么改良一下它Bob最早的创意是把所有的产品放在一个折叠的纸盒里面小朋友可以像拆礼物一样打开它
[00:04:26] 就是开心乐园餐的那个logo就是一个麦当劳的那个纸盒所以是从这个地方来的没错两年之后这个套餐里面又多了一个固定的免费派发的小玩具这就形成了如今开心乐园餐的一个体系就是一个吃的东西然后一定要有一个玩具
[00:04:43] 今年在上海疫情期间呢麦当劳也给亲子方舱医院的小朋友派发过开心乐园餐当时上海整个物流都非常吃紧包括纸盒和玩具之类的物料都要想办法从外地运进来但当时麦当劳朋友说了一句让我很感动的话就是开心乐园餐必须有玩具如果说我们今天为什么要做这期节目呢这句话可能也是个影子当然啦开心乐园餐这个组合很快就被证明确实是一个天才的创意大受欢迎啊
[00:05:10] 其实道理很简单因为麦当劳所代表的这个美式快餐它有一个核心就是要从娃娃拽起后来像麦当劳啊肯德基他们围绕儿童的这类需求的运营是越做越多像餐厅里边有儿童乐园区有专业的陪玩的服务员甚至可以办生日会对吧加上两大品牌入华的时候很大一部分的顾客都是举家钱来的那这一整套的尤其是包含对儿童的服务就很容易让小朋友眼花缭乱瞬间就入坑了
[00:05:37] 另一方面玩具其实解决了美式快餐店的一个大问题就是这些快餐店的菜单其实很少换新尤其是那些核心的产品是缺少惊喜感的永远都有炸鸡永远都有汉堡对吧但是玩具是可以不停的换新的每次一轮还有六到八个玩具你也不知道拆出来是哪个有人说儿童餐玩具是目前国内我盲盒玩具的一个雏形我觉得也是有点道理的
[00:06:00] 总而言之有玩具和儿童餐的麦当劳对于小朋友来说吸引力就马上就变强了根据一个叫Technomica的研究公司在2009年发布的一个报告有37%的小朋友会把麦当劳作为自己的快餐首选
[00:06:26] 还有一个数据可能更惊人啊
