Vol.68 耐克在中国的“左右手”
时长：00:26:52
来源：网易云音乐电台节目 · 商业就是这样 · Vol.68 耐克在中国的“左右手”

[00:00:07] 有一些机构大致测算过在整个产业链条就是从制造商到品牌商再到零售商的这个链条里面各个环节的净利率净利率分别是大概是10%制造商10%到15%是品牌商然后到零售商就只有6%到9%了这一组数据在像深洲国际耐克和淘宝之间也是差不多是这个比例
[00:00:39] 这里是商业就是这样大家好我是肖文杰我是冰青我们这档节目算是比较喜欢聊运动服饰品牌的比如早期聊过Lululemon还有安踏旗下的Fila最近一次是在2021失忆大公司的全球片当中提到过阿迪达斯不过我们好像一直没有聊过这个行业里面最大也是最成功的公司就是耐克因为我们前面提到这些品牌都是上市公司一个很简单的衡量它有多成功的办法就是看市值
[00:01:08] 我们在录这期节目之前还特意看了一下耐克目前的总市值大概是1689.2亿美元相当于4.8个Lululemon5.1个Adidas或者5.8个安塔大家注意到没有啊就Adidas的市值目前还不如Lululemon那是真的属于失忆大公司了确实要加个油耐克这几年在股市上的成功可能可以归功于很多很多方面比如说它的销售业绩确实涨得很快
[00:01:35] 他的数字化和直营也搞得很有特色然后包括小众的球鞋文化兴盛起来了包括他们签约的运动员在奥运会上表现不错等等等等袁老师最近还写了一篇Nike的言报节目刚上线的时候估计还没有发等发了之后我们会第一时间贴到生动词里面不过我们今天不准备基于这个言报讨论Nike本身而是想换一个思路来聊Nike谈一些与Nike紧密相关或者说是围绕Nike创业的两条路这个怎么说
[00:02:02] 在运动服饰行业里面Nike的位置是所谓的品牌公司它不是什么都做的它在上游和下游都有一些重要的工作是交给合作伙伴的在下游就是它的经销商体系在上游就是它的制造商体系而在中国市场呢Nike在这两个方向恰好都有非常重要的合作伙伴它的最重要的经销商是淘博体育以及最重要的制造商是深洲国际这两家公司恰好也是非常成功的上市公司
[00:02:29] 他们的成功很大程度上也都依赖了
[00:02:56] 让耐克这样的品牌公司不再一家独大
[00:03:00] 那上游和下游我们先聊哪一边呢先聊上游也就是制造商吧其实在服装纺织行业深州国际是非常非常有名的那种代工大厂了它2005年上市然后到现在股票大概涨了100多倍相比于一般的代工厂深州国际比较厉害的是它把那种看似很简单很低端的服装代工改造成了一个很规范的有技术含量而且是国际化的生意这三个特点最终让它成为行业里面的一个品牌它不是一个厂它是一个品牌
[00:03:29] 讲一下深洲国际的一个小的历史啊深洲国际是成立于1988年这也挺早的了它的管理者最早是马宝新他之前在上海真知二十厂做过副厂长还去日本接受过培训当时他就对于真知面料有了一些研究到了深洲以后呢马宝新要确定我们到底要做哪种代工对吧他当时就想起来说日本的婴儿成衣就是小朋友穿的衣服啊对于面料的要求非常的高而且这个衣服的定价甚至超过了成人的打底衫
