Vol.69 魔球：数据如何改变职业体育
时长：00:27:55
来源：网易云音乐电台节目 · 商业就是这样 · Vol.69 魔球：数据如何改变职业体育

[00:00:07] 就是2004年整个MLB大联盟一共30支球队全职的数据分析师还不到5人而在2022年就是今年这个数字在500到600之间平均下来就是一个球队有17到18人是专门来做数据分析的你要知道就一支大联盟球队的正式球员名单也就25人
[00:00:36] 这里是商业就是这样大家好我是肖文杰我是冰青我们两个经常被问一个问题就是平时自己听的最多的播客是什么
[00:00:48] 中文播客的话我肯定会推荐世界莫名其妙物语同样是周更节目看看人家看看我们对吧我还以为你会推荐不在场还是推荐寺庙吧好的好的寺庙我也非常喜欢不过他们最近好像刚刚停更了一期对对对说回我我的话可能是一档大家都没有听说过的一个节目因为它甚至不算是一档正式的播客你也没法在各大音频平台能够搜到它最新的内容
[00:01:14] 这么神秘的吗这还叫播客吗稍微解释一下我关注了一个微博的账号名叫玄猫玄转的玄猫咪的猫它是一个专门做篮球数据分析评论的团队起初的合伙人有三位分别名字叫张文景徐墨和谢宇萌他们三个人从2017年开始就在微博上开通了付费订阅的业务我已经订了三年了
[00:01:36] 然后订阅会员之后呢他们就会提供给你每个赛季NBA所有球员和球队的分析报告然后日常会翻译很多美国篮球数据专家的分析文章平均每周还有一次针对付费用户的直播来讨论过去一周NBA各个球员的动态什么的反正是一个针对深度的NBA篮球迷的一个账号
[00:01:58] 的确是我这种人根本接触不到的领域
[00:02:26] 因为只是开放给付费用户的所以既没有正式的名字也搜不到但这的确是我听过的就是时间最长然后我也最喜欢的一个音频节目
[00:02:36] 没有想到肖老师最近每天一小时在听这些东西我量也是够大的所以我们这期节目就是聊选毛这个团队吗我倒是想就是安利一下他们但是毕竟我们是一档商业节目所以还是要找一个合适的角度来安利一下这所谓夹带似乎也要符合基本法是吗对的对的但最近我和几位朋友聊天就还是发现了一个比较合适的角度就是魔球
[00:03:00] 玄猫团队之所以我觉得他们专业是因为他们有坚实的一个方法论来分析篮球就是基于科学的数据分析和统计来理解这项运动这个理念呢有一个更有名的中文名字就是魔球理论英文名字呢叫Moneyball布拉德皮特有一部电影叫点球成金说的就是这个事情对吧对对点球成金它那个英文的原名就是这个Moneyball其实点球成金这个电影就是改编自一本2004年出版的同名的非虚构作品
[00:03:27] 然后在这本书出名之后数据分析在北美职业体育它就是蔚然成风了从棒球这项运动开始到篮球美式橄榄球乃至后来足球都开始拥抱魔球理论可以说数据分析是21世纪职业体育影响最深远的一场革命从商业的角度看刚刚肖老师提到这些联赛都是全球商业价值最高的一些体育联赛了职业体育本身就是一个大生意
[00:03:54] 每项比赛里面的球队其实就是一个一个的公司跟所有的公司一样盈利其实都是他们的目标了没错所以找到了一个跟商业结合的角度可以来讲这件事情了我们就想从球队经营的角度来看一看魔球Moneyball是如何来改变了职业体育不过这期的话题会比较丰富也有可能是我夹在私货比较多然后涉及的体育概念也比较多所以我们想分成两期来聊在这一期我们会从最初的起点开始
[00:04:23] 通过Moneyball这本书的案例来聊一聊职业体育的经营策略以及数据最早是如何影响了棒球和篮球这两个运动在下一期呢我们会把视线拉远来到大洋彼岸来看一下在欧洲足坛魔球带来了一个怎么样非常精彩的一个案例以及最近几年魔球这个理念进化到了一个什么样的程度那我们就开始吧
[00:04:46] 那么要么肖老师先来介绍一下魔球是什么吧到底是什么球啊对我也其实不知道为什么Moneyball是翻成魔球大概是有点谐音啊具体这个案例呢其实Moneyball这本书还有电影真的已经很精彩了书也写得很好看电影嘛布拉德皮特演的那个也是很精彩的一个电影我们就从里面挑一些基本的要点来说一下吧这本书的主角呢是MLB也就是美国职业棒球大联盟也是全球棒球水平最高的一个比赛
[00:05:14] 这当中的一支球队叫奥克兰运动家队袁老师你听说过吗没有就是有可能对于那个中国的听友来说奥克兰这个城市都不是很有名在美国其实也差不多了就这个球队它所在的城市很小然后球队呢财政实力也很差挺穷的成绩也一般然后到了2001年呢他们就是雪上加霜他有三名球星啊被财大气粗的纽约洋基队挖角了纽约洋基队我终于知道了
[00:05:41] 对就是一个全球都闻名的难得大家都比较熟悉的一个棒球队结果在这种情况下到了下个赛季奥克兰运动家队它奇迹般的成为了整个大联盟成绩最好的一支球队而且这个成绩当中还包括了一波非常惊人的20连胜所以这是一个所谓弱者逆袭翻盘的故事了没错那整本书还有这个电影就是讲这个故事
[00:06:03] 而这个逆袭的关键就是球队的总经理比利比恩这个人他采用了数据分析的方式来评估和挖掘球员找到了一些别的队看不上的但实际上很强的球员然后用很便宜的价格把他们签下来那这个理念呢就被财经作家迈克尔·刘易斯取名为Moneyball然后写了这样一本书所以说在此之前这个MLB的球队都是不看数据的吗也不能这么说其实奥克兰运动家他并没有发明任何数据
[00:06:31] 他们所仰仗的这个数据分析数据分析里面的数据啊都是MLB比赛当中一直存在的有的有可能统计了上百年了比如说他们评价这个打者就是拿着棒子打的那个球员的一个核心的数据就是上垒率这个具体解释起来真的很复杂简而言之呢就是举着棒子的这个那个打者啊他们每次上场打击然后最后能够上垒的这个概率
[00:06:54] 大家听一听啊虽然肖老师一直试图用什么举着棒子这样的说法来降低我们的理解门槛但是这个一点都不妨碍我对于上类继续一无所知哎呀因为棒球这个概念就是它的规则相对比较复杂嘛如果你一解释就要从头开始讲觉得很累我会在show notes里面放一些简单的介绍和视频有兴趣的朋友们就是可以自己就这样演讲其实也没有那么难理解只是说起来比较烦那现在不理解也没关系只要知道一点就是说这个数据早就有了
[00:07:23] 但是一直不被重视就可以了那个时候岳老师刚才不是问他们别的球队都不看数据的吗很多时候真的是这样当时MLB的那些球队他们选球员的时候主要就是靠球探球探来评估球员那么球探是靠什么来评估球员呢就算看数据他们也是用类似本雷打安打数这类非常直观的雷家的数据来看要么就是索性不看数据
[00:07:47] 就用自己的所谓这个运动家的直觉来看一下你的身体素质啊技术动作啊甚至你的风格或者是你的气场精神力之类非常虚的一些东西但是比恩的团队就发现啊相比较这些直觉的东西上累率才更能说明问题更能够直接的反映一个球员上场之后能够为球队带来的一个贡献或者效果别的东西都是很虚的所以呢他们就用这个数据为核心来找球员就发现了很多上累率很高的球员
[00:08:15] 结果是在别的球队遇不得之都打不上球的然后他们就发现这是一个很大的机会听上去就是在股市里面去找那些资质比较好但是股价很低的股票了游老师就把他跟商业联系上了但是真的有点像这个感觉只不过在MRB的交易市场里边和公开的证券市场还是不太一样因为你真的要把这些球员买过来的话还是需要耍一些心眼的不是你报个价就可以了
[00:08:38] 如果你频繁的去跟别的球队去交易来一些名不见经传的球员人家就会起疑心了你是不是有什么企图啊是不是我有一些那个你发觉但是我没有发觉的一些很厉害的球员那么他们就算是为了提防你也会来阻碍这个交易或者提高这个报价所以呢比恩经常还要装作漫不经心的然后去交易那些球员这个就是一个博弈的状态了对的我看到这个魔球这本书里面有个细节就是他们发现有一个投手啊就是投球的那个人
[00:09:05] 叫乍得其实呢非常的厉害但是在大联盟呢打不上球他就打电话给乍得所属那个球队说我们这边呢想用一些小联盟的捕手来跟你交易这边的一些差一点的投手我们也无所谓是谁反正就想填一个名单对方就开始给他报名字报了一大串最后报到了这个乍得的名字的时候对方的那个总经理就说这人呢是真不咋地我们也不想提拔他而且他还有伤
[00:09:28] 那比云就说那么要么我们就买他算了心里一定很紧张吧这时候对嘴上无所谓心里面非常的紧张然后就是漫步惊心的把这个扎德买了过来结果就是在那个2002年这个赛季就是大放异彩了通过这样的一些方式奥克兰运动家队他就用非常少的薪资组建了一个没人看好的阵容然后在2002赛季名震大联盟
[00:09:52] 有一个指标是非常可以显示奥克兰运动家队是多么的所谓花小钱办大事这个指标呢就是把球员的薪资和球队的胜场数放在一起比较来算出平均每多赢一场比赛球队要额外多花多少钱那在奥克兰运动家队那边2002的赛季他这个数字是50万美元就是要多赢一场球要额外多花50万美元这是全联盟最低的
[00:10:18] 而排名第一的球队叫巴尔蒂摩精英队要花300万美元简单来说如果把这个数字看作是所谓的投资回报率的话这个就有6倍的差距了还是蛮可怕的对的如果放在别的那些生意里边的话这个就是天上地下的一个差别了那为什么这个所谓的投资回报率这么重要呢这个就涉及到职业体育球队里边的一个支出结构了在所有的顶尖的职业体育联赛里边球队的支出最大的一部分肯定都是球员的薪资
[00:10:46] 举个例子比如说过去十年MRB的每一支球队每年支付的薪水大概是1.5亿美元基本上占球队总收入的一半要从薪资结构来说绝对是所谓大公司级别的薪资每个人都很贵对如果你去看北美别的一些体育联赛的话像NFL或者NBA基本上都会超过1亿美元他们真的是很有钱
[00:11:10] 但是这个平均数的背后呢这个差距只是非常大的就有钱的大市场球队薪资可能是小球队的数倍像在2002年奥克兰运动家队的薪资总支出是4100万美元也不算是最低的是全员联盟倒数第六而排名第一的就是鼎鼎有名的纽约洋基队则是1.26亿美元就相当于差三倍了这个工资对了那差距这么大的原因呢是MLB没有硬性的工资上限和下限
