Vol.70 魔球是万能的吗？
时长：00:27:20
来源：网易云音乐电台节目 · 商业就是这样 · Vol.70 魔球是万能的吗？

[00:00:08] 克洛普刚刚上任利物浦的主教练的时候格雷厄姆就来他的办公室给他递上了一封报告告诉克洛普说你之前一个赛季在德甲只叫多特蒙德队的时候有一场比赛你们0比2输掉了但是我觉得你们这场比赛其实应该赢球你们输掉的原因只是因为运气不好克洛普一听的话就觉得兄弟你是懂球的那场比赛我们就是该赢的但实际上啊格雷厄姆他根本就没有看过那场比赛
[00:00:45] 这里是商业就是这样大家好我是肖文杰我是冰青今天我们继续来讲魔球这个话题上一期节目我们介绍了魔球也就是职业体育里面的数据分析到底是个什么样的东西以及它如何改变了美国职业棒球大联盟也就是MRB的这个联盟的面貌以及球队的经营方式然后我们还讲了魔球理论在NBA篮球赛场上的一个影响没有听过的朋友可以先去听一下上一期这样的话你听这一期会更加舒服一些
[00:01:13] 这期我们终于要越过大西洋了来讲一讲魔球理论在欧洲足坛最成功的一个案例就是利物浦然后我们再回到爆球场上来看一下在魔球理论的发源地数据分析已经进化到了一个什么程度
[00:01:29] 那我们是不是直接可以开始讲利物浦了呢在讲利物浦的故事之前我们还是先留在北美先是从这个魔球的发源也就是2002年的这个MLB的赛场上开始当年奥克兰运动家队也就是最早践行魔球里的这个球队他大获成功之后这个球队的总经理就是比利比恩也就成为了MLB一个非常引人注目的明星有很多球队都想效仿他当中就有个球队叫波士顿红袜队
[00:01:57] 他的想法呢就比较直接我要不直接把你比恩挖过去算了可惜呢被比恩拒绝了这个红袜队啊说起来也是很惨的他是一个典型的大市场球队球迷拥顿非常非常多但是成绩怎么说呢就是已经80多年没有夺冠了波士顿红袜队没有夺冠呢已经成为一个玄学一个梗了有兴趣的朋友们都可以去搜一搜一个那个维基百科上的名词
[00:02:21] 叫做贝比鲁斯魔咒波士顿红袜队我也听说过因为复旦大学的老校长谢希德他也是波士顿红袜队的球迷没错对他在1980年代去美国访问然后见到一个美国的官员这两个人呢就是麻省理工的校友也都是红袜队的球迷所以谢希德上来就问红袜队的成绩怎么样夺冠了吗这个话题马上就打开了对的就是同时吐槽自己的母队总归是一个最好的破冰话题反正就是那个红袜队比较惨
[00:02:51] 那么这个红袜队在2002年之前呢刚刚易主了他的原来的老板把他卖给了一个体育投资公司名叫分威集团这个名字大家记住啊然后这个分威集团这个新老板呢他们就想去挖这个笔研码没有成功他们就退而求其次选择聘请了一位年仅28岁的一位年轻人叫艾普斯坦来做新任的总经理这也是当时MLB历史上最年轻的一个球队的总经理了
[00:03:18] 这个爱普斯坦呢他是魔球理论的一个信徒也非常的喜欢别人的这一套所以他在上任之后呢也开始践行魔球的这样一个经营的方式到他上任之后的第二个赛季也就是在2004年波士顿黄花队就打破了86年未夺冠的这个魔咒并且在2007年的再次夺冠这等于是魔球理论的又一次很巨大的成功那这个魔球这本书也就是Moneyball这本书的作者刘易斯他就在书的后期里边有过一句评论
[00:03:46] 他说也许科学可以解开贝比鲁斯魔咒感觉肖老师又在MLB的道路上越走越远了所以他到底跟利物浦又有什么关系呢刚才讲过的那个红袜队的新老板就是分威集团他在2010年的时候以4.76亿的美元就买下了利物浦足球俱乐部原来是这个样子那接下来分威集团就是在利物浦身上再复制一遍红袜队当时的策略吗没错
[00:04:12] 当时刚买下利物浦的时候这个球队已经属于一个债台高筑的状况虽然它是一个传统的豪门球迷也非常多但是它的资金球迷的总数包括它的收入来源成绩等等的都比不上像曼联黄马巴萨这些欧洲足团的顶级豪门所以峰威集团在入主利物浦之后就是主导主推了美国职业体育的一些运营方式最核心的一点就是它引入了一个数据分析的团队
[00:04:41] 他挖来了一位在另一个英超球队多特纳姆热刺任职的一位数据专家叫爱德华兹现在他已经非常非常有名了在球迷当中被称为爱神然后就请爱德华兹呢搭建了一个数据分析的团队并且让爱德华兹加入了这个利物浦足球俱乐部的一个新的一个组织架构名字叫转会委员会这是一个非常重要的点简单来说就是开始让数据分析的思维来直接参与到就是英超球员的一个买卖决策
