Vol.72 蔚来坚持的换电，到底是不是个问题？
时长：00:42:44
来源：网易云音乐电台节目 · 商业就是这样 · Vol.72 蔚来坚持的换电，到底是不是个问题？

[00:00:08] 根据蔚来的规划它2025年在中国国内是要有3000个左右的换电站是现在的三倍那么问题其实是到了那个时候蔚来的整车的保有量能不能比如说超过100万辆也就是现在的5倍甚至更多到时候蔚来的单车的均价是不是能够维持在现在就是40多万元比较高的水平上面才是我们接下来要关注一个主要的问题这里是商业就是这样
[00:00:43] 大家好,我是向文杰,我是徐彬青这个夏天感觉汽车业非常热闹因为我看到这几个礼拜是隔几天就会有比较重要的新车发布会当然都是电动车的这个新车我们的听友群已经非常热闹了有很多朋友前阵子还在讨论该买哪一款说起来这个新车发布会扎堆其实也有个客观原因就是四月份的北京车展没有办成那就有一部分这个新车发布的需求就延到了夏天原来是这个样子对
[00:01:12] 话说回来就刚才我们说行业比较热闹其实是有两面的就一面是这个新车都在那个扎堆发布争奇斗艳是吧另一面是其实有不少的电动车品牌也遇到了一些争议那其中有一个比较大家关注的公司就是蔚来了蔚来好像从来不缺话题所以今天还是我们这个节目的一个保留曲目又要讲电动车了是吗
[00:01:36] 对的我们来讲一讲关于蔚来这家公司的一个话题说起来蔚来最近可以说是有点水逆就它遇到了两件不太好的事情先是有一辆试驾车它意外坠楼了然后有一位蔚来的员工还有一位合作方的员工是不幸去世了第二件事情是一家名叫辉雄的做空机构它发布了一份蔚来的做空报告然后蔚来的股价它一度是受到了一些影响前一件事情我们认为还是一个意外的悲剧所以就不多知会了
[00:02:05] 后一件事情我们想稍微展开讲一讲因为这个灰熊的做空报告指出来的一个最主要问题就是关于蔚来的所谓电池租赁业务而跟这个业务紧密相关的就是蔚来有一个独特的换电体系这也是蔚来和其他电动车公司在商业模式上面最大的一个不同吧没错所以你像灰熊这次做空之后很多讨论就引申到了蔚来的换电体系上面但我们发现很多讨论其实没有厘清一些基本的事实和逻辑
[00:02:33] 我们是从大概2015年到16年就开始关注蔚来我记得刚开始采访的时候它的名字还是NextEV还不是现在的NIO到现在已经蛮多时间了而这个采访的过程当中其实它的这个换电体系一直是我们关注的一个重点前两周我还参加了他们一个关于充换电体系的分享会所以今天我们就想简单的捋一捋到底如何来理解蔚来换电这件事情
[00:02:58] 大致会分四个部分来讲首先还是从头开始分析一下电动车换电模式这个商业逻辑在哪里其次是分析一下这次未来被做空的一些核心的问题第三个就是进入实操层面来看一下做成一个换电体系要做哪些细节的工作最后可能跟大家分享一下除了未来以外其他电动车公司在换电上面有没有什么新的尝试
[00:03:23] 首先还是请肖老师先来讲一讲换电这个逻辑吧就是说换电到底好在哪呢只能说它解决什么问题吧我觉得可以这么来理解要理解这个话题的话先要明白就电动车有两个很大的短板我们都说电动车的目标是为了要取代燃油车其实指的就是在消费者决策的时候
[00:03:43] 他要选择电动车而放弃燃油车这样一个惯性的习以为常的一个选择那这肯定是很难的嘛因为你买车是一个很重要的消费决策大家一般都是会比较遵循惯例的你要去选择一个新的品牌新的技术新的产品就一般要做到两点第一就是你要有一些老产品不具备的优势第二就是你不能有一些明显弱于老产品的一些显眼的短板那在第一点就前者上面的电动车其实做到了不少
[00:04:10] 它有很多一些新的优势比如说很安静加速非常快充电非常便宜以及因为它整个这个机械相对那个比较简单所以它引入了一些新的玩家而这些新的玩家呢改善了很多汽车软件方面的体验但是我们讲到第二个层面就是不能有过于显眼的短板这个方面呢电动车还没有做到因为它目前还是有两个重大的体验短板的而它们呢都是由电池带来的这个车上最重要的东西是最大的短板了
[00:04:37] 它有一些优势但是它也有弱势的地方第一个短板其实是最主要也是最明显的就是它的补能时间非常长我们经常会说电池里程焦虑里程焦虑其实这个说法现在已经不太准确了现在大多数的新车如果你采用的是那些能量密度比较高的三有力电池的话充满电之后完全可以支撑这辆车跑四五百公里其实跟燃油车一个正常油箱差不了太多了真正的问题其实不是这个
[00:05:05] 而是电池的充电速度太慢所以你的焦虑其实是速度焦虑你要跑同样的长度的话你油箱加油有可能只要几分钟这个速度是充电的有可能几十甚至上百倍而这个问题是现阶段的电池技术没有办法来解决的相信那些选择不买电动车的朋友可能大多数也都是因为这个原因实在是等不起没错第二个短板相对没有那么显性但是也很重要这是二手车的贬值问题
[00:05:32] 你要知道在一个完整的汽车市场里面其实一年卖出的二手车是比新车更多的就二手车是一些很重要很多人买车的时候也会考虑一辆车的二手车的保值率而目前的这个电动车的电池随着你不断的充放电随着你使用时间的这个推移它储存的电量会减少它的性能也会变差它整个价值就会衰减的很厉害而你要知道就电池是整辆车上最贵的一个零部件嘛相当于你买一个油车这个油车的油箱
