Vol.73 谁来决定奶茶里喝到的小料？
时长：00:29:16
来源：网易云音乐电台节目 · 商业就是这样 · Vol.73 谁来决定奶茶里喝到的小料？

[00:00:08] 那么到底是谁先想到把这么奇怪的东西加到奶茶里面的呢有两家企业都号称是自己首创的一家是位于台中的春水堂另外一家是位于台南的汉林茶馆这两家公司还为了争夺珍珠奶茶始祖的名号打了十年的官司
[00:00:35] 这里是商业就是这样大家好我是肖文杰我是徐平青三伏天已经到了不知道听我们所在的地方气温怎么样反正今年上海的夏天实在是太热了真的是非常的热然后天一热的话大家就会想要喝饮料所以我们今天就来聊一个大家特别熟悉的饮品就是奶茶奶茶可能是中国饮品市场上竞争最激烈创新最集中也是所谓最九死一生的产品品类之一
[00:01:03] 你走在街上就能感到商战滚滚而来比如说洗茶用了奶盖那茶颜就要用奶油顶然后奈雪把油干带火了以后像黄皮啊巴勒这些小种水果马上就能受到重视了还有蜜雪冰城它开出几万家店靠的是加盟但是它背后的那个供应链强到可怕简单来说的话就是奶茶真的不只是一个消遣的饮品它真的是一个很大的然后很复杂的生意
[00:01:28] 它这个复杂的程度和创新的速度很有可能会震撼到你如果把一杯奶茶拆解开来我们觉得能聊的视角可以直接支撑起一个单独的播客节目专门做一季是吧对
[00:01:41] 所以我们今天就只挑一个跟奶茶有点相关又比较独立的方向就是奶茶里面添加的口感颗粒什么叫口感颗粒其实就是俗话说就是珍珠啊 仙草 红豆还有脆薄薄这种小料说小料我就听得懂了其实从2020年开始各种质地和口感的小料就成为奶茶创新里面一个非常重要的方向这个行业里面经常会出现一种以小料为核心反向开发出新的产品
[00:02:10] 就是你的所谓个性化的选择背后几乎都要有一个很完善的供应链和很强的研发能力来支撑的
[00:02:21] 这一点上的话小料听上去就有点像调味料对吧如果熟悉调味料这个行业的听众大家应该都会知道像做酱油的海天做这个醋的恒顺包括茯苓榨菜包括日本的像味之素这样的公司都是非常厉害的一些上市的公司所以这个小料虽然小但它这个市场的这个规模和潜在机会还是很大的我们今天还是从四个方面给大家介绍一下小料这个事情
[00:02:45] 首先就是我们要从被加到奶茶里面的珍珠开始说起就是这个小料的家族是怎么规模越来越大还有越变越复杂的小料家族是个梗是吧是个梗其次的话就是那种概念和口感特别新奇的小料都是怎么研发出来的这个是一点行业的秘辛了然后第三个就是说品牌是怎么把小料从天头变成一种调节价格的工具的最后我们会简单展望一下小料还能有什么想象的空间
[00:03:12] 前段时间的话我们的同事许诗雨正好和一位专门做这个口感颗粒领域的一个大型的供应链公司名叫鲜活控股的这个董事长黄国晃先生然后做个采访然后聊到很多我们前面讲的话题用许诗雨自己的话说就是感觉聊了两个小时各种各样的淀粉非常的有意思所以我们今天节目里边也会引用到一些两位这个聊天采访当中的一些分析和一些细节
[00:03:39] 那就让我们喝口奶茶马上开始吧要不别老师我们还是先从产品的角度给大家捋一捋你前面说的奶茶小料的进化过程因为我看按照黄董事长的说法大致可以分为四个版本4.0的迭代了已经还是从1.0说起来1.0版本其实就是最经典的珍珠我们两个年龄不是差不多吗就是读初中的时候其实市面上最先流行起来的饮料是泡沫红茶
[00:04:06] 那个凉凉甜甜的带一点点泡沫也特别便宜就几块钱一杯一个东西然后当时市面上也有像西安棕林这种以泡沫红茶为主打产品的餐厅在年轻人当中是特别火的当时是上岛咖啡的重要竞争对手西安棕林我真的不是很想承认自己听说过这个品牌但是我确实吃过但是其实很快泡沫红茶这个事情就不火了珍珠奶茶变成了市场上的绝对主力
[00:04:32] 一方面就是在泡沫红茶里面加了奶当然那时候更多用的是织纸墨另外一方面就是有珍珠就相当于在喝饮料的过程之外又增加了一个嚼的过程然后这个饮料就本身自带了一个亮点那么到底是谁先想到把这么奇怪的东西加到奶茶里面的呢我查了一下资料比较准确的说法是这个是1987年在中国台湾出现的一种市场做法然后有两家企业都号称是自己首创的
[00:04:59] 一家是位于台中的春水堂另外一家是位于台南的汉林茶馆这两家公司呢还为了争夺珍珠奶茶始祖的名号打了十年的官司结果法院最后判决是这个珍珠奶茶不是一个专利产品就没有必要争谁是始祖你们就散了吧所以这个官司没有赢家
[00:05:18] 好吧那这个春水堂我在那个台中交换的时候还有去日本的时候我都来还去吃过反正是一个它还属于那种传统的茶室那样的感觉对吧还是一个室内的摆着桌子那种感觉跟现在的奶茶店不是一个概念但实际上这两家奶茶店都没有发明珍珠OK它只是把它加进去这个动作是发明了对的珍珠呢其实是当时在中国台湾市场上已经非常常见的一种小吃实际上叫粉圆对它是用木薯粉或者番薯粉做成的然后
[00:05:47] 放在糖水里面就是一份甜羹然后不光是粉圆其实现在奶茶里面很多常见的小料像什么芋圆 仙草 西米 红豆都能在南方的糖水里面找到抱这些名字我就想吃了所以其实约老师意思就是说奶茶小料和糖水这个关系还是蛮紧密的是吧对的实际上珍珠奶茶一出现以后大家就发现我们可以用糖水的思路把整个泡沫红茶改造一遍所以这个就很快进入了所谓小料的2.0时代
[00:06:16] 然后这个时候就包括像布丁啊仙草啊玉圆啊椰果这种比较常见的小料呢都进到奶茶里面变成一些常见的搭配其实我要提个最具有代表性的产品就是COCO的奶茶三兄弟COCO出现了一个很著名的品牌
[00:06:31] 最近还有一个新潮品牌叫Cocotion它是一个做椰子饮品的牌子然后它要在上海开一家店他们的主力产品也叫椰子三兄弟它就是椰子水和椰子冻和椰肉的组合可见三兄弟这个名字还是很深入人心的三兄弟我觉得比较有价值的一点就是它通过添加多种小料就是把口感变成一个复合的口感然后增加层次感你每吸一口得到的小料的品种和比例都是不一样的理论上体验都是
[00:06:59] 独特的嘛但是有一个问题啊就是奶茶本身的重要性就没有那么高了因为料比较多嘛经常是这个一杯奶茶带不起来这么多料这个液体部分都喝完了还剩很多小料在底部你还要开始吃这个就把我们带到了小料的3.0阶段就是所谓的顶料出现了
