Vol.74 大众集团罢免CEO的前因与后果
时长：00:29:18
来源：网易云音乐电台节目 · 商业就是这样 · Vol.74 大众集团罢免CEO的前因与后果

[00:00:08] 商业就是这样鼓起勇气开设听友群了欢迎添加节目小助手的微信加入听友群一起讨论有意思的商业现象
[00:00:45] 这里是商业就是这样大家好我是肖文杰我是许彬青这一期呢又是一个跟汽车相关的话题啊请肖老师来跟大家讲一个震动全球汽车业的人事变动没错啊就是在7月22日大众集团突然宣布他的公司CEO迪斯离职了然后现任保时捷汽车的CEO奥伯木呢接任这个职位这个事情的特色之处首先是因为他是大众集团大众嘛很大
[00:01:13] 就是最近十年它的汽车年销量要么是第一要么是第二全球第一是丰田吧对那么这么大一个汽车巨头的CEO更迭本来就是一个挺重要的行业事件但这次最特殊的还是因为这个消息非常的突然迪斯是在2021年刚刚续约了这个大众集团CEO的合同要到2025年才到期结果这个续约刚过一年就突然离职了所以你看主轮的媒体报道这件事情的话
[00:01:39] 标题里面都是用out就是离职甚至直接用sect就是说迪斯被罢免这样的一个形容而根据彭博社的报道迪斯确实就是被罢免的他是在美国出差的时候收到了大众总部监视会的一个消息说要替换他但是他合同里的薪水还是会付给他的然后他有24小时要考虑能不能接受24小时最后通牒了说是让你考虑其实也没有什么别的选项你又不可能24小时找到新工作
[00:02:08] 对所以迪斯只能去接受当然明面上双方还是发表了一个很友好的声明互相感谢了但是如果对大众这几年的这个情况有所了解的话你就会知道这不单单是一个大公司的高层这个职位的更迭权力的斗争背后还是涉及到汽车巨头一个转型的一些生存的问题这个还是比较有意思的地方所以我们今天就想简单的分两个角度来讨论一下这件事情第一个角度是为什么第二个是怎么办
[00:02:34] 为什么的部分呢我们就是来分析一下迪斯出局的一个直接和间接的原因同时也会介绍一下大众集团的一个管理架构和一些背景的信息怎么办的部分呢其实是一些我们自己的判断和评论来聊聊看迪斯走了之后大众集团这么一个汽车巨头会往哪里去
[00:02:52] 不知道听众朋友有没有注意到刚才夏老师有一个用词是大众的监事会决定替换掉迪斯的这个不是我们比较熟悉的董事会或者股东大会什么的这个监事会是个什么机构这个在大众里面是个什么地位的东西这个确实是大众集团还有一些德国企业和我们熟悉的一些公司国内的或者说是一些美国的公司不太一样的一个地方
[00:03:15] 就是决定这个公司战略的一些决策或者是一些重大的人事调整的这个机构呢他的名字叫监事会监事会的成员呢是由各个股东来选派的所以他其实更像是我们平时语境里面理解那个董事会而迪斯呢他的职位虽然名字叫做大众集团管理董事会主席但他其实就是一个CEO的角色理解这个就是德国公司不太一样的他这里讲的监事会实际上就相当于董事会然后这个董事会呢又相当于是管理层来的
