Vol.78 萨莉亚的“抠门致富经”
时长：00:34:49
来源：网易云音乐电台节目 · 商业就是这样 · Vol.78 萨莉亚的“抠门致富经”

[00:00:00] 大家好 我是肖文杰我是徐彬青上期我们讲特许经营的时候岳老师就提到有很多连锁餐饮品牌的故事很有趣有机会再展开展开那我们今天就来展开展开吧聊一家连锁的餐饮品牌我们这个田坑一般都很慢今天怎么这么快光速田坑 猝不及防蛇那这个品牌呢就是萨利亚传说中的性价比之王是的 就是你在搜索引擎里面我打萨利亚就会出现很多江湖名号什么意大利沙县
[00:00:29] 餐饮界的慈善机构之类的这种名字反正就是说两个字便宜吧月老师你有没有吃过萨利亚怎么可能没有吃过呢说实话我人生中第一次吃蜗牛就是在萨利亚我叫那个菜这个决定呢就是让我从此以后都能骄傲地说出蜗牛有什么好吃的这种话我感觉就是大家在学生时代如果去萨利亚的时候都会去点这样一个菜对很有意思一个东西说到这个便宜的话我现在就把萨利亚中国官网的这个网站打开来
[00:00:57] 点到菜单这一栏我们来点点看菜玉老师比如说这个一份培根番茄意面它是14块一个香肠披萨是14块一个金枪鱼色拉是11块再加一个提拉米苏16块我们两个人吃这点绰绰有余了吧吃撑了已经一共是55元我感觉换个餐厅的话点同样的一些菜品55前面加个1都未必够有可能要加个2对吧差不多
[00:01:24] 话说回来今天就是为了研究萨里亚为什么这么便宜所以做这期节目吗对的这个其实就是我们这期节目的一个出发点这个话题的话也是一位叫落汤小鳄的听友启发我们的其实你去网上搜一下的话已经能够看到不少关于萨里亚为什么这么便宜的这样一个问题的解答了不过我们还是想知道为什么这么便宜萨里亚还能赚钱以及他为什么能够开上千家的连锁店都维持这种便宜又赚钱的状态
[00:01:51] 仔细研究一下的话会发觉还是其中蛮多有意思的故事的为此呢我们还查看了一下萨利亚的财报研究了一下公司历史和他所处的这个行业还看了他的创始人写的一本小书名字叫做顾客爱吃才畅销这里是商业就是这样
[00:02:15] 所以萨利亚这个故事要从哪里开始讲呢要说萨利亚的便宜的话还是要从他创始人的故事开始讲起因为听完了之后你就会觉得便宜真的是刻在他这个企业的基因里面的萨利亚的创始人也就是现在他的老板叫郑元泰燕郑是郑职的郑元就是新元解义的元泰是泰山的泰然后是李夜红的燕这个郑元泰燕呢他是1946年生人到了1964年的时候他就考入了东京理科大学的物理系
[00:02:44] 读书的时候就一直在餐厅里面打工据说是餐厅里面表现不错有一位主厨还赞扬他有开餐馆的能力他就被启发了或者说激励了吧就真的去开了一个餐厅不过第一个餐厅他的位置选的不太好是在千叶县的四川市关键他不在这个市的一个商业间的中心而是在这个商业间的外面的一家蔬菜水果店的楼上
[00:03:08] 这个感觉一听不像是一个有餐厅的地方是的就那个时候他开的是一家羊食店就是做西餐的嘛然后因为这个位置不好所以他就想要么把营业的时间拉长一点吧他就开到凌晨四点结果这个决策呢没给他带来客人却带来了一些祸患因为半夜里面来的都不是那种好好吃饭的顾客都是一些当时的流氓混混啊什么的这个那个时候社会之外不太好啊有一天混混打架就把他们这个餐厅里面的煤油炉给打翻了
[00:03:36] 整个店都烧起来了这个时候呢离他创业才七个月然后他店就烧没了这个故事告诉我们不是所有老板都能开深夜食堂的对你看深夜食堂那个演员他那个半箱上面有一行刀疤的都是要经历一些事情才能开深夜食堂的所以呢郑元探验作为一个当时还是个大学生他经受这个挫折就不太想干了但是他的母亲呢强行地劝住了他再来一次而且他的劝法是那个遭了火灾的地方对你来说就是最适合的地方请再去试一次吧
[00:04:05] 这个到底是什么逻辑啊就是啊但是反正我估计正元应该是自己真的很喜欢开餐厅啊他就再去试了一次结果呢还是没有客人来他就开始想既然地段不好的话那就要靠物美价廉来吸引人所以他就开始降价先是把这个菜品打五折结果还是没人来然后打了三折把一份一面的价格打到了比拉面还低的200日元相当于现在的三美元左右
[00:04:29] 这个三折好像是个开关一下子就把客人吸引过来了然后这个店就开始天天的排队爆满一个38个座位的餐厅每天的客人有600多人相当于一个座位的翻台是20次确实很夸张香港那种很厉害茶餐厅就是你上一桌人吃的时候后一桌人已经站在你身后那种茶餐厅这种茶餐厅的翻台率可能就是10次这都已经算很高了没错其实就是说明这家店完全是供不应求
[00:04:56] 所以1973年这第一家塞里亚开门之后到了1977年它就开始开分店了到了1992年的时候它已经有50家门店了每家都保持了很便宜的这个特色而且都是顾客非常多这个就是我前面所谓的就是刻在基因里面的这个低价这个点不过要值得一提的就是在第二次开店的时候正元探验还做了一个改变就是把餐厅的定位给改了他从原来各种西餐都做而转向了专注于意大利菜市
[00:05:23] 因为他当时发现好像在年轻人当中意大利菜开始流行起来了而且呢这个价格从比较高的那种一餐开始转向大众了所以呢他就希望来打这个点其实这也是萨利亚初期成功的一个时代背景啊就是从1970年代开始日本就兴起了这种所谓叫家庭餐厅的这种餐饮的形式英文名字叫family restaurant日文简称就叫familes它专门就是用来满足这种一家三口日常外出就餐的这种需求
[00:05:52] 这个Familes呢就是官方还有个专门的定义的就是来自日本的农林水产省它的说法是人均消费在700到1500日元上菜速度在3分钟到10分钟左右的这个餐厅大多数都是为连锁品牌的我们就称它为Familes这个定义还挺精准的尤其这个上菜速度这个家里烧菜哪有这么快的对就所以大家都喜欢到外面去吃嘛然后你就可以在家庭餐厅里面看到很多
[00:06:19] 大人带着小朋友对吧小朋友在那边吃个减餐然后做做作业啊什么的其实是一种非常常见的场景不过相比其他餐厅萨里亚价格还会更低你像我们前面讲的它一份意面才200日元吧比它那个人均消费700日元那个还要低很多很多所以我当时就看到有些报道就是说消费者都怀疑你这么便宜会不会亏钱啊但我看到郑元太爷他的回忆录里面是这么写的我开手电的时候利润就多得不得了马上就能够开新店了
[00:06:46] 太凡尔赛了所以它这个利润到底从哪来的呢我们看这个首店的话首先一点就是你别看萨利亚它这么便宜还是有一定的稳定的毛利率的这个毛利率呢还是有60%以上也就是说它卖出了100块的这个营业额40块是原料的价格剩下60块就是它的毛利但这个数字呢相比较别的餐厅可能是低一些的如果你去看日本比较流行的一些居酒屋啊或者你在中国这边看一些餐厅的话有很多餐厅有可能毛利率可以做到70%甚至是更高的
[00:07:14] 那萨利亚在这个当中呢确实是减少了一些利润的空间的但是他别的支出特别的少这个才是他保持廉价的一个根本那别的支出都有啥呢一个餐厅的话其实除了原材料以外最主要的投入就是装修房租人工还有水电杂费别忘了萨利亚他第一家门店是开在一个特别偏僻的一个位置根本不适合开饭店的地方对而且还烧过一次火对吧所以那个房租非常非常的低
[00:07:41] 而且它的装修也非常简单所以这两个大头就比较低另外呢就是它的人工也非常的省就这个老板正元探验每天拼了命的干活不拿工资而且吃饭就在店里面吃一些剩菜剩饭凑合凑合这些因素加在一起呢就使得他手电能够在一个低价的情况下还维持利润但是手电和连锁电开出来后面那些电肯定就不是一回事了就是后面这些电这类成本还能省下来所有员工都吃剩菜剩饭吗
[00:08:07] 这个好问题啊你要知道虽然我们开头Q了特许经营那期节目吧但是萨利亚它不是特许经营它所有的门店都是直营包括它在中国海外开的一些门店所以不存在让特许经营商去付房租之类的这种轻资产的模式那么它要挣钱的话如果开连锁要挣钱的话它就要保证每一家门店都能像手电一样价廉物美还能够挣钱这个才是最难的地方
[00:08:31] 要么讲到这些店的话肖老师还是按照前面你讲的几项餐厅店常见之处再check来讲一讲吧好的呀那要么我们首先先来讲一下原材料既然毛利率要维持在60%甚至更高的话那么要保证这个菜品卖出去价格要低价你首先要做到就是原材料要减量便宜对吧这个主要靠的呢就是大规模的采购但是大规模的采购其实也不是那么简单的要讲究方式方法那郑元太爷呢就介绍过萨利亚的一个方法
[00:09:00] 其实很简单啊就是你拿出一张A4纸中间呢画一条竖线然后左边一半先把你这个餐厅里面最主要的菜品列出来右边一列呢再把这些菜的原材料再列出来然后你把右边那一列合并同类项之后你就能发现那些最主要的同类项它们呢就是你这家餐厅里面最需要关注的原材料像萨利亚它这个义式餐厅它一共有140多个菜品它现在还有140多个SQ啊
[00:09:26] 但是主要的食材其实就那么几样一只手都能数得过来面粉 稻米 牛肉 乳制品 蔬菜
[00:09:34] 这已经五样了再加一个橄榄油这个算是一菜里面比较多的大家知道了萧老师是六指对但是仔细想想就是这个思路确实挺好的就是看起来完全不同的菜其实是才靠这几样就能凑合出来了对你就你是看那些在萨里亚餐厅里面完全不同的什么意面或者说是披萨它有可能原料用都是一种本质都是一个东西对
[00:09:57] 所以萨利亚的做法是什么呢他就是建立这些最核心的食物原材料的源头的职工基地长期的大规模的采购它们
[00:10:06] 其中最快智人口的一个故事就是在1990年的时候郑元探验就跑到日本福岛县的白河市跟当地的农民和农协要求签订一个长期的大规模的专供协议日本农协大家可能知道是一个很有影响力的组织对就是他不光管理像农机的采购种子销售这些还管农民日常的生活甚至农民的保险然后对于当地的选举也非常非常有影响力没错
[00:10:33] 所以你要大规模的采购的话就必须要和农协打交道他们是代表农民的嘛那么萨利亚呢就跟这个白河市当地的这个农协要了一个非常大的种植面积和一个很大的一个采购的订单然后跟他对方说我们的目标是要开1000家连锁店请和我们一起努力吧那么那个时候萨利亚到底有多少家门店呢18家这个秉化的这个
[00:10:57] 非常的大对这个画面也太大了一百倍那最后辅导厅那边答应了吗其实一开始没有答应因为实在是有点就是过于夸张了对吧但是过了几年之后萨利亚的门店开了越来越多然后再去和当地的农民谈了之后他们就答应了这样一个长期供应的协议因为实际的经济利益也不小嘛你像种蔬菜的话其实还是会看天吃饭一些的然后萨利亚呢能够大量的采购并且能够固定价格
[00:11:25] 其实等于农民就可以未来五年有一个非常稳定的比较高的收入而对于萨利亚来说他也锁定了自己像沙拉等重要菜品的一个原材料的成本根据同样的思路萨利亚就在澳洲建立起了一个基地专门供应牛肉和牛乳他还在意大利找了一个供应商专门去采购他的橄榄油反正是集中采购的话其实是很能高效的降低成本的一个方法你建几个基地就把最主要的这些原材料都给把握住了没错
[00:11:52] 其实集中采购除了便宜以外还有一个非常重要的作用就是稳定的品质和稳定的日常供应这个对于大规模的连锁是非常重要的对于萨利亚来说呢这也是它后续食品加工链条的一个基础那这个就要涉及到萨利亚建议模式的第二个关键词就是中央厨房了
