Vol.79 纳斯达克简史
时长：00:32:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.79 纳斯达克简史

[00:00:00] 大家好,我是肖文杰我是徐明清前阵子我离开上海去吉林省的延吉市玩了几天延吉是一个可爱的小城市它是延边朝鲜族自治州的首府所以最大的料点主要是吃得很好其他旅游资源不算很多但是就是在上一顿和下一顿中间总要找一点事情来消磨时间所以我就干了一个很游客的行为叫逛菜市场
[00:00:25] 于老师啊这个逛菜市场已经是很现代的这个年轻游客的玩法了不过既然延吉很好吃的话应该菜市场也蛮有意思的准确来说我在延吉逛的是两个市场一个是传统的早市就是摆摊卖各种农副食品的然后也有很多现场制作早点和特产就是很热闹这个地方呢已经变成一个标准的小红书网红景点了延吉小红书网红景点对的另一个就是延吉的西市场
[00:00:52] 这个西市场非常厉害它是一个七层楼高的建筑物每一层楼卖一类商品比如说这一层楼就是卖衣服的这一层楼就是卖药材的之类的然后每个品类呢又可以做内部非常细的划分比如说一个卖辣椒面的档口它一个档口会卖大概20种不同的辣椒面然后所有的辣椒面档口都集中在一个很小的片区里面反正很有意思反正大家能听得出来叶老师兴致盎然
[00:01:18] 感觉你逛的是一个实体的亚马逊商城就是没有什么猜你喜欢或者直播带货之类的花头就是一个很朴实但是很强大的市场确实啊现在我们在提到市场这个词的时候很多时候会把它看作是一种抽象的或者说让供需得以更好匹配的一个交易机制实际上市场有很多具象化的形态比如说实体的菜市场和亚马逊它魅力就很不一样
[00:01:46] 但也有很多基于具体市场的机制创新比如淘宝刚开始的时候就是不收开店费和佣金的它是靠各种花式的广告费来获得收入的这个在当时就是一个创新感觉我们终于要切入主题了所以我们今天是聊什么市场呢不是沿街菜市场啊前面我们聊的这些例子呢其实都是所谓实体商品的市场而对于股票期货或者衍生品这类非实体的金融产品而言市场就更重要了因为市场可以保证所谓规则合理
[00:02:15] 效率的提升以及如果它是一个富有特色的市场那它就很好其中比较优秀的市场呢甚至可以把自身就做成一个比较赚钱的生意甚至是一个品牌这个方面最典型的案例之一就是纳斯达克所以本期节目呢我们就尝试进入我们以前不太涉足的一个领域叫金融领域啊想从三个方面跟大家聊一聊纳斯达克这个市场以及这家公司本身从这个严急的菜市场我们绕着绕着终于飞到了纳斯达克所以是哪三个部分呢
[00:02:44] 首先是纳斯达克的起步和制度纳斯达克从1971年一出生就跟他的老对手纽交所很不一样这些差异也是他在1990年代得以高速发展的一些重要原因其次就是纳斯达克最受关注的业务之一也就是那些重要公司的IPO纳斯达克是如何争取到这些客户以及梳理自己的品牌形象的最后我们会看一下纳斯达克这家公司本身看一下它的规模是如何不断发展的以及它目前到底靠什么赚钱
[00:03:13] 本期节目还是会涉及到一些专业的术语如果解释有错漏或者是偏差的话也非常欢迎听众朋友们留言反馈那么我们就开始吧这里是商业就是这样
[00:03:35] 前面于老师说到纳斯达克是1971年成立的也就是刚过50岁嘛如果比国内的像上交所升交所的话它可能算是年长一些但是跟别的一些老牌的证券交易所相比就要年轻许多了吧对啊你看像纽交所其实可以追溯到1792年它竟然也不是最老的历史最悠久的是荷兰的阿姆斯特丹交易所这个都已经400多年了
[00:03:59] 这么厉害但是纳斯达克一起步呢他就有一个所有前辈都没有的东西因为他是世界上第一个电子交易市场OK纳斯达克刚开张的时候有一张就是挺有名的照片拍的是他们的数据中心那其实就是一个放了各种电脑的房间然后这个照片里面有一个穿着西装的小哥在操作不过我觉得他好像看起来对这个电脑也不是很熟悉的样子
[00:04:23] 1971年其实蛮厉害了就在那个时代其实计算机也刚刚才进入所谓集成电路的时代没多久嘛然后美国人就拿它开始来炒股了嘛这个说法略有一点点问题我们慢慢展开了纳斯达克它这个英文NASDAQ是一个缩写
