Vol.81 费德勒的商业成功，并非理所当然
时长：00:34:23
来源：网易云音乐电台节目 · 商业就是这样 · Vol.81 费德勒的商业成功，并非理所当然

[00:00:00] 大家好,我是肖文杰我是徐明欣2022年9月15日41岁的网球选手罗杰·费德勒宣布自己即将退役9月23日开打的拉沃尔杯将是费德勒以球员身份参加的最后一战职业网球赛事当时我们正在准备下一期的节目然后看到手机弹窗马上就转发到群里边我们当即就决定要做这一期节目专门来聊一聊费德勒
[00:00:24] 我和肖老师还有我们的另一位主播陈瑞我们三个人都是费德勒的球迷是的就和很多人一样我自己开始看网球的一个契机就是费德勒我记得是在2002年上海首次承办了ATP的大师杯ATP也就是男子职业网球群会赛的一个缩写而大师杯是那时候ATP年中排名前八位的顶尖选手的一次对决
[00:00:47] 在那次赛事的半决赛里边费德勒是以1比2输给了当时的世界第一休伊特澳洲野兔休伊特不过他当世界第一的时间不是很长澳洲野兔非常古早的一个绰号那个时候费德勒的绰号还是瑞士快车虽然那场比赛费德勒输了但是我自己不知道怎么就被他的表现吸引了之后就一直追着看他的比赛
[00:01:09] 从第二年开始费德勒就逐渐成为了男子网坛的第一人并且一步步成为整个网球历史上最伟大的运动员之一如果要以球迷的身份聊这些节目呢我们可以聊很多期啊对至少两次但咱们毕竟还是一个商业节目所以我们纪念费德勒整个网球职业生涯的方式呢还是想来聊聊他的商业价值是的就仅论竞技成就而言的话费德勒是不是历史第一人其实并不好说
[00:01:37] 毕竟像纳达尔和德约·库维奇还有很多女子的选手都足够的伟大但有一点是毋庸置疑的就是费德勒绝对是网球历史上收入最高商业价值最高的一位运动员一个标志性的事件就是在2020年费德勒成为福布斯运动员收入排行榜上首位排名第一的网球运动员大家一般会说费德勒能赚这么多钱是因为他比赛好看成绩好人有魅力人长得好看什么都不算啊
[00:02:05] 这些总结呢当然没有错但是有这样特质的运动明星也不少但是很少有人能够达到费德勒那样的商业成就所以我们想要拆解一下在这些比较虚的词汇背后费德勒和他的团队到底做了哪些努力在这期节目里边我们会选取费德勒职业生涯后期的三个重要的商业决策以此为切入点来探究费德勒的商业世界那节目最后呢我们还会讨论另一个话题就是费德勒的商业成功对于网球运动本身意味着什么
[00:02:42] 这里是商业就是这样那我们就进入第一个决策就是费德勒的球衣赞助商从耐克变为了优衣库2018年费德勒在和耐克合作了长达24年之后他没有选择和耐克续约而是与优衣库签订了一份10年3亿美元的一个代言合同这个新闻在当时是震惊整个网球业界的
[00:03:07] 那合作的双方费德勒当时已经37岁了而优衣库虽然这个品牌本身很有名但在网球领域实在是算不上一个最主流的去赞助运动员的一个品牌当时我的第一反应就是优衣库那个logo不是一个正方形的红色的吗你贴到白色球衣上是不是不太好看不过最后我看那条球衣还是蛮好看的还是有费德勒那个味道那要理解费德勒这一个决策呢我们首先要来看一看费德勒整个的品牌代言的版图
[00:03:35] 一共是大概10亿美元左右。
[00:04:00] 虽然我们没有具体的数据说这个里边代言占多少但肯定是一个大头了毕竟优衣库一年就砸了3000万美元在他身上呢对啊那我们就看看现在费德勒是为哪些品牌代言啊目前费德勒官网上面列出了14个品牌我把它完整的报一遍分别是劳力士梅塞德斯奔驰瑞士信代然后一个咖啡机的品牌叫Jura然后明月香槟还有一个以一面文明的品牌巴利拉
[00:04:26] 还有瑞士联球拍品牌Wilson优衣库然后一个私人航空的公司叫NetJets然后一个瑞士的电信公司叫Sunrise还有香包品牌Rimova球鞋品牌昂跑还有瑞士旅游局就是总共这14个那报完这些菜名呢我给大家简单的总结一下就这些代言有这么几个特点
[00:04:47] 第一个呢就是他们都比较高端大多数品牌都是属于所在门类里边定位比较高或者就是品牌影响力很大的那种虽然是高端但是也不是最贵最贵的那种对这个有点区别比如像奔驰已经是车里面比较高端了但也不是法拉利兰博基金那种特别贵的超跑对吧
[00:05:06] 第二个特点呢就是瑞士系的品牌比较多当然这也很好理解费德勒自己在这个祖国瑞士生育是非常高的他是唯一一个活着就被印上瑞士货币的男人而且费德勒也很支持他自己家乡像在家乡巴塞尔举办的这个网球公开赛虽然他等级并不是很高但是费德勒还是能参加都参加的那第三个特点呢就是合作时间长这个特点是尤其重要的
