Vol.85 2022“金字招牌”特辑：哪些品牌统治力突变？
时长：00:40:45
来源：网易云音乐电台节目 · 商业就是这样 · Vol.85 2022“金字招牌”特辑：哪些品牌统治力突变？

[00:00:00] 大家好,我是肖文杰我是徐彬青这期节目看标题就知道了又到了我们一年一度的金字招牌的特别节目熟悉我们节目的朋友知道我们在去年10月份的时候花了平常节目两倍的时间来解读了一下第一财经杂志的金字招牌大调查如果还不知道金字招牌是什么的朋友们可以先去听一下我们第34期的节目
[00:00:24] 简而言之的话这是一个调查我们的消费者对于不同品类的消费品牌喜好度的榜单他只关注喜好度然后与品牌的规模价格等等都没有关系所以这是一份很客观的主观调研客观的话是他纯靠真实的问卷出结果也不能花钱买排名主观是因为他就是纯看消费者自己的想法对吧是一个想法的趋势
[00:00:48] 顺便也做个广告我们这期节目是10月27日上线的那在10月28和29日第一财经主办的年度线线活动未来商业秀也会开始金字招牌是其中非常重要的一部分有兴趣的朋友可以来现场参加或者是在现场看直播都可以广告就到此为止我们节目就进入正题去年我们从一共58个消费品类里边选了4个我们感兴趣的来深度分析了一下今年总共有59个品类
[00:01:17] 我们从其中还是选了四个来聊一聊它们分别是大众类的汽车碳酸饮料运动服饰和香薰香氛那我们话不多说开始吧这里是商业就是这样
[00:01:40] 第一个品类就是大众类的汽车我们十几年的金字招牌评选其实汽车这个东西的门类有过蛮多次变化最早就是分豪华汽车和大众类汽车也就是所谓的非豪华汽车之后因为多了新能源所以我们增加了新能源这个品类新能源里边还分了豪华和非豪华现在我们又回到了最初的一个分类就是只分两大类
[00:02:02] 豪华的和大众类的因为几乎所有的品牌都在做新能源了这已经是主流了不需要专门分出来当一个新生事物来看待了又回到最初的起点其实这个演变过程本身也很体现汽车业这两年的跌宕起伏了是的那这个大众类的汽车榜单里面呢其实它靠前的排名一直是比较稳定的排名前五位的一直是大家熟悉的那些老牌的合资企业比如像大众啊分田啊本田啊通用下面的别克啊等等的
[00:02:31] 但是今年我们发现了一个最大的变化就是首次有一个中国的品牌排到了第一名就是比亚迪也是一个毫无悬念的结果嘛是的是的我就记得那时候我们负责整个金字招牌项目的同事许诗宇来问我说结果出来了你猜猜看汽车里面谁排第一我第一反应就是比亚迪因为2022年尤其是下半年比亚迪的市场表现确实是太火爆了就跟他自己相比的话他的销量比去年翻了一倍都不止
