Vol.86 四组数字，重新理解蜜雪冰城
时长：00:30:28
来源：网易云音乐电台节目 · 商业就是这样 · Vol.86 四组数字，重新理解蜜雪冰城

[00:00:00] 大家好,我是肖文杰我是许明清本期节目可以算作是第77期节目的一个续篇那期节目叫贩卖商业模式的商业模式有一点套啊我们在这里面讨论了一个非常有效的经营策略叫特许经营,也就是俗称的加盟那这次我们就来具体讲一个大家已经非常熟悉的成功案例就是蜜雪冰城太熟悉了,就听到这四个字脑内已经开始放歌了
[00:00:29] 那对于蜜雪冰城大家可能比较熟悉的就是几个点首先是便宜你在这个店里面三五块钱就能买到一杯现做的饮料其次是很魔性尤其是之前那波营销太嬉闹了最后是店多目前全国已经有超过两万一千家蜜雪冰城的门店了所以不要看它土土的这有可能会是中国规模最大与最成功的一个加盟品牌
[00:00:54] 这次聊蜜雪冰城也有一个现成的理由就是今年9月下旬的时候他是正式提交了IPO的招股书而且希望在深交所的主板上市目前的这个IPO还没有披露新的进展就他具体什么时候上市还没有说不过我们至少可以知道截至今年3月底的蜜雪冰城到底是一个怎样的公司它的一些细节以及他在未来一两年想干些什么这份招股书的信息量还是很大的
[00:01:19] 而且比较关键的是他把我们前面说的加盟制这个商业模式的核心壁垒给讲得特别清楚所以本期节目呢我们还是以招股书披露的信息为基础从四个方面来介绍蜜雪冰城是如何构筑自己成功的首先我们还是从门店规模入手看一下蜜雪冰城把加盟制发挥出了怎么样的威力我们还会稍微介绍一下两家同类的企业作为对比
[00:01:47] 尤其是他们偏前端的供应链业务两岸之后你会发现其实奶茶店、鸭脖店和披萨店都有很多相通的地方其次是我们会仔细讨论一下蜜雪冰城在生产供应端的情况这实际上也是蜜雪冰城之前不太为人所知的另一面而且它在这部分的野心可能大到你难以想象之后我们会从蜜雪冰城上市之后准备上马的一系列建设项目
[00:02:12] 看一下这家公司到底想强化哪些生产环节上的短板以及这些项目本身到底挣不挣钱最后我们会简单讨论一下资金端的情况按照冰雪冰城的规模和商业模式来看它不应该缺钱更不是非要上市融资那么这次大张旗鼓的亮出家底一口气就要搞接近65亿元进来到底是为什么非常丰富的内容啊那赵丽再啰嗦了一句
[00:02:38] 本期节目当中涉及到的上市公司和准上市公司的一些分析都不代表任何的投资建议那我们赶紧开始吧这里是商业就是这样
[00:02:58] 第一个部分就是门店全国2万多家的门店数真的是非常惊人的一个数字怎么说全中国的全家罗森7-11再加上芙蓉新盛这个本地很大的便利店这四个便利店品牌加在一起的店都没它多除了2万1000多家这个很惊人的大数之外我想另外再说几个数继续强化一下大家对于蜜雪冰城在规模上的认识首先是增长的速度
[00:03:25] 蜜雪冰城在2021年这一整年里面就开出了7000多家店而这个公司在2019年底的时候一共也就7000多家店不知道历史上还有没有一个连锁品牌达到过这样的开店速度一年7000多家有可能是有的但是我暂时想不起来那就说第二个点就是品牌我们这里说的21000多家店其实只是蜜雪冰城这一个品牌的
