Vol.92 红牛的体育之路，从营销到专业玩家
时长：00:32:28
来源：网易云音乐电台节目 · 商业就是这样 · Vol.92 红牛的体育之路，从营销到专业玩家

[00:00:00] 大家好,我是肖文杰我是徐彬青今天我们来讲一讲红牛也就是那个以疯狂赞助各种体育赛事文明的功能性饮料品牌做这个节目的由头其实是早先的一个新闻就是红牛的创始人也是奥地利的首富伊特里辛·马特西茨在2022年10月22日去世了这个消息在体育界引起的反响还是比较大的反倒是在商业媒体里面大家关注的不是那么多
[00:00:28] 这里面的原因我觉得一方面是因为马特希茨本人非常的低调他自己还有身边的亲友同事几乎是不会透露任何关于他私人生活的信息的就和Richard Brunson或者是马斯克这种表演型人格的企业家完全不一样另外一方面红牛毕竟是一家非上市的公司他每年虽然会公布一些简单的营业数据但具体的公司的经营情况其实不是很透明的
[00:00:54] 另外大家也知道红牛这个词在中国的语境里其实特别复杂以这个名字在卖饮料的有三个公司分别是中国红牛泰国红牛和奥地利红牛前两个公司之间还有非常多的纠葛马特希茨领导的主要是奥地利红牛他的产品其实国内卖的比较少所以其实内地日常对于奥地利红牛的了解也不是特别多没错那这次马特希茨去世之后呢我们也看到很多关于奥地利红牛的报道
[00:01:24] 这里是商业就是这样
[00:02:04] 虽然已经是所谓的商业佳话了但是肖老师还是跟大家介绍一下红牛的发家经历吧好呀红牛呢其实最早是一个泰国本地的饮料是当地一位叫许书彪的华裔商人在1970年代开发的当时的时代背景是泰国要举办亚运会嘛有很多的基建设施所以他就给工人们研发了一个提神的饮料很快就流行起来了这个就是一个红牛那到了1982年呢马特希茨就出现了
[00:02:32] 他当时是出差到泰国很多报道说当时他的身份是一名牙膏的推销员其实这只是他入职那家快销公司刚开始的职位在他去泰国的时候已经是一位营销总监了也是个管理层了有次他下飞机之后就喝了一瓶红牛那个红牛还是装在玻璃罐里边的他当时觉得非常的提神一下子觉得这个饮料特别的好同时也给他带了一个饮感就是说这个饮料卖到欧洲的话一定是个很好的生意
[00:03:01] 后来过了一两年之后他就找到了许书彪说想要合伙的开公司谈妥了之后两个人最后是各出资了50万美元马特希茨呢占49%的股份许书彪也是49%然后许的儿子呢再占2%就成立了这样一个红牛公司这其实呢就是我们所说的奥地利红牛那奥地利红牛和泰国红牛都聊过那么所谓的中国红牛是什么情况呢其实这是中国内地市场的一个特殊情况
