Vol.95 IMAX如何把自己变成一门生意？
时长：00:30:18
来源：网易云音乐电台节目 · 商业就是这样 · Vol.95 IMAX如何把自己变成一门生意？

[00:00:00] 大家好,我是许明欣虽然上周才复更啊不过这也是我们兔年春节之前的最后一期节目了之后我们会放假两周到2月2号重新开始更新届时我觉得肖老师应该没有什么理由不回归了在这里先加上他给大家一起拜个早年哎,怎么不加上我对啊,这是我们春节之前的最后一期节目应该也是我这一轮代班的最后一次作为我们这个播客的
[00:00:29] 第一替补也给大家拜一个早年最后一期呢我们就想和大家聊一个相对轻松的话题我们聊电影其实说起来轻松但实际上疫情这三年我们大家都知道对电影行业的冲击是相当大的那么这种冲击有一部分是大家可以体感到的电影院都很难营业能够上映的电影也非常少
[00:00:53] 另外一方面可能是大家感受不到的那就是在行业内部很多从业者会感受到的那种非常非常深的包括对于电影的创作
[00:01:22] 其次是上座率全年全国的平均上座率只有5.8%有一个数字是涨的是票价达到了平均42块1毛一张这个也是历史最高水平了今年我不知道许冰清怎么样我今年是不是今年应该是2022年我就全年没有去到过电影院看电影我也没有
[00:01:43] 我前面想看一下这个猫眼和淘票票就是想看一下自己最后买的一张电影票是什么时候发现这两个APP我都因为很久很久没有登录还需要重新再登录一次所以我索性看也没有看反正我最后一次看电影应该是2021年吧感觉是一个很久远的事情了而且之前几年的时候因为中国电影市场势头还不错所以说大家对于整个行业的期待值是蛮高的觉得它可以发展到一个很好的水平
[00:02:13] 但是现在来看呢跟我们几年前预测的局面还是很不一样的但是另一方面啊电影院还是一直很努力地在提升自己的吸引力尤其是在放映环节的一些技术像是屏幕的大小啊分辨率啊高帧数啊音响等等有很多叫得出名字的技术品牌都被引入到电影院里面
[00:02:33] 越是重要的大片影迷可能就越重视这种配置也愿意为好的体验花更多钱这个里面最有代表性也最有名的一个品牌就是IMAX
[00:02:43] 最近不是阿凡达2上映了吗这个其实激起了很多人的回忆啊因为2009年阿凡达1热映的时候呢就把MX这个名词带到了中国的电影院里面现在很多人已经养成习惯凡是那种以致觉效果为亮点的作品呢就会觉得说一定要去MX听看因为这个屏幕够大而且够震撼其实这个MX它不单单是个技术同时还是一家上市公司
[00:03:10] 目前MX这家公司它的全球业务是在美国上市的然后它的中国业务是在香港上市的今天这个节目我们就来聊聊MX这家公司首先先简单聊聊它的发家史以及2015年为什么会把中国的业务拆分上市这个动作其次是从这两年的运营数据看它的抗风险能力怎么样最后是行业竞争因为目前有各种各样的特殊听服务上就是我们前面提到的各种
[00:03:38] 在这些服务商之中MX是否还保有优势也是一个问题听完之后你可能会发现这是一个特别典型的将技术商业化之后很快就会遇上业绩压力和同行竞争的故事好的那就开始吧这里是商业就是这样
[00:04:07] 这次做节目之前查资料我有一个意外的新的认知就是MX这家公司的历史其实挺悠久的这家公司诞生于1967年很早啊当年是加拿大的蒙特利尔世博会需要做一些比较震撼的电影内容然后呢有三个年轻人他们是从同一所高中毕业的然后就接了这个活这三个人呢做了两部电影一部是实验电影
[00:04:33] 另外一部是全景电影这个全景电影上面用到了11块荧幕到了1970年的日本大阪世博会呢这三个人呢继续做电影而且还跟一位电影工程师合资成立了一个公司叫Multiscreen他们接了来自日本富士银行的一个单子然后用他们自主研发的摄影机制作了一部叫《虎之子》的电影
[00:04:55] 说是电影啊其实这个电影很短是一部17分钟的纪录片不是什么剧情片但它有一个特点就是它是电影史上第一部剧目电影放映它这个荧幕啊就是有多巨呢有八层楼那么高其实放映这种效果比较震撼的短片好像是每一届世博会的保留的节目我记得2010年在上海办世博会这一次
[00:05:21] 沙特馆它门口大家往往要排几个钟头也都是为了要去看一块里面有一块全球最大的异形的MX的萤幕当时是放一个长达十分钟左右的一个风光的介绍片而已长达十分钟的风光介绍片对的那这家实现了所谓巨大突破的Multiscreen公司就是MX的前身了1970年Multiscreen正式改名叫MX
[00:05:48] 这个IMAX是Image Maximum的缩写后来也成为了一个专有的剧目电影的解决方案的名词本质上IMAX其实是一个系统它包括了所谓摄影机数字原底翻拍技术以及IMAX的剧目放映系统
[00:06:04] 它的荧幕不仅比传统的电影要大得多而且分辨率清晰度包括亮度也要高得多当时行业里面评论说自从有声电影出现以来电影制作技术从未发生过如此剧烈的变革我觉得这好像有点过誉了但是当时MX这个技术其实是有很多限制的比如说你要实现这个技术你就要用特制的摄影机包括荧幕也要盖而且成本也很高也没有办法做很长时间的电影
[00:06:33] 所以说在这个公司成立的前20年里面最常能看到MX电影的地方其实是博物馆科技馆和展览会上电影的内容呢也大多是那种自然和科学向的纪录片
[00:06:46] 公司早年最出圈的一次宣传呢其实是请美国宇航员在太空里使用IMAX的摄影机拍摄了一些素材就做成了一个经典的科教片叫《执着的梦想》这个片子播出之后呢更多的纪录片需求就找上门来了那也就是说在这个公司前20年里面它的名声基本上都是在一个小圈子里面流传的它虽然技术很先进但是它商业化水平并不高
[00:07:12] 所以他也就没有能够打开传统的商业片和常规电影院那个市场没错直到1994年一个美国商人叫理查德格尔方他牵头收购了IMAX这家公司把他从一家加拿大公司变成美国公司理查德之前创过业还做过律师和投行业务这个人呢对于电影行业原来了解并不多但是不排除他是一个不错的职业经理人
[00:07:37] 因为他买下公司几个月之后就先把MX推上市募集了一些资金也出了点小名气之后又开始调整商业模式让更多的电影院来改造自己的荧幕也让好莱坞的电影公司意识到剧目的价值最终他还希望把MX变成一个全球性的商业品牌
[00:07:57] 这个商业模式改造里面有两个坎一边是制作端导演要愿意用IMAX这样的新技术来拍一部电影另外一方面是影院端你要愿意花钱改造这个放映厅但是导演肯定是希望说电影院有条件播放了我再拍电影院也肯定希望你先有一些IMAX影片了那我再去改造
[00:08:18] 那所以这里就基本上是等于一个先有鸡还是先有蛋的问题而且看起来鸡和蛋都不愿意来先冒这个险那么要解开这个结最终还是靠IMAX自己想办法这样公司先是在2001年开发了一套计算机算法能够把一些现有的2D电影直接转换为IMAX格式那这就不需要电影公司或者导演从头投入了
[00:08:47] 到2006年IMAX公司又开始向传统电影院推广一些免费的IMAX设备和安装服务这个免费有一些代价就是你的票房收入要被分走20%这也避免了电影院在前期改造里面就花了太多钱那么这就等于是从两头来降低了电影院引入IMAX这个技术的门槛这基本上就是能够让导演和电影院都能够接受这个新东西了嗯 没错
[00:09:16] 那么接下来这个产品有可能会爆发它的爆发就只需要等一个贵人了这个贵人就是阿凡达导演詹姆斯·卡梅隆大家都知道卡梅隆是新技术的坚定支持者通过泰坦尼克号卡梅隆就验证了划时代的电影技术对于票房是有很高的吸引力的他在2009年上映的阿凡达再次证明了这一点
[00:09:39] 虽然这个阿凡达剧情非常简单甚至有点老套但是3D加IMAX这个视觉效果横扫一切当年阿凡达的首轮票房是超过了27亿美元也超过了泰坦尼克号成为了当时的电影史上的票房第一
[00:09:54] 2010年的时候我们再来回忆一下当时全中国一共只有14块MX的萤幕在这个之外3D的萤幕差不多有将近800块根据当时的媒体报道这14块MX的萤幕创造了一个惊人的票房达到了1.68亿元人民币就相当于是它已经有整个萤幕数0.23%这样一个比例最后创下的票房高达12%
[00:10:24] 那在阿凡达之后几年呢又陆续出现像盗梦空间啊星际穿越火星救援这些好几部追求视觉体验的大片那你如果在这个时候配备了IMAX萤幕呢就能有效提升影院的上座率这个时候IMAX这种所谓的技术体验已经变成一种明确的市场需求它商业模式就能走通了接下来IMAX就开始快速扩张
[00:10:46] 在北美市场之外IMAX公司就盯上了当时已经成为全球第二大票房市场中国就是那个原来只有14块萤幕的中国从2011年开始IMAX就和万达院线这样的大型品牌做合作靠着万达来扩充自己在中国的萤幕数还有收入之后IMAX还遇到过一个政策利好就是2012年中美在电影进口配额上做了一些调整
[00:11:12] 2012年国内进口大片的总量是有所扩充的而且增量片几乎都是MX和3D格式
[00:11:19] 根据一元咨询到时的报告2014年国内一块普通的电影萤幕平均产出的票房是20万美元左右而IMAX萤幕的产出则是120万美元就相当于是6倍这确实是非常吸睛的到了2015年我们又看到IMAX在中国的收入已经超过了1.1亿美元萤幕数也超过了300块
[00:11:44] 也就是在这一年MX它就把中国的业务拆分了让它在香港上市那一次IPO的融资规模达到了2.48亿美元不是很多但也不算少在这个拆封再上市的过程中MX中国出售了20%的股份给两家私募基金一家叫环融化另一家叫方圆资本
[00:12:05] 华人文化的董事长李瑞刚就在接受媒体采访时候提到从IPO之前这个买入股权锁定它到解禁之后部分抛售这项投资在一年多的时间里面就带来了大概三倍的回报到这里我们就可以简单总结一下了IMAX这家公司呢它一开始是将技术与纪录片或者博览会这样的需求去强绑定那么这样就显得它的商业格局比较的小一时也打不开
[00:12:32] 但是后面引入职业经理人之后不管他是用算法去解决片源的问题还是用类似融资租赁的模式去打开电影院的这个通道他整个商业化的策略就变得非常明确了之后呢在2010年又出现了一部现象级的阿凡达以及这家公司又在此后在一个非常恰当的时间段里面压住对了咱们中国市场通过与万达这样的伙伴合作他增量又增收
[00:13:01] 最终还变出了一个新的上市的子公司这个业务就等于已经非常大了我们在前面第一part主要讲的是IMAX这家公司的扩张的历史接下来我们就会从财报数据来切入主要是讲讲一下IMAX这家公司它非常具体的商业模式也会谈到这两年的疫情对IMAX中国业务的影响
[00:13:27] MX的商业化是分成两条线一条是影片制作业务就是你如果想拍一个能在MX荧幕上面放的电影就得花钱买它的软硬件技术另外一条就是电影院改造和使用设备的所谓影院业务目前它的收入结构中虽然也提到有一些新业务但是这个新业务实在太小了总体还是前面提到的影片制作和影院业务这两大块
[00:13:54] 影片制作方面呢我们挑疫情影响最严重的两个半年包来看前一个上半年就是2020年上半年公司影片制作带来收入只有70.1万美元这个是非常小的一个水平了那在2022年的上半年稍微好一些但是也只有651.9万美元同比缩水的是43%
[00:14:17] 这个部分的收入下降其实就是意味着在这两个半年里面市面上整体的MX电影的产量它变少了原因也还是因为整个行业停下来了根本就没有人拍片其实从2017年开始MX在中国就面临着一个就是偏远的问题当时有个现象就是国产片对于进口片有全面赶超支持
[00:14:42] 那一年票房前五的电影里面其实有四部都是国产片《战狼2》更是打破了安凡达保持的国内票房记录另外因为种种原因近年来好莱坞大片的整体影精量也在变少如果MX再偏重到这个方向上就会产生损失
[00:15:00] 直到2019年IMAX中国的主要票房收入还是来自于好莱坞电影的但是一年之后呢公司的华语片票房占比就跃升到了66.3%变成了新的支柱其实这个影片整体的产量变少当然它也会影响到影院的业务这里我们就要再介绍一下IMAX在影院端具体是怎么挣钱的前面其实简单介绍过了但是这里可以展开讲讲
[00:15:26] IMAX在影院端目前有三种合作模式第一种叫做销售租赁也就是影院或者是买或者是长期租赁的方式来引入IMAX系统第二种叫做全面收入分成这种模式之下影院引入IMAX系统就是不花钱的但是这个厅里面产生的票房收入就要给IMAX分成
[00:15:48] 第三种叫混合收入分成这种模式之下呢影院引入系统需要支付一部分费用就是前期的建设费
[00:15:56] 那么你产生的票房收入呢自然也会给MX再分一点但是分成的比例要比第二种低一点那其实就是说主要要付的就是设备的钱和票房的分成只不过是你在不同的这个收入合作模式里面它是按照不同的比例在搭配对吧对的那影院的这部分业务呢就相当于至少涉及到两类收入一类是你购买或者长期租赁这些设备的收入另外一项就是最重要的票房分成
[00:16:26] 另外呢MS还会收一个所谓定期的维护费这个比例其实相当不低可以占到这公司总收入的30%到40%多这三项加起来呢就是所谓整体的影院收入那我们就看一下2022年上半年这个影院业务收入的这个部分的情况
[00:16:46] 当期影院购买和租赁设备以及票房分成的这个收入之和大约是前一年的40%这应该也是由于当时整个的总票房缩水特别厉害吧所以分成也就大跌了对吧嗯对这个我们其实还可以从另一个角度来看因为截至2021年底中国总计有783个IMAX影院
[00:17:10] 其中有将近一半采用了前面我们提到全面收入分成的模式也就相当于IMAX把设备投进去收不到钱只能靠票房分成那对于IMAX来说呢疫情就会导致这部分收入急剧减少
[00:17:23] 但是相比2021年的上半年这个维修收入反而还多了150万美元这个就变成公司当期最大的单项收入来源这就说明规模大还是能带来相当的优势在这个问题上基本上它就是只要你让IMAX上门修它就能从每块萤幕上收到维修费
[00:17:47] MS中国此前提出过一个概念叫做IMAX区域它认为在一定的地域范围里面只有一家影院配IMAX听就可以了这个就有点类似于连锁店的选址策略就是要在保证密度的基础上降低同类竞争过于激烈的造成损耗
[00:18:07] 2016年这个IMAX公司认为中国的IMAX区域可以有1000个但是随着第一线城市也发展起来了到2021年他们就认为这个数字应该要有1400个了那如果按照1400个区域来算IMAX中国还是有增长空间的只要这块市场没有出现其他巨目的竞争对手品牌
[00:18:30] 这点我们后面还会展开说但是现状可以跟大家解释一下就是IMAX目前在国内已经没有过去那么高的市场占有率了因为不管是平T还是贵T市面上其他解决方案也是很多的只有天然会挤压到IMAX未来的业绩空间
[00:18:47] 前面我们也提到了有可能疫情会对IMX产生很多的业务的影响不过如果跟电影产业链上其他的公司相比IMX中国作为所谓的技术服务商相比制作公司和院线还更抗风险一点这个我们就可以挑博纳影业和万达影业来看一下我们来看一下这三家在2022年上半年的同一个指标就是归属于母公司股东的净利润率
[00:19:14] 万达这个数字其实还没有出来但是他做了一个预告这个情况显然是最糟的因为他对外披露就是说不会有所谓的净利润只有净亏损那博纳和MX中国相比呢其实博纳情况很好它的净利润率高达16%非常高MX中国呢其实只有2.3%
[00:19:33] 那博纳基本上应该还是脱了一个爆款的服吧这个爆款就是《长津湖之水门桥》这部电影超过40亿的票房应该算是直接给了博纳在2022年这个公司我觉得算是回魂的一击可以这么说吗可以这么说当然博纳在2022年还顺便完成了上市我觉得也要感谢《长津湖之水门桥》
[00:19:59] 这样一比较我觉得IMAX中国的抗风险能力还是不错的因为它不涉及所谓高风险才有高回报的真制作环节也能在电影院雪盔的时候还能收上来所谓的维修费还有一些票房的分成只不过它的业务规模不算特别大也很难赚大钱
[00:20:20] 好我们在前面第二趴算是一个横向对比就是制作方院线还有服务商的抗风险能力我们横向做了对比那我们这个时候还并没有讨论MX中国它自身在所有特殊厅服务商里面的竞争力实际上今年大家可以看到一个很明显的趋势就是MX它不再垄断这个市场了就是在巨木型的产品里面它不再具有垄断的地位
[00:20:47] 我们可以看到电影院里面这种剧目的名字基本上已经是五花八门了这也要再回顾那个概念就是MX其实是一个系统标准影院如果要把一个team改造成MX的那就意味着它要用到各种各样的一整套东西剧目其实只是这一套东西里面的一个特点当然它是很重要的一个特点竞争对手普遍也是围绕着剧目这个点做自主开发的
[00:21:13] 目前市场上可以找到三类锯木一类就是和IMX一样的这种传统的服务上开发的比如说中银集团它做了一个叫中国锯木以及还有一个叫LUX锯木它就是主打萤幕的亮度非常高而且很均匀中国锯木因为它的这一套系统的在硬件部分的腾挪空间比较大就是可以换来换去的它的安装成本据说可以做到IMX的一半甚至更低
[00:21:40] 它是在高端里面走了性价比路线那这样子呢观众虽然也看了一个剧目但是在电影票上面可以省二三十块钱那这个影院的升级回本呢速度也可以加快就可能会少三四年就是走量对吧剧目但是是就是青春版我估计很多我们的听友在买票的时候会很意外什么叫青春版这个就是青春版嗯那
[00:22:06] 除了青春版巨木啊还有一类巨木就是院线去引入这类巨木技术以后做的一些自主品牌比如说万达旗下就有两个巨木品牌一个叫Prime一个叫X-Land宝丽也有自己的Polymax像大地旗下有个院线叫成天加河它也有自己的新木
[00:22:24] 那么这类跟着院线走的剧目呢市场的天花板就比较低了因为就是你做多少家店你才有多少块幕嘛那目前有没有看到哪家能够所谓对外输出解决方案呢就它这个市场确实是很受限最后一类呢就是能够将剧目和其他体验结合起来然后形成自己特色的系统标准这里面代表就是Cinity和杜比影院
[00:22:48] Cinity其实也算是一个中国品牌它是由华夏电影前头研发的这个Cinity的技术特点还挺多的但其中最亮眼的一个就是高帧率当然它荧幕也要够大
[00:23:00] 记得《双子杀手》在2019年公映的时候呢心里提听就是当时国内唯一能够同时满足4K 3D和120帧规格放映的影院刚才提到这个《双子杀手》也是导演李安的作品那李安在《双子杀手》之前2016年他还有一部实验性的电影叫做《比利·林恩的中场战士》不知道现在大家还想得起来吗我当时也是第一时间就去看了
[00:23:27] 当时国内院线的这个硬件设备都还不太能够配得上那部电影我记得反正当时围绕这部电影的各种技术讨论也是非常多的具体要去哪个影院看哪一种配备支付什么样的票价能够得到什么样的体验也是非常非常多的讨论所以如果说詹姆斯·卡梅隆他是MX的野生代言人那李安是不是也可以跟这个Cinity签一个长期的合作呢
[00:23:54] 其实现在不只是里安和好莱坞那像最近的一些国产电影比如说金刚川和唐探3也开始用上了120帧的技术
[00:24:03] 那如果这种技术进步变成了一个长期趋势的话那Cinti未来这个价值就会很高所以我们看到2021年中影是以3.2亿元收购了Cinti这个公司80%的股权之后就开始像当年的IMAX一样去找万达这样的大院线谈合作加速扩张甚至在阿凡达2因为阿凡达2是一个由中影自己引进的大片嘛那Cinti就能比IMAX和杜比影院早两个小时开电影
[00:24:31] 这只能说是一种非常特殊的资源倾斜了谈到杜比影院呢我们也简单聊一下这个目前市面上可能是最贵的特殊听方案一个标准的杜比影院要包括他自己的剧目叫杜比世界然后还有他自己的升学方案叫杜比全景声还有他自己的3D技术以及涉及到像座椅啊墙面天花板观影角度等等等等各种对影院的细节优化也就是说
[00:24:59] 这个杜比的影院它一切都是围绕着观影的临场感和舒适感来设计的所以一个杜比影院厅的造价一般来讲会比一整个普通电影院的造价都要高目前全国也只有77个杜比影院当然它的这个票价也是最贵的那一档其实如果你只是想要一个杜比的logo的话影院完全可以采用一个比较便宜的剧目然后在升学系统上用这个杜比全景声就行了
[00:25:28] 除了杜比呢其实市面上还有像DTS的零静音之类的其他的沉浸式环绕声设备可以选就像你自己传一个家庭音乐一样
[00:25:37] 那到这个阶段呢看电影就反而变成一种所谓画面声音加各种各样的感受的一个综合博弈有钱的公司可以直接高价去买一套完整的带品牌的解决方案没钱的就像以前传电脑一样各取所长然后你自己组一套解决方案说到这里我相信大家也发现了杜比他在电影行业就看上去是一个跟IMAX有点类似的这样一个技术的提供商但是他有一个优势就是他以升学为核心
[00:26:06] 而不是以萤幕为核心所以它的商业空间就又更广阔了一点如果观众们他不去看电影了而是在家看流媒体的视频杜比也可以做这部分生意而且这部分生意是MX他抢不到的针对流媒体视频体验的这个技术提升呢其实是这几年比较新兴的一个方向之前呢各大品牌基本上还是在像画质规格和清晰度还有帧数上面摆头
