Vol.97 把中国车卖到海外，总共分几步？
时长：00:29:32
来源：网易云音乐电台节目 · 商业就是这样 · Vol.97 把中国车卖到海外，总共分几步？

[00:00:00] 大家好,我是肖文杰,我是冰青大家都知道外贸出口是中国经济的三驾马车之一过去几年因为各种挑战,其实外贸这驾马车是奔跑速度有一些放缓的但在过去两年,有一个产品的外贸出口其实是异军出起,就是汽车中国其实算不上一个传统的汽车出口大国但是经过2021和2022年,中国汽车的出口量从每年100万辆飙升到了311万辆
[00:00:29] 这个数量上是一举超越了德国成为了全球第二对这个数字可能光讲讲没有什么实感我们来试着描述一下汽车出口到底是一个怎样庞大的场面吧首先大家跟着我闭上眼睛然后想象一个空无一人的足球场然后你呢站在一边的这个球门线上面望向对面的这个球门应该是一种很空旷的感觉对不对然后不断的有汽车开进这片足球场很快的就把它停的满满当当
[00:00:58] 这时候这个球场应该就已经变成一个很有压迫感的停车场了然后你对面那个球门可能也看不见了
[00:01:06] 这时候你的头顶上突然又出现了一片足球场然后还停满了车然后又出现了一层又出现了一层一共叠了12层的足球场而且都停满了车我感觉我已经要窒息了没错这个呢就是一艘6500车位的标准的汽车运输船的尺寸全球每年有上千万辆的汽车经过了一个跨国的贸易
[00:01:32] 主要靠的就是大约700艘这样的庞然大物它在运输700多艘这个数量不算多但是因为这个船实在是太大了所以说也不需要那么多了没错那这个其实就是汽车的海运或者说是海上的出口贸易的一个标准的一个特点就是它是一个很庞大但是很平稳甚至有些封闭的一个市场它的出发地目的地还有航线订单合作关系都是非常稳定的
[00:02:01] 每艘船的租金也一直保持常年的稳定从2008年金融危机之后就保持在每天2万美元的水平左右但是到了2021年开始这个价格就开始迅速的飙升翻倍到了2022年每艘船每天的租金的价格已经飙升到了10.5万美元一天也是一个历史的最高点然后在这个价格飙涨的背后就是中国国内的港口上面
[00:02:29] 有许多的车排队等在这个码头上面等着要上船过去一年里面国内的产业真的很少有高速增长而且很景气的例子我们同事张思宇也写了一篇关于汽车出海的报道看完之后我们还是想讲一些积极的故事所以今天就来看一下中国汽车是怎么一步步迈到海外去的我们大致会介绍三个话题第一个就是为什么汽车要出口第二个是为什么中国的汽车能出口
[00:02:57] 第三个是以后的这个出口的市场会怎么样听完了之后呢你可能会发现这个非常积极向上的汽车出海的故事里面呢其实也是充满风浪的好那我们就开始吧这里是商业就是这样
[00:03:22] 薛老师刚才描述了一个令人印象很深的场景就是许多的车等着排队上12层的足球场听上去非常震撼从车厂的角度需求很旺盛运力供不应求当然是好事了但是物流的阻塞也是个问题所以我们想先解决一个微观的问题就是这些车除了拿船运它整个运输到海外的过程是怎么样的刚才其实我们讲到有个关键词就是稳定
[00:03:49] 那其实此前呢专门做这个国际的汽车出口贸易的这个物流的企业啊也是比较稳定的当中主要呢其实是日本的三家分别是川崎汽船商船三井还有一个叫日本油船中国的运输公司呢在里面的份额也不高的
[00:04:06] 日本这些运输的公司呢当然他们也会接中国的车企的生意不是说只做日本的但是一下子来了很多中国的生意呢其实这个调整是一个很复杂的过程他们接一个新的大单啊其实并不是那么容易的有单为什么不接这个里面啊其实涉及很多很复杂的国际船运的一些专业的能耗我们呢其实也是一知半解在这边说个大概吧一个基本的逻辑就是一艘这个汽车的运输船啊它一般不会是从A点到B点的一个直挡
[00:04:36] 它一般也不会是一家海运公司来全程的负责更常见的一种情况是一艘船它安排了一个很长的航线然后当中的停靠好几个站好几个港口吧每到个港口呢这个车就会上上下下这里面装的车呢也不都是来自于一个品牌的每段航线呢它的负责公司呢可能也会有些变化里面还涉及到不同国家的通关然后不同港口的运载工具有些调波啊等等的
[00:05:02] 总而言之就是有一艘船在海上绕了这么一大圈它里面会涉及到不同的港口不同的汽车公司还有不同的物流公司他们之间是要互相交叉合作的就总之是一个比较复杂的排班过程了对对也算是运筹对吗那么这么复杂的目的呢就是让这艘船的利用效率尽可能的高嘛那实际操作当中呢车厂其实一般会和这个船运的公司签订一个长期的合同
[00:05:28] 这样的话他们就可以互通自己的生产计划和这个轮船的排期的计划这两个一对接呢就能匹配起来所以这两年呢突然暴增了许多中国汽车客户的需求轮船公司消化起来就其实比较困难了再加上疫情的冲击之下其实过去三年啊全球的海运本来就比较受影响有点萎缩的大家还记得吗就是21年的时候还出现过全球的物流大堵塞
[00:05:55] 那个时候其实是因为链条上很多专业工作人员的缺乏嘛那这种情况下呢这种轮船公司或者是船东啊他们肯定也不会盲目的扩大自己的船队的规模据我们所知其实前面几年还有一些船队他会去拆掉一些船因为你一直留着那边不开其实很浪费的他会去拆掉那个船那对于汽车运送船这种特殊的或者说数量比较少的这种船只呢更加是这样了中国的需求一下子起来之后呢就会发觉船的这个运力啊就不足
[00:06:23] 对 就是类似于这种事情
[00:06:52] 其实不仅仅是自己买船了还会有的公司像上一期他们会投资或者收购一些有船队的一些物流公司但这个呢其实你只能作为一个怎么说保底的方案车厂啊他自己去拥有船然后这个船只运输自己的车其实是很不划算的原因就像我们上面讲的你整个航线其实要很多个公司不停的合作嘛这个车要上上下下才能有效率但你只运自己的A点到B点那就浪费了很多航线上的运力
[00:07:21] 所以他们更多的是投资控股或者说自己稍微拥有几艘船紧急时刻会有一个保底的作用除了自己买船以外其实还有另外一个补充的方案就是火车现在会有一些车厂它使用中欧班列来把自己的车运到欧洲去火车的好处它就是比较快速比较灵活时间一般比海运还是要快个大概一半的时间
[00:07:46] 但是呢它的运能呢其实还是不如海运的火车嘛就跟这个12个足球场还是相差比较远的所以说大多数的情况下大家还是用船但是火车呢也是有一个补充的方案
[00:07:59] 那解决怎么运这个微观问题我们就可以进入到产业层面来解决下一个问题就是中国汽车为什么要出口呢其实在此之前全球汽车的出口格局一直都是很稳定的排名第一的就是日本排名第二的是德国所以也可以解释为什么做这个汽车传运的很多都是日本的公司那这两个市场它们一个共同的特点就是本国的汽车产业非常发达但是本地的市场不够大
