Vol.98 串台《边角聊》：吉列如何把剃须变成全球大生意
时长：00:49:46
来源：网易云音乐电台节目 · 商业就是这样 · Vol.98 串台《边角聊》：吉列如何把剃须变成全球大生意

[00:00:00] 大家好,我是肖文杰我是余冰青本期节目我们请来了一位嘉宾是中文播客界的串台王沙青青老师,我们欢迎大家好,我是沙青青有的朋友可能知道沙老师和我还有几位主播一起搞了一个新的播客叫边角聊就是边角料的边角,这个聊天的聊那里会承载一些我们个人比较感兴趣的话题所以我们最近就想聊一个话题是关于男士的气虚和理容的
[00:00:26] 因为我们两个人都比较喜欢这个传统的湿式T恤嘛或者说是这种传统的手动T恤
[00:00:33] 一方面它比这个电动剃须刀剃的干净另外一方面这个剃须的过程会比较享受甚至是可以变成一个爱好所以我们就想聊聊这个话题感觉我可以要么先行退场这是一个我完全了解不了的话题月老师先留步今天还是需要你的因为我们在准备那个个人向的话题的时候我们就发现有一个品牌在剃须这件事上还是非常重要的就是大名鼎鼎的吉利
[00:00:58] 然后在看了一些书和资料之后我们就发现吉列这家公司它的本身的故事也非常精彩某种程度上面它其实做到了类似于苹果的事情它从零开始定义了一个产品定义了一个大众的市场乃至是定义了一种生活方式并且它长期占据这个大众市场绝大多数的份额把自己做成了一个百年的企业其实这是一个非常罕见的成就好吧这个商业部分我参与一点好的好的
[00:01:24] 所以今天呢我们是录了一个上下两期的节目在商业就是这样里面我们会讲一讲吉列和他背后的T区商业史而在边角聊里我们则会从生活方式和文化的角度来仔细的聊一聊T区这件事情感兴趣的朋友听完这一期之后就可以一步边角聊听听另一期可能发现了肖老师现在在自己串台自己自己串自己可还行当然沙老师在这个商业就是这样里面难得做客嘛我们也要发挥他的专长
[00:01:53] 起立的故事其实和当时的历史事件和时代背景有非常紧密的联系沙老师也会给我们带来这方面的一些观察是的那我们就开始吧这里是商业就是这样
[00:02:16] 那我们就先从吉列的创始人开始讲吉列的创始人呢就叫金恩吉列他出生于1854年成年之后呢在芝加哥的一个软木塞的公司里面做销售他的父亲本身就是一个从事和专利相关工作的一位人员所以可能受父亲的影响啊金恩吉列他很喜欢发明创造申请了很多很多的专利
[00:02:37] 其实这也是当时的时代潮流在19世纪末美国的专利法案经过了1830年和1870年两次的大的修订已经非常成熟了然后市场上也出现了像一位发明家他依靠自己的一个专利就成为大富翁的故事其中最有名的代表就是爱迪生了这不就是那个年代的大众创业和万众创新吗吉列也试着自己发明了很多东西但是都没有成功直到1895年的一个早晨
[00:03:06] 根据他自己的说法他在自己家里面刮胡子然后非常费劲他就想到为什么不发明一种刮胡刀这个刀片和刀架分离了然后这个刀片一旦刮得顿了不舒服了就可以无限的替换这样就省得去理发店里面重新磨自己的剃须刀也不用去理发店里面去剃须说到这里我就真的已经开始缺乏概念了
[00:03:28] 就是为什么剃须刀要拿到理发店里面去磨这个他们街上没有磨刀的人吗那么沙老师给我们介绍一下这个到底是什么问题啊嗯实际上呢应该这样讲就是说我们近代的养成的这种剃胡子的习惯在近代以前实际上是不存在的就很长一段时间的话对于全世界各地的男人来说须须才是主流OK其实我们中国也有句俗话嘛就嘴上没毛的办事不劳
[00:03:55] 似乎就是说男人的胡子的长短跟他能力的长短是有直接相关的所以说我们在看一些各个古文明的一些考古的时候也发现很多这种壁画上面这种雕塑也会有一个留胡子的造型比较经典的例子就是我们看两河流域美索不达米亚当时波斯或者是巴比伦这些地方它有一些国王的胡须都特别长而且有这种卷烫的痕迹就似乎是做过那个卷烫棒的这种感觉
[00:04:22] 这一套东西呢实际上延续了很长一段时间包括在欧洲包括在亚洲其实也是的就是我们看到很多中国的古典传说里面也有这种美虚宫嘛就是美燃宫嘛这一点呢就说全世界皆然
[00:04:34] 真正开始出现变化的话应该是欧洲文艺复兴以后那个时候的男生开始
[00:05:04] 所以这是一个技术活这是一个技术活而且你手法不好很容易造成伤痕所以说整个一套东西的话到了18世纪的以后就是开始出现了一种专门帮别人剃须的工具就是一种直剃刀你去理发店也能看到就是那种折叠式的可以掰开来的这种直剃刀成为了一种主流的这种剃须工具但这种工具就跟我们前面提到的它是一种需要理发师或者是你家里有仆人来帮你操作的这样一个工具
[00:05:32] 你自己剃的话实际上是对你的技术要求非常高刀还要配个人刀还要配个人所以说对于当时的欧洲人来说就是说他们的主流是什么呢要么你是家里面是权贵贵族或者是你是富豪你就在家里有仆人帮你剃那对于普通的市民或者普通人来说怎么办呢那你只能去理发店剃请理发师帮你剃所以说当时的理发师的一个形象之一就是拿了一把直剃刀等着客人上门这是理发师陶德庚
[00:06:00] 对没错所以说这就是我刚刚想说的就是说是如果大家知道李发是逃的这个故事的话或者是看过当年那个电影的话应该对这个有印象我还记得那个电影《一代宗师》里边张震也的那个角色他就是在一个理发店里面隐瞒自己的身份帮别人剃胡子然后他这个比武的时候用的这个兵器就是一把剃刀直剃刀
[00:06:25] 但是植地刀就是说它的诞生现在一般认为它是出现在18世纪初的英国当时的话因为英国就是已经成为了整个欧洲的一个五金和野金的一个重镇或者是一个中心所以说正是因为有了一个工业的先生导致这种工具能够大规模的普及
[00:06:43] 但是植地刀虽然比起以前的剃须已经是一个很大的跃升了但是它有一个很大的问题就是它的那个刀片啊是要不断地去磨的你刮完几次之后你要去磨刀磨完刀之后你还要去荡刀如果大家对一些老电影有印象的话你可能会有一个场景就是发现一个理发师拿了一个皮条在上面滑来滑去滑来滑去实际上这就是一个荡刀的过程
[00:07:06] 只有磨过刀淡过刀之后它才够锋利才能去把男人们坚硬的胡须把它刮下来所以说是个很复杂的这样一个技术工作理解了就是这里面其实有个点就是男人的胡须其实是非常坚硬的是的尤其是那个很靠近皮肤的那个位置胡须根这边对真的是完全没有想象到的知识是的所以其实刚刚沙老师讲了这个历史背景的时候就多少可以理解极烈这个创意的一个价值了因为它有两个好处
[00:07:34] 一个是更安全更方便就是我可以自己剃的然后也不太容易把自己刮伤大家如果去看过那个T字形的那个传统的那种两刃的剃须刀大家会知道什么感觉啊
[00:07:44] 另外一个好处的话就是它这个刀片可以不停的更换就是你炖了之后不用再去磨不用再去荡因为磨刀啊荡刀也都是专业的这个功夫就是急抛急用对你可以急抛急用更关键的是就是这个不停更换的刀片就可以为这个公司带来源源不断的收入可以买耗材嘛长期的耗材等于它是一个非常完美的生意的模型
[00:08:07] 所以据说金恩吉列本人他当时想到这个点子之后就是非常的兴奋马上给太太打电话说我们要发大财了所以他是从换刀片这件事情就把整个商业模式都想通了这个点就非常重要这就是我觉得金恩吉列这个创始人本身最伟大的一个地方他从一开始就清晰地看到了这个生意的一个长期的图景用现在时髦的话讲就是一个终止意识他首先看清了这是一个利润很高的一个耗材的生意
[00:08:36] 这一点呢有可能是启发于他供职的这个软木塞这个公司因为当时那个软木塞也是用了要不停的换所以这个有可能是一个启发第二个点就是他一开始就看清了这是一个全球化的面向整个大众的一个生意他的用户的上限根据他的想象应该是全球一半的人口其实后来更多因为女性她也需要有刮毛有这个需求
[00:08:59] 所以后来啊这个吉列这个公司真的就是按照了金恩吉列他这个非常怎么说呢激进的一个设想来做的他真的让TG在全世界普及然后让自己成为了这样一个上千亿美元这个市场里面一个很大的一个统治者嗯全球化这个点还是比较厉害的因为那个年代的话虽然已经开始有一些像电器啊或者是石油公司在做跨国的经营了还有些商贸公司嘛对但是大部分的公司其实都是在这很小的范围内比如说他是做一个街区的生意或者做一个城市生意最多也就是做一个国家的生意嘛
[00:09:28] 没错我读那个吉列的历史的时候印象最深的就是这一点就是在公司在草创的时候啊就是生意还没怎么做明白呢美国都还没搞清楚呢这个金恩吉列就一直在想我要怎么去欧洲开拓英国市场开拓法国市场事实上吉列后来也一直把全球化作为一个核心的这个战略啊只要一有机会他就会想尽办法进入各个海湾的市场后面其实我们还会提到这一点
[00:09:51] 不过就是虽然金恩吉列很有终局的意识他知道这个100分的图景是什么样的但他自己没有见证这个时刻因为从零到一这个过程里面就是最早期的这个过程里面他就已经淡出或者说是被踢出这个公司了这么惨的吗
[00:10:07] 其实说起来也很正常就是他申请了吉列T10刀这个专利之后呢就找了一个技术专家叫尼克森来生产然后两个人研发了半天终于找到了一个生产方案可以压那个刀片压出一片片刀来了然后这个生意也做起来了但是这个研发的投入啊远超预期这公司很快就没钱了甚至一度就是破产了后来呢是有一位金主他注资进来了但是代价就是金恩吉列他就已经不是最大的股东了
[00:10:33] 不过这个时候呢他还是有一些话语权的甚至在一些关键的节点还是挽救了公司的比如说当时这个新的金主就想要尽快的变现嘛他就想把这个专利的这个使用权给卖掉然后吉列就想你疯掉了吗就是我们最值钱的一个东西你就要卖掉让别人去做这个大生意后来他把他一顿猛劝还是劝回来了所以说有的人有钱但是不一定会做生意是这个意思会做生意或者有想法的人不一定能够把这个钱拿到对
[00:11:00] 但是后来呢这个金恩吉列他自己经营方面其实还是有些问题的就是整个公司经营不是很好然后呢还有很多内部的斗争所以后来有人就把他这个股份买下来之后他就金恩吉列自己等于套现就淡出这个公司了那吉列的股权呢后来就掌握在几个新的股东还有一些管理层的手上
[00:11:18] 到了1917年就是公司成立17年之后这个吉列的业务呢已经走上了一个正轨它累计卖出了100多万把的剃须刀然后也算是获得了这个美国市场的认可吧但其实离这个金恩吉列最早那个全球普及的目标还是很远的那这个时候呢就在这个风云际会的这个20世纪初吉列就迎来了它走向全球的一个重大的转机
[00:11:43] 那肖老师说的这个转机就是战争两次世界大战实际上是直接把激烈的地区刀片以及个人地区这种生活方式带向了全球那具体的情况呢我们这里还是请沙老师介绍一下好呀因为我们都知道第一次世界大战是一场规模空前的血战然后夺人性命的各种新武器层出不穷有一些我们可能比较熟悉就比如说坦克啊潜艇啊这类的硬装备
[00:12:09] 但除此之外呢其实还有一种武器也是非常致命的就是毒气然后整个毒气战的话实际上是贯穿了整个一战尤其是西线的整个战场
