商业小样02 | 跨境电商赖以生存的“漏洞”
时长：00:06:32
来源：网易云音乐电台节目 · 商业就是这样 · 商业小样02 | 跨境电商赖以生存的“漏洞”

[00:00:35] 大家好,我是肖文杰,我是小亚
[00:00:36] 过去两年全球范围内最受瞩目的电商平台非Time和Shin莫属了他们可以以令人震撼的低价将产自中国的各种商品输送到全球各地外国消费者们一边在家收着各种各样的快递一边感慨之前买东西的时候是不是当的大冤种啊那Time和Shin卖到国外的东西为什么能这么便宜作为消费者尤其是发达国家的消费者可能很难想通这一点这里面当然有一些商业模式上的革新比如供应链的整合我们之前在讨论Shin的那期节目里面已经聊过了那还有一种可能
[00:01:06] 就是因为这些消费者之前买东西的途径
[00:01:35] 价格里面少了
[00:02:04] 变成了一个商品输入的通道所以开始提议改革了美国在这方面是相当积极因为他们目前针对每个邮包的免税额度高达800美元800美元放在一个制造业大国可以买很多东西了所以为什么美国这个门槛可以这么宽松呢我查了一下资料发现这个限额是由美国关税法案的第321条所规定的这条法案内容是在1938年确立的主要是说如果一个美国公民想在海外买一点小礼物寄回国就几美元的那种那么海关其实没有
[00:02:34] 321条刚刚诞生的时候对于普通邮包的免税额度其实只有一美元当然让我们参考了一下美国政府发布的CPI数据折算一下当时的一美元其实相当于现在的22美元所以也不低后来321条经过很多轮修订把免税的额度逐渐的上调到1994年已经调整到200美元相当于现在的419美元基本上已经能囊括很多常规消费品了而到了2019年321条被再次修订免税额被抬高到了现在
[00:03:03] 关于免税额度美国的800美元可以说是很慷慨了我们看一下其他的国家和地区
[00:03:32] 你像欧盟这个额度就只有150欧元的相当于160美元多而且从2021年年中开始欧盟对于所有的入境邮包都只在免税额度内免除的是关税但是它不免消费增值税了这里引入一个新概念有点绕我们再举个例子假如是一包价值人民币50块的袜子它通过普通的邮包发货到美国那么入境的时候既不用交关税也不用交增值税商家定价的时候其实只要考虑运费就可以了而如果这包袜子是发货到德国那入境的时候
[00:04:01] 关税是可以免的但是要把这个货物的价值和全程的运费加在一起乘以19%这个就是一笔增值税
[00:04:08] 需要交的商品在标价的时候得考虑后续所有流通环节产生的费用就显得价格更贵了一点纵观全球的免税额度和具体限制会发现大多数国家还是相对宽松的但中国是个特例而且比较复杂大家如果有印象的话几年前有过一轮跨境电商潮流也就是目前天猫国际经营的这类业务有一些化妆品食品电子产品可以通过电商平台走大额的进口和清关的流程这类商品的单件免税限额是5000元人民币相当于700美元
[00:04:37] 而如果是他们和信这样通过普通邮包输入的商品中国海关原则上无条件放行的免税额度目前只有惊人的
[00:04:47] 50元人民币OK那在所有有免税限额的国家里面这个标准基本上是最紧的很难想象啊什么样的东西只值50块钱但是呢还是要特意从国外买来寄回来我也查了一下知道发现中国海关在这方面的思路是逐步收紧的在1994年海关总署对于国际往来的个人游地物品规定是价值不能超过1000元否则是要按照商品贸易来征税的而如果是不超过500块的个人物品呢是可以免税的但是在2010年前后呢中国有了一波自己
[00:05:16] 当时海关总署有一个解释就是考虑到现阶段群众实际生活水平相关税收要求是可以承受的但是调整后的政策会对那种以个人名义进口的实际上是逃税的物品的形成打击而且海关总署认为
[00:05:46] 通过税收杠杆作用就是让这些物品可以不再具有明显的价格优势又因为这个是非正规的货物来源渠道对于消费者来说没有办法提供相应的售后保障因此这个方法就会保证这些商品能够在市场中逐步遭到淘汰相当于原本只对500到1000块之间的超额部分征税现在变成了超过50块的部分都要征税了怪不得这两年已经很少听到关于个人海淘的一些大规模的讨论了从小小的免税额度数值设计可以看出来公司如果能充分利用
[00:06:15] 这就是我们本周送上的商业小样下期见
