城市就是这样21｜ 十堰：一座因汽车而起、又不甘被汽车“抛下”的城市
时长：00:41:08
来源：网易云音乐电台节目 · 商业就是这样 · 城市就是这样21｜ 十堰：一座因汽车而起、又不甘被汽车“抛下”的城市

[00:00:01] 大家好 我是肖文杰 我是小亚 我是沈从乐久违的城市就是这样 我们这一期节目聊的是汽车城实验这其实是一个我们酝酿很久的话题了上古神坑 这坑有按年算的吧对 一方面是我们早就挖过想要聊汽车城的这个坑另外一方面之前其实从乐就讲过新一线做了一些调整之后其实你会更加关注一些城市产业的单个的案例其实汽车城就是一个
[00:00:29] 很好的一个样本那我们今天就来聊一下油头其实也是因为你最近去了实验对实验这个城市大家有什么标签吗身上觉得那就是一个妥妥汽车城东风除了汽车想不到任何别的东西怎么办但它其实还有一些有名的东西你可能对对还是能对上的什么东西武当山
[00:00:48] 武当山在实验对然后还有一个其实还是蛮有名气的叫丹江口水库他也是在实验知道水库不知道跟实验的关系这个水库最重要的事情是它是南水北调的水源地我听他们做汗水的播客的时候好像讲到过这个地方他们去过好我们可以在说诺词里面推荐一下这个系列的节目
[00:01:13] 我对时间的印象就是他其实过去是东风集团的总部然后在本世纪的话其实已经逐渐的有点没落了因为他整个东风集团总部现在应该也在武汉了对2003年就搬过去了他现在的话应该主要就是卡车对是一个他们把自己叫商用车之都但这个词其实不是很好理解我觉得翻译成大白话就是卡车之都尤其是重卡对
[00:01:37] 我们今天应该会从实验的历史也会聊到然后包括它现在的一些转型包括它像你刚刚讲的聚焦在更加具体的商用车这个领域对于这个城市有什么影响我们都会聊一下要么从来你先说一下为什么会去实验
[00:01:50] 去实验是因为我们今年因为要多跑一些城市嘛然后呢就是湖北其实是蛮有意思的一个整个省都还蛮有意思的因为除了武汉我们都比较熟悉之外它其实有几个梯队的城市都有自己的特点比方说它的第二梯队基本上就是襄阳和宜昌
[00:02:07] 这两个城市呢是我们接下来会去跑的那么也是机缘巧合在实验有一些
[00:02:33] 牢牢贴死的汽车城标签的这么一个城市我们也很好奇就是我其实去的时候预期不是很高我觉得会不会像中国的底特律那样子的一个城市但去完之后体验还是很不一样的今天可以跟大家分享一下你在说中国的底特律的时候实际上是带着对底特律一定负面的大家的印象因为它有一个
[00:02:51] 在金融危机之后汽车城破产的这样一个背景它其实这两年也算是废墟当中重新再起来的那种状态是毕竟大家都知道实验从它失去了东风总部之后感觉这个城市没有其他额外让你有记住的点它本身又是因为汽车城而建起来的一座城市所以你自然会对它有一些联想是说它如果失去了这么重要一个企业它还会怎么走下去我觉得听下来今天有可能两条脉络一个就是跟产业紧密相关的一个脉络因为大家
[00:03:19] 聊中国的汽车产业这几年还是比较多的是一个狂飙突进的不断的往前跑的这样一个叙事不管是这两年新能源车的发展等等的包括大家现在都在想出海都是往外往上增长的一个感觉但是在这个过程当中其实有被抛下或者说是打引号的过时的那些部分那实验其实在这个过去经常是在这个叙事里面的容易被遗忘那这个部分其实我们有可能可以讲一下
[00:03:43] 另外一部分的话就是产业城或者像这种汽车城大家有可能过于的关注这个行业本身对于这个城市的样貌是什么或者它现在状态怎么样反而关注的比较少是的这个部分有可能你实地看了之后会有一些不一样的感受可以给我们对作为这个房间里面唯一一个不懂汽车的人我也不懂没事我来提出一些这个愚蠢的这个棋手问题好吗给肖老师这样吗给我吗对
[00:04:09] 中国的汽车城反正我知道的就是实验长春和柳州还有没有别的首先你首先知道的这个我觉得就非常的就是刻板印象了已经长春大家知道是一汽嘛对啊实验的话就是二汽就是现在在东风它的这个诞生之地但是柳州不是三汽对吧柳州不是柳州就是五菱柳汽就知道的柳汽五菱现在叫上汽通用五菱像你讲这些其实都已经是比较专精的这个汽车城了
[00:04:37] 但我觉得现在大家认为比较有规模的有代表性的汽车城的话其实都是从80年代合资的浪潮起来之后的一些汽车城有代表就像上海上海也是一部分算是汽车产业比较厉害了对 有一定的历史基础当然跟长春那时候一切不能比但是在合资之后它肯定就是崛起成为非常重要的汽车城了还有像广州那时候广州因为有比较早的一些合资企业现在也有非常多包括像北京 武汉
[00:05:04] 像天津等等的我们其实都会说它是汽车城我觉得这里还是有一个小问题我们说汽车城的话就是说汽车可能是这个城市非常标志性的或者是名片性的一个产业对吧但比如说我们说上海说现在的像深圳这样子或者广州其实我们不会说想到它的第一名片是汽车我觉得这个点非常重要其实我们说的汽车城我觉得从概念辨析里边就有两种一种就是你说的这个城市就是以汽车这个产业而生的对
[00:05:33] 那么像实验包括像柳州我觉得多少有点像吧实验是最最突出的它就是因为有这个产业才会有这个城市到后面我们会具体讲它的历史但更多的汽车城其实是这个城市的一个重要的支柱产业是汽车或者说在全国的这个汽车产业的分布里面这个城市非常重要它这个概念上的汽车城那么在具体的物理的体现当中它有可能是某个城区或者是某一个比如开发区等等的它是一个汽车的集中产业的一个聚集地
[00:06:02] 比如像上海有安亭有临港有浦东对吧然后像我们现在了解一些就是电车的一些汽车城像合肥对吧像长洲它有一些都有一些具体的区域那边有很多产业的集中地这个其实上是汽车城现在的大多数的样貌
[00:06:16] 实验其实是里面非常特殊的一个比如说我再插开来问一句比如说像宁德时代我们都知道它现在是肯定是新能源车里面非常重要的一个供应商对宁德可以被称为是汽车城吗一般来言我们说汽车城的话它最好还是要有一个主机场就是它要造出一个最终实体的汽车的明白但是确实大家现在有的也会说宁德是汽车城或者
[00:06:39] 因为它在这个行业里面非常的重要但我自己觉得它还不算汽车城因为宁德其实是个新能源企业它的有很多业务其实也不一定是负汽车的现在主要还是叫他们这一类主要叫新能源之都对新能源之都我们会说听下去就是更泛一点因为新能源之都我们会说四川的宜宾包括长洲然后宁德大家会这么来叫是但长洲现在算汽车城了因为理想布局了之后它好像就有整车的能力了对是它整个产业链比较完整了
[00:07:07] 比如说汽车城的概念就看上来老的汽车城并没有说移除了汽车或者说可能因为短时间内没有找到新的产业所以说它一直是汽车城是因为这个产业本身定下来就很难挪走我这个可以我实际简单讲一下然后从来也可以分享一下产业和城市的逻辑汽车作为一个支柱产业它的粘性或者它的规模确实比别的产业要更大一些
[00:07:31] 如果我们从全国的盘子来说的话大家说的那种支柱产业房地产基建那种肯定是最最厉害的然后接下来有可能汽车它的带动效应就是最强的我们说的这种带动效应就是它之所以能被称为支柱的原因就是它能够带动上下游的非常多的GDP也好然后企业就业包括消费等等的你造完一辆车比如说10万块钱它带动这个效应有可能成熟非常多这是它的一个效应另外的话因为它跟矿业或者说是房地产业
[00:08:00] 不太一样它不是那种一次性的它的上下游的产业的布局非常多这种企业相对来说在当地的粘性会比较强一些其实这两年中国还是会提另一个概念就是总部经济比如说我们前面提到就是说现在东风已经没有说把总部放在实验了对吧就挪到了武汉去这个算不算一种转移呢很重要的转移对实验来说是非常大的一个打击这里边的应该核心逻辑就是
[00:08:25] 如果汽车的核心的生产基地就是整车厂的生产基地最好要旁边的一些配套的零部件等等要离它近一点物理距离要近一些它肯定整个生产的效率会更高
[00:08:37] 所以一般来说它就有个聚集的效应那么你总部也好或者是核心的生产基地也好它肯定是一个对整个产业来说
[00:09:06] 完整的搭出一辆卡车或者一辆类似于这种商用车的那么其实回到这个问题就是说我们为什么说汽车产业比较容易成为一个城市的支柱性名片性产业就刚刚肖老师说的两点其实很重要一个就是它本身的产值很高
[00:09:21] 中国现在GDP能破万亿的城市也还没有到30个
[00:09:50] 所以这样加起来的话在很多汽车城它可能几千亿的产值就已经占了它GPP非常大的一个数字了包括说像实验的这个数字很典型实验现在是900亿元的归上的汽车工业产值
[00:10:04] 然后它的GDP也就是2700亿就是三分之一这还是它降下来的一个水平他们说它最高的时候这个汽车的工业产值可以占到GDP的大概六七成那么高它的依赖度是非常高的那么还有一块就刚刚肖老师也说的很重要的就是它的产业链很长它会形成非常多的这些配套企业就陈述效应你整车厂有肉吃那么大家都可以跟着喝汤所以在这样的一个状态下汽车城它就肯定不仅仅是一个汽车主机场
[00:10:32] 带来的它一定是有一家主机厂或者几家主机厂然后链接了几千家产业链上的这种不同大大小小的企业落地来形成的这个城市的概念那么还有很重要一点其实是
[00:10:44] 汽车城它作为一个城市的名片来说它是非常好被理解的比方说我们刚刚提新能源制度大家还要做一些概念的变息但汽车城什么都不用你只要说这个地方造汽车的它的城市名片好像就天然就很容易形成而且在中国的地方政府早年间他们还不太去卷什么产业链招商也不会去搞什么未来产业风口在哪里在这个东西之前
